BP,KBP
60,0.06
60,0.06
100,0.1
300,0.3
590,0.59
640,0.64
640,0.64
1720,1.72
2150,2.15
2500,2.5
2960,2.96
3000,3
3410,3.41
3700,3.7
3900,3.9
4550,4.55
4850,4.85
5020,5.02
5120,5.12
5530,5.53
6050,6.05
6650,6.65
7010,7.01
8010,8.01
9510,9.51
10080,10.08
11100,11.1
11150,11.15
11150,11.15
11160,11.16
11190,11.19
11290,11.29
11300,11.3
11400,11.4
11400,11.4
11410,11.41
11600,11.6
11600,11.6
13080,13.08
13600,13.6
15430,15.43
16180,16.18
16180,16.18
16800,16.8
17100,17.1
17630,17.63
18800,18.8
21800,21.8
23650,23.65
25270,25.27
27100,27.1
28180,28.18
28200,28.2
30090,30.09
