"Center_win","Average"
500,8.45719050230488
600,8.6376286504012
700,8.64735833869929
800,8.7073221415608
900,8.69257359292738
1000,8.67890773645559
1100,8.6373997227548
1200,8.59454118679682
1300,8.50483448147459
1400,8.45106762655413
1500,8.43823993049091
1600,8.44121103043092
1700,8.41960955439707
1800,8.39521291927967
1900,8.40002749607597
2000,8.34770702764079
2100,8.38159287996349
2200,8.41859820002338
2300,8.44976662640745
2400,8.48089238845144
2500,8.51063867016623
2600,8.54038495188101
2700,8.54669816272966
2800,8.54494838145232
2900,8.57846019247594
3000,8.65370078740158
3100,8.71675240594926
3200,8.72112685914261
3300,8.72550131233596
3400,8.726
3500,8.726
3600,8.63839860950174
3700,8.49239629200463
3800,8.49020393974508
3900,8.49390961761298
4000,8.41221784472769
4100,8.36051757435303
4200,8.34989571263036
4300,8.3217999227501
4400,8.2860718424102
4500,8.34714168809914
4600,8.4325181201777
4700,8.54474631751228
4800,8.61932195464111
4900,8.72047930792612
5000,8.86918166939444
5100,8.87713116670563
5200,8.89419686696282
5300,8.97556231003039
5400,9.0117559036708
5500,9.04021890343699
5600,9.0770437806874
5700,9.09543817379941
5800,9.06261872192732
5900,8.99495804067298
6000,8.94593956717027
6100,8.95818946508779
6200,8.8888518639515
6300,8.83135953450388
6400,8.79019244119569
6500,8.74088107390772
6600,8.64798601469988
6700,8.61646806599151
6800,8.58571363493482
6900,8.5707109949804
7000,8.59919794501036
7100,8.56878350900286
7200,8.56593839716912
7300,8.63270447110142
7400,8.63521670606777
7500,8.56875541835845
7600,8.54142208333965
7700,8.52837656053274
7800,8.46488502320306
7900,8.40808327664326
8000,8.23403034309258
8100,8.19771785367508
8200,8.1678361086766
8300,8.09972898332383
8400,7.98410991226515
8500,7.93147601098644
8600,7.768277077905
8700,7.58473117748311
8800,7.46522492987377
8900,7.47260083170207
9000,7.49653424253935
9100,7.40534579778323
9200,7.30363111413043
9300,7.24824111290585
9400,7.26061310358646
9500,7.27745102830112
9600,7.27800133394087
9700,7.27222104095405
9800,7.25681319527904
9900,7.22450954560163
10000,7.13668076549716
10100,7.05011936635431
10200,6.98039602855868
10300,6.91067269076305
10400,6.85078451065729
10500,6.90100212029907
10600,6.95121972994086
10700,6.99878625613565
10800,7.02109772423025
10900,7.04340919232486
11000,7.06703492913737
11100,7.10162928244616
11200,7.13622363575494
11300,7.17094237621329
11400,7.20657328910186
11500,7.24220420199042
11600,7.27683997050148
11700,7.31002581120944
11800,7.3432116519174
