BP,KBP
5,0.005
19,0.019
24,0.024
43,0.043
96,0.096
121,0.121
123,0.123
200,0.2
300,0.3
400,0.4
520,0.52
597,0.597
597,0.597
920,0.92
950,0.95
950,0.95
980,0.98
1000,1
1000,1
1008,1.008
1008,1.008
1008,1.008
1008,1.008
1009,1.009
1050,1.05
1250,1.25
1300,1.3
1340,1.34
1350,1.35
1370,1.37
1507,1.507
1550,1.55
1700,1.7
1710,1.71
1710,1.71
1710,1.71
1900,1.9
2100,2.1
2100,2.1
2149,2.149
2250,2.25
2400,2.4
2450,2.45
2730,2.73
2880,2.88
2900,2.9
2929,2.929
3000,3
3000,3
3200,3.2
3450,3.45
3542,3.542
3650,3.65
3844,3.844
3950,3.95
4050,4.05
4150,4.15
4200,4.2
4200,4.2
4480,4.48
4570,4.57
4634,4.634
4730,4.73
4730,4.73
4950,4.95
5150,5.15
5150,5.15
5150,5.15
5316,5.316
5450,5.45
5544,5.544
5600,5.6
5740,5.74
6293,6.293
6350,6.35
6400,6.4
6414,6.414
6500,6.5
6850,6.85
7150,7.15
7150,7.15
7350,7.35
7350,7.35
7450,7.45
7649,7.649
7650,7.65
7650,7.65
7927,7.927
8300,8.3
8327,8.327
8327,8.327
8327,8.327
8330,8.33
8350,8.35
8387,8.387
8387,8.387
8387,8.387
8515,8.515
8515,8.515
8550,8.55
8550,8.55
8750,8.75
8821,8.821
8821,8.821
9000,9
9100,9.1
9250,9.25
9350,9.35
9450,9.45
9500,9.5
9550,9.55
9580,9.58
9642,9.642
9650,9.65
9850,9.85
9900,9.9
10000,10
10000,10
10000,10
10050,10.05
10150,10.15
10300,10.3
10700,10.7
10700,10.7
10700,10.7
11450,11.45
11450,11.45
15000,15
15000,15
15000,15
17899,17.899
19909,19.909
20000,20
22000,22
24014,24.014
27500,27.5
29887,29.887
