"Center_win","Average"
900,15.0736130383093
1000,15.1274766222475
1100,15.2179678714859
1200,15.2561154684096
1300,15.2743287653007
1400,15.2476057743481
1500,15.2294931036012
1600,15.250610257604
1700,15.2516154616184
1800,15.2639742322606
1900,15.2522876325378
2000,15.2230036348222
2100,15.1735579690084
2200,15.111127547435
2300,15.1122987819161
2400,15.1149250409932
2500,15.1013638188937
2600,15.0894639092461
2700,15.1195813673326
2800,15.1633107870696
2900,15.18451188803
3000,15.2024420238932
3100,15.2252810962755
3200,15.227233153744
3300,15.2705891716982
3400,15.3220739634575
3500,15.3771794070951
3600,15.4167402375437
3700,15.4202105619323
3800,15.4563316483005
3900,15.49544761846
4000,15.5154165524112
4100,15.5076136155899
4200,15.5039574421411
4300,15.502575317173
4400,15.484273349602
4500,15.4582995137289
4600,15.4439453767687
4700,15.4594841139264
4800,15.5120021768294
4900,15.579733971195
5000,15.6546292962726
5100,15.7204919786096
5200,15.7364335205726
5300,15.7735294117647
5400,15.7876470588235
5500,15.8028944741533
5600,15.8130371349637
5700,15.8509610447177
5800,15.853958302154
5900,15.8166340264346
6000,15.7477753599828
6100,15.6662867146644
6200,15.6207193703495
6300,15.5770843183609
