BP,KA
-30,-0.03
150,0.15
470,0.47
470,0.47
570,0.57
600,0.6
880,0.88
1260,1.26
1260,1.26
1460,1.46
1640,1.64
1650,1.65
2090,2.09
2090,2.09
2200,2.2
2360,2.36
2480,2.48
3720,3.72
3810,3.81
4290,4.29
7630,7.63
7850,7.85
10950,10.95
12000,12
12000,12
13150,13.15
14000,14
14100,14.1
14480,14.48
20000,20
27000,27
30000,30
