BP,KA
18000,18
1500,1.5
14000,14
4500,4.5
4500,4.5
100,0.1
300,0.3
400,0.4
1200,1.2
1900,1.9
2500,2.5
2800,2.8
4000,4
9900,9.9
9900,9.9
9900,9.9
23000,23
25000,25
25000,25
30000,30
1480,1.48
1650,1.65
1735,1.735
1740,1.74
1740,1.74
1740,1.74
1890,1.89
15200,15.2
1800,1.8
2269,2.269
2691,2.691
58,0.058
90,0.09
90,0.09
126,0.126
130,0.13
150,0.15
230,0.23
1310,1.31
1376,1.376
1927,1.927
2070,2.07
3030,3.03
3640,3.64
6250,6.25
6550,6.55
6910,6.91
7141,7.141
7898,7.898
7970,7.97
8369,8.369
8806,8.806
9599,9.599
9610,9.61
9958,9.958
10040,10.04
10078,10.078
10189,10.189
10300,10.3
10425,10.425
10550,10.55
19960,19.96
30000,30
30000,30
64,0.064
112,0.112
11,0.011
2569,2.569
3069,3.069
9846,9.846
4539,4.539
7824,7.824
8886,8.886
9362,9.362
5813,5.813
28,0.028
48,0.048
321,0.321
1141,1.141
1617,1.617
2123,2.123
2627,2.627
3920,3.92
4786,4.786
7290,7.29
7630,7.63
7834,7.834
11497,11.497
13867,13.867
14602,14.602
129,0.129
2262,2.262
1415,1.415
1585,1.585
2057,2.057
2594,2.594
8301,8.301
11322,11.322
12520,12.52
10,0.01
64,0.064
74,0.074
87,0.087
155,0.155
157,0.157
379,0.379
8289,8.289
9076,9.076
9921,9.921
10651,10.651
12027,12.027
12908,12.908
14937,14.937
16092,16.092
1476,1.476
1707,1.707
2900,2.9
7587,7.587
4069,4.069
4277,4.277
7363,7.363
100,0.1
185,0.185
240,0.24
240,0.24
350,0.35
690,0.69
1020,1.02
1250,1.25
1254,1.254
1562,1.562
2234,2.234
4042,4.042
4240,4.24
5010,5.01
5520,5.52
6200,6.2
9650,9.65
10960,10.96
11495,11.495
8,0.008
59,0.059
98,0.098
637,0.637
807,0.807
1133,1.133
1955,1.955
2244,2.244
5200,5.2
6400,6.4
6710,6.71
6900,6.9
8550,8.55
10488,10.488
11500,11.5
12000,12
12300,12.3
12555,12.555
14900,14.9
16500,16.5
18700,18.7
9069,9.069
1183,1.183
3029,3.029
35,0.035
35,0.035
48,0.048
48,0.048
48,0.048
48,0.048
220,0.22
530,0.53
1080,1.08
1620,1.62
1840,1.84
1996,1.996
2289,2.289
2620,2.62
3030,3.03
3510,3.51
3580,3.58
3650,3.65
3670,3.67
3710,3.71
3740,3.74
3770,3.77
3950,3.95
4000,4
4000,4
4000,4
4000,4
4000,4
4060,4.06
4190,4.19
5680,5.68
8059,8.059
8380,8.38
8640,8.64
9710,9.71
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10130,10.13
10660,10.66
13410,13.41
13570,13.57
13690,13.69
13750,13.75
13790,13.79
13800,13.8
13830,13.83
13840,13.84
13840,13.84
13845,13.845
13890,13.89
13920,13.92
13970,13.97
14320,14.32
14573,14.573
26150,26.15
29420,29.42
71,0.071
588,0.588
1532,1.532
2698,2.698
4032,4.032
4674,4.674
6477,6.477
9588,9.588
12670,12.67
16487,16.487
7547,7.547
9765,9.765
2569,2.569
