BP,KA
-58,-0.058
-41,-0.041
-41,-0.041
-41,-0.041
-41,-0.041
-41,-0.041
-41,-0.041
57,0.057
1400,1.4
1403,1.403
1620,1.62
1995,1.995
2770,2.77
2770,2.77
3200,3.2
3840,3.84
3840,3.84
4000,4
4270,4.27
5050,5.05
7450,7.45
7530,7.53
7690,7.69
7710,7.71
7710,7.71
8800,8.8
9400,9.4
9590,9.59
9700,9.7
10364,10.364
10380,10.38
14600,14.6
14817,14.817
17370,17.37
17370,17.37
