ID,Lat,Long,Name
3,-45.8999981,-72.984,Hudson
4,-39.9097202,-72.0550096,Mocho Choshuenco
5,-41.1041647,-72.513342,Osorno
6,-40.5827759,-72.1297318,Puyehue Cordon Caulle
