Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
1,5.210,29.1,3,-31,-23,191,,12,G. sacculifer & G. ruber,580,110,80,148,-2,333,149,1,333
7,5.010,28.7,19,66,72,141,,55,G. sacculifer & G. ruber,815,200,80,353,-1,632,354,1,631
15,5.300,29.3,41,166,160,90,,99,G. sacculifer & G. ruber,1010,100,80,537,333,681,537,333,681
16,4.980,28.6,44,170,165,93,,145,G. sacculifer & G. ruber,1090,120,80,595,398,828,595,398,828
19,4.700,27.9,54,183,177,101,,238,G. sacculifer,1900,100,80,1376,1170,1596,1376,1170,1596
21,4.790,28.2,60,191,185,105,,401,G. sacculifer,3960,150,80,3856,3459,4259,3856,3459,4259
23,4.980,28.6,66,199,193,109,,501,G. sacculifer,4070,190,80,4007,3506,4507,4007,3506,4507
24,5.310,29.3,69,203,197,110,,711,G. sacculifer,6950,50,80,7384,7276,7479,7384,7276,7479
27,5.290,29.3,79,215,210,115,,755,G. sacculifer,7360,50,80,7743,7630,7862,7743,7630,7862
30,5.120,28.9,89,227,222,118,,861,G. sacculifer,9480,65,80,10252,10125,10427,10252,10125,10427
31,4.860,28.3,92,231,226,119,,920,G. sacculifer,10450,120,80,11480,11169,11903,11480,11169,11903
34,5.110,28.9,103,242,238,121,,940,G. sacculifer,11050,310,80,12376,11382,13054,12329,11379,13084
38,5.740,30.2,117,257,254,122,,986,P. obliquiloculata -dirty,10950,75,80,12425,12102,12695,12369,12104,12585
41,4.970,28.6,127,268,266,122,,986,P. obliquiloculata ,11100,75,80,12664,12376,12816,12536,12345,12686
43,4.660,27.9,135,276,275,121,,986,G. ruber,11050,75,80,12574,12311,12804,12467,12256,12647
50,5.390,29.5,161,300,303,114,,1000,G. ruber,11150,80,80,12717,12384,12848,12588,12373,12731
56,4.870,28.3,185,320,327,107,,1036,G. ruber,12100,80,80,13466,13292,13664,13463,13288,13683
61,5.410,29.5,206,343,348,118,,1046,N. dutertrei,12450,75,80,13829,13681,14000,13824,13627,14017
66,5.730,30.2,227,365,369,124,,1047,P. obliquiloculata ,12650,65,80,14021,13844,14173,14013,13803,14213
69,4.920,28.5,240,378,381,126,,1047,G. sacculifer,12400,210,80,13779,13271,14312,13774,13285,14501
71,5.170,29.0,248,386,389,127,,1049,P. obliquiloculata -dirty,12850,70,80,14362,14062,14791,14411,14042,14932
74,4.750,28.1,262,399,402,127,,1049,P. obliquiloculata ,12600,65,80,13967,13811,14119,13961,13795,14145
77,5.190,29.1,275,412,414,127,,1049,G. ruber,12650,80,80,14022,13813,14491,14017,13778,14491
79,4.970,28.6,285,420,422,125,,1054,P. obliquiloculata ,12800,70,80,14242,13998,14686,14317,13982,14890
84,5.070,28.8,308,441,442,120,,1054,G. sacculifer,12900,45,80,14433,14155,14809,14474,14128,14955
86,5.180,29.0,318,449,451,117,,1061,G. ruber,12850,80,80,14371,14050,14821,14417,14033,14949
87,5.010,28.7,322,453,455,116,,1086,G. sacculifer,13400,55,230,15074,14834,15343,15151,14775,15614
89,5.020,28.7,332,461,463,112,,1086,G. ruber,13450,75,230,15133,14882,15460,15262,14900,15893
91,4.800,28.2,342,470,471,107,,1211,G. sacculifer,15550,65,230,18250,17973,18551,18267,17905,18528
94,5.050,28.7,357,482,483,98,,1286,G. sacculifer,16800,95,230,19333,19097,19491,19297,18913,19530
96,5.500,29.7,367,489,491,91,,1486,G. sacculifer,20300,260,230,23451,22637,24140,23494,22627,24170
105,5.670,30.0,413,522,523,93,,1711,G. sacculifer,24800,130,230,,,,28981,28527,29394
110,5.890,30.5,440,539,539,103,,,,,,,,,,,,
113,5.710,30.1,456,549,549,107,,,,,,,,,,,,
115,5.260,29.2,467,556,555,109,,,,,,,,,,,,
117,5.730,30.1,479,563,561,110,,,,,,,,,,,,
