Proxy depth,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
1,21.3,88,-49,-14,285,,9,G. inflata,940,30,100,467,321,550,467,321,550
3,19.7,186,69,100,249,,17,G. bulloides,1130,50,100,603,500,712,603,500,712
5,18.6,284,187,213,206,,29,G. bulloides,1390,40,100,832,692,953,832,692,953
7,17.8,382,307,326,151,,53,G. inflata,1970,40,100,1417,1283,1554,1417,1283,1554
9,21.1,480,432,431,58,,65,G. bulloides,2550,40,100,2098,1937,2287,2098,1937,2287
11,19.7,515,474,474,97,,89,G. bulloides,4290,40,100,4276,4077,4439,4276,4077,4439
13,22.0,550,517,517,107,,101,G. bulloides,4220,40,100,4180,3985,4375,4180,3985,4375
15,20.2,585,562,561,96,,121,G. inflata,4560,20,100,4647,4494,4806,4647,4494,4806
17,21.7,620,610,606,51,,123,G. bulloides,5080,40,100,5336,5088,5508,5336,5088,5508
19,21.2,656,641,643,90,,158,G. bulloides,7100,40,100,7496,7390,7610,7496,7390,7610
21,21.8,693,676,679,106,,184,G. bulloides,7620,40,100,7982,7850,8137,7982,7850,8137
23,19.0,730,711,715,112,,186,G. bulloides,7590,40,100,7951,7815,8111,7951,7815,8111
25,18.3,766,747,752,108,,202,G. bulloides,9280,60,100,9973,9703,10178,9973,9703,10178
27,20.3,803,783,788,94,,230,G. bulloides,10520,40,100,11507,11237,11835,11507,11237,11835
29,20.3,840,823,825,66,,259,G. bulloides,11780,40,100,13167,13049,13286,13179,12964,13322
31,20.1,886,869,874,113,,278,G. bulloides,11780,40,100,13167,13049,13286,13179,12964,13322
33,20.4,933,917,923,141,,279,G. bulloides,11860,60,100,13227,13094,13366,13233,13099,13387
35,21.4,980,966,972,160,,294,G. bulloides,12360,60,100,13717,13479,13881,13702,13458,13875
37,21.7,1026,1015,1022,172,,313,G. bullodies,13180,80,100,14934,14442,15272,14982,14253,15540
39,21.8,1073,1064,1071,180,,324,G. bulloides,13030,40,100,14673,14250,15003,14697,14217,15097
