Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
12.5,4.460,27.4,1050,1055,1056,79,,12.5,G. sacculifer,1505,35,0,1055,957,1156,1055,957,1156
17.5,4.370,27.1,1199,1202,1203,168,,92.5,G. sacculifer,3550,35,0,3435,3351,3542,3435,3351,3542
22.5,4.610,27.7,1348,1351,1353,226,,317.5,G. sacculifer,9860,45,0,10747,10587,11004,10747,10587,11004
27.5,4.600,27.7,1496,1500,1502,265,,557.5,G. sacculifer & G. ruber,14080,55,0,16286,15934,16695,16818,16639,16996
32.5,4.530,27.5,1645,1649,1651,293,,,,,,,,,,,,
37.5,4.750,28.1,1794,1798,1801,313,,,,,,,,,,,,
42.5,4.620,27.8,1943,1947,1950,327,,,,,,,,,,,,
47.5,4.380,27.2,2091,2097,2100,335,,,,,,,,,,,,
52.5,4.840,28.3,2240,2246,2249,338,,,,,,,,,,,,
57.5,4.610,27.7,2389,2396,2399,335,,,,,,,,,,,,
62.5,4.510,27.5,2538,2545,2549,327,,,,,,,,,,,,
67.5,4.740,28.0,2686,2695,2698,314,,,,,,,,,,,,
72.5,4.810,28.2,2835,2845,2848,294,,,,,,,,,,,,
77.5,4.690,27.9,2984,2995,2998,266,,,,,,,,,,,,
82.5,4.820,28.2,3133,3145,3148,227,,,,,,,,,,,,
87.5,4.480,27.4,3281,3295,3298,169,,,,,,,,,,,,
92.5,4.500,27.5,3430,3447,3450,73,,,,,,,,,,,,
97.5,4.630,27.8,3590,3608,3611,181,,,,,,,,,,,,
102.5,4.640,27.8,3749,3770,3774,248,,,,,,,,,,,,
107.5,4.610,27.7,3909,3933,3937,298,,,,,,,,,,,,
112.5,4.780,28.1,4068,4096,4100,339,,,,,,,,,,,,
117.5,4.790,28.2,4228,4259,4263,374,,,,,,,,,,,,
127.5,4.660,27.9,4547,4584,4590,430,,,,,,,,,,,,
137.5,4.810,28.2,4866,4911,4916,474,,,,,,,,,,,,
142.5,4.670,27.9,5026,5074,5079,493,,,,,,,,,,,,
147.5,4.350,27.1,5185,5237,5242,509,,,,,,,,,,,,
152.5,4.520,27.5,5345,5400,5406,524,,,,,,,,,,,,
167.5,4.700,28.0,5823,5890,5896,558,,,,,,,,,,,,
177.5,5.180,29.0,6142,6216,6222,574,,,,,,,,,,,,
187.5,4.670,27.9,6462,6543,6549,585,,,,,,,,,,,,
197.5,4.800,28.2,6781,6869,6876,591,,,,,,,,,,,,
202.5,4.670,27.9,6940,7033,7039,593,,,,,,,,,,,,
207.5,4.630,27.8,7100,7196,7202,593,,,,,,,,,,,,
212.5,4.670,27.9,7259,7359,7366,592,,,,,,,,,,,,
217.5,4.680,27.9,7419,7523,7529,590,,,,,,,,,,,,
222.5,4.690,27.9,7578,7686,7693,587,,,,,,,,,,,,
227.5,4.660,27.9,7738,7849,7856,582,,,,,,,,,,,,
232.5,4.790,28.2,7898,8013,8019,576,,,,,,,,,,,,
237.5,4.510,27.5,8057,8176,8183,569,,,,,,,,,,,,
242.5,4.620,27.8,8217,8340,8346,561,,,,,,,,,,,,
247.5,4.930,28.5,8376,8503,8510,552,,,,,,,,,,,,
252.5,4.790,28.2,8536,8667,8673,541,,,,,,,,,,,,
257.5,4.510,27.5,8695,8830,8837,528,,,,,,,,,,,,
262.5,4.420,27.3,8855,8994,9000,514,,,,,,,,,,,,
267.5,4.830,28.3,9014,9157,9164,498,,,,,,,,,,,,
272.5,4.890,28.4,9174,9321,9327,480,,,,,,,,,,,,
277.5,4.780,28.1,9334,9485,9491,460,,,,,,,,,,,,
282.5,4.630,27.8,9493,9648,9655,438,,,,,,,,,,,,
287.5,4.970,28.6,9653,9812,9818,412,,,,,,,,,,,,
292.5,4.910,28.4,9812,9976,9982,384,,,,,,,,,,,,
307.5,4.530,27.5,10291,10468,10473,265,,,,,,,,,,,,
317.5,4.500,27.5,10610,10795,10799,119,,,,,,,,,,,,
327.5,4.490,27.4,10893,11025,11051,230,,,,,,,,,,,,
337.5,4.550,27.6,11176,11253,11300,300,,,,,,,,,,,,
347.5,4.420,27.3,11459,11482,11551,352,,,,,,,,,,,,
357.5,4.330,27.0,11772,11712,11801,392,,,,,,,,,,,,
367.5,4.380,27.2,12117,11941,12051,425,,,,,,,,,,,,
372.5,4.070,26.4,12289,12056,12176,439,,,,,,,,,,,,
382.5,4.100,26.4,12633,12285,12427,462,,,,,,,,,,,,
387.5,4.000,26.2,12806,12400,12552,472,,,,,,,,,,,,
392.5,4.280,26.9,12978,12515,12677,481,,,,,,,,,,,,
397.5,4.140,26.5,13150,12630,12803,489,,,,,,,,,,,,
401.5,4.180,26.6,13288,12722,12903,495,,,,,,,,,,,,
402.5,4.150,26.6,13322,12745,12928,496,,,,,,,,,,,,
407.5,4.500,27.5,13494,12860,13053,502,,,,,,,,,,,,
411.5,4.180,26.6,13632,12951,13153,506,,,,,,,,,,,,
412.5,4.420,27.3,13667,12974,13178,507,,,,,,,,,,,,
417.5,4.210,26.7,13839,13089,13304,511,,,,,,,,,,,,
421.5,4.340,27.1,13977,13181,13404,513,,,,,,,,,,,,
422.5,4.170,26.6,14011,13204,13429,514,,,,,,,,,,,,
431.5,4.090,26.4,14321,13411,13655,518,,,,,,,,,,,,
432.5,3.830,25.7,14356,13434,13680,518,,,,,,,,,,,,
441.5,4.040,26.3,14666,13641,13905,519,,,,,,,,,,,,
442.5,3.950,26.0,14700,13664,13930,519,,,,,,,,,,,,
451.5,3.750,25.4,14826,13871,14156,516,,,,,,,,,,,,
452.5,3.980,26.1,14840,13894,14181,516,,,,,,,,,,,,
461.5,3.990,26.1,14966,14101,14407,510,,,,,,,,,,,,
471.5,3.910,25.9,15106,14331,14658,501,,,,,,,,,,,,
491.5,4.290,26.9,15386,14791,15159,472,,,,,,,,,,,,
501.5,3.970,26.1,15526,15021,15410,451,,,,,,,,,,,,
511.5,4.010,26.2,15666,15252,15661,425,,,,,,,,,,,,
521.5,3.850,25.7,15806,15482,15912,393,,,,,,,,,,,,
531.5,4.060,26.3,15946,15713,16163,354,,,,,,,,,,,,
541.5,3.790,25.6,16086,15944,16415,304,,,,,,,,,,,,
551.5,3.960,26.0,16226,16175,16666,240,,,,,,,,,,,,
571.5,3.730,25.4,16506,16710,17216,329,,,,,,,,,,,,
611.5,3.600,25.0,17066,17851,18376,568,,,,,,,,,,,,
631.5,3.510,24.7,17346,18421,18958,655,,,,,,,,,,,,
651.5,3.470,24.6,17626,18992,19540,732,,,,,,,,,,,,
691.5,3.470,24.6,18186,20133,20707,865,,,,,,,,,,,,
731.5,3.500,24.7,18746,21275,21874,981,,,,,,,,,,,,
751.5,3.500,24.7,19026,21845,22458,1034,,,,,,,,,,,,
791.5,3.580,24.9,19586,22987,23627,1132,,,,,,,,,,,,
811.5,3.630,25.1,19866,23558,24211,1178,,,,,,,,,,,,
831.5,3.720,25.4,20146,24129,24795,1223,,,,,,,,,,,,
851.5,3.510,24.7,20426,24699,25380,1266,,,,,,,,,,,,
911.5,3.660,25.2,21266,26412,27134,1386,,,,,,,,,,,,
931.5,4.060,26.3,21546,26982,27719,1424,,,,,,,,,,,,
941.5,3.840,25.7,21686,27268,28011,1443,,,,,,,,,,,,
951.5,4.000,26.2,21826,27553,28303,1461,,,,,,,,,,,,
971.5,4.090,26.4,22106,28124,28888,1497,,,,,,,,,,,,
