Proxy depth,TEX86,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
0.5,0.414,25.7,19,NaN,NaN,NaN,,20,planktics,1410,50,190,766,664,890,766,664,890
380.5,0.434,27.1,14651,14752,14979,277,,,,,,,,,,,,
385.5,0.454,28.4,15221,15274,15631,300,,,,,,,,,,,,
390.5,0.465,29.2,15792,15790,16275,213,,,,,,,,,,,,
393.0,0.476,29.8,15936,15939,16448,193,,,,,,,,,,,,
395.5,0.455,28.5,16021,16044,16557,195,,,,,,,,,,,,
397.5,0.458,28.6,16088,16127,16643,190,,,,,,,,,,,,
400.5,0.441,27.6,16201,16256,16767,179,,,,,,,,,,,,
403.0,0.454,28.4,16346,16386,16872,203,,,,,,,,,,,,
405.5,0.453,28.4,16491,16513,16975,212,,,,,,,,,,,,
408.0,0.426,26.5,16636,16639,17076,211,,,,,,,,,,,,
410.5,0.448,28.0,16781,16764,17175,197,,,,,,,,,,,,
413.0,0.421,26.2,17005,16987,17378,264,,,,,,,,,,,,
415.5,0.411,25.6,17263,17249,17624,338,,,,,,,,,,,,
418.0,0.401,24.9,17521,17510,17868,394,,,,,,,,,,,,
420.5,0.391,24.2,17779,17770,18111,439,,,,,,,,,,,,
423.0,0.371,22.9,18037,18030,18354,476,,,,,,,,,,,,
425.5,0.380,23.5,18295,18290,18597,507,,,,,,,,,,,,
428.0,0.372,23.0,18553,18550,18840,533,,,,,,,,,,,,
430.5,0.394,24.4,18811,18809,19083,555,,,,,,,,,,,,
433.0,0.369,22.8,19069,19069,19325,572,,,,,,,,,,,,
435.5,0.370,22.8,19326,19328,19567,586,,,,,,,,,,,,
438.0,0.366,22.5,19584,19588,19809,597,,,,,,,,,,,,
440.5,0.364,22.4,19842,19847,20051,605,,,,,,,,,,,,
443.0,0.363,22.4,20100,20106,20293,609,,,,,,,,,,,,
445.5,0.371,22.9,20358,20365,20535,611,,,,,,,,,,,,
448.0,0.365,22.5,20616,20624,20776,610,,,,,,,,,,,,
450.5,0.370,22.8,20874,20882,21018,606,,,,,,,,,,,,
453.0,0.366,22.5,21132,21141,21259,598,,,,,,,,,,,,
455.5,0.378,23.4,21390,21399,21501,588,,,,,,,,,,,,
458.0,0.370,22.8,21648,21658,21742,575,,,,,,,,,,,,
460.5,0.367,22.6,21906,21916,21983,557,,,,,,,,,,,,
463.0,0.365,22.5,22164,22174,22224,536,,,,,,,,,,,,
