Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
174,0.912,25.7,22860,23373,23362,287,,,,,,,,,,,,
176,0.915,25.8,22980,23544,23525,274,,,,,,,,,,,,
178,0.910,25.6,23100,23716,23687,259,,,,,,,,,,,,
180,0.904,25.4,23220,23887,23849,238,,,,,,,,,,,,
182,0.900,25.3,23340,24058,24010,209,,,,,,,,,,,,
184,0.881,24.8,23630,24404,24358,272,,,,,,,,,,,,
186,0.886,24.9,24090,24927,24891,364,,,,,,,,,,,,
188,0.880,24.7,24550,25451,25422,410,,,,,,,,,,,,
190,0.896,25.2,25010,25976,25952,427,,,,,,,,,,,,
192,0.917,25.8,25470,26501,26480,417,,,,,,,,,,,,
194,0.927,26.1,25850,26904,26886,412,,,,,,,,,,,,
196,0.889,25.0,26140,27183,27172,424,,,,,,,,,,,,
198,0.881,24.8,26430,27462,27457,432,,,,,,,,,,,,
200,0.878,24.7,26720,27742,27742,435,,,,,,,,,,,,
202,0.896,25.2,27010,28022,28026,433,,,,,,,,,,,,
204,0.910,25.6,27300,28302,28311,426,,,,,,,,,,,,
206,0.920,25.9,27590,28583,28594,415,,,,,,,,,,,,
208,0.919,25.9,27880,28864,28878,399,,,,,,,,,,,,
210,0.914,25.7,28170,29145,29161,378,,,,,,,,,,,,
212,0.902,25.4,28460,29426,29443,353,,,,,,,,,,,,
214,0.910,25.6,28680,29649,29664,341,,,,,,,,,,,,
216,0.912,25.7,28840,29811,29825,342,,,,,,,,,,,,
218,0.915,25.8,29000,29973,29985,341,,,,,,,,,,,,
220,0.916,25.8,29160,30134,30145,337,,,,,,,,,,,,
222,0.911,25.6,29320,30296,30304,330,,,,,,,,,,,,
224,0.912,25.7,29480,30458,30463,318,,,,,,,,,,,,
226,0.921,26.0,29640,30620,30622,303,,,,,,,,,,,,
228,0.905,25.5,29800,30782,30780,282,,,,,,,,,,,,
230,0.901,25.3,29960,30944,30938,254,,,,,,,,,,,,
232,0.904,25.4,30120,31107,31096,216,,,,,,,,,,,,
234,0.906,25.5,30460,31403,31390,254,,,,,,,,,,,,
236,0.904,25.4,30980,31832,31821,357,,,,,,,,,,,,
238,0.913,25.7,31500,32263,32248,441,,,,,,,,,,,,
240,0.906,25.5,31730,32462,32454,456,,,,,,,,,,,,
242,0.911,25.6,31970,32663,32657,467,,,,,,,,,,,,
244,0.927,26.1,32200,32863,32860,477,,,,,,,,,,,,
246,0.923,26.0,32430,33064,33062,487,,,,,,,,,,,,
248,0.917,25.8,32670,33265,33265,495,,,,,,,,,,,,
250,0.921,25.9,32900,33467,33467,503,,,,,,,,,,,,
252,0.921,26.0,33130,33668,33669,510,,,,,,,,,,,,
254,0.928,26.2,33370,33869,33871,516,,,,,,,,,,,,
256,0.922,26.0,33600,34070,34073,521,,,,,,,,,,,,
258,0.923,26.0,33830,34272,34275,526,,,,,,,,,,,,
260,0.920,25.9,34070,34473,34477,531,,,,,,,,,,,,
262,0.922,26.0,34300,34675,34678,535,,,,,,,,,,,,
264,0.911,25.7,34530,34877,34880,538,,,,,,,,,,,,
266,0.914,25.7,34770,35079,35081,541,,,,,,,,,,,,
268,0.915,25.8,35000,35282,35279,543,,,,,,,,,,,,
270,0.919,25.9,35200,35517,35521,565,,,,,,,,,,,,
272,0.918,25.8,35410,35754,35760,585,,,,,,,,,,,,
274,0.920,25.9,35610,35991,35998,604,,,,,,,,,,,,
276,0.924,26.0,35820,36229,36236,622,,,,,,,,,,,,
278,0.914,25.7,36020,36466,36474,640,,,,,,,,,,,,
280,0.915,25.8,36230,36704,36712,657,,,,,,,,,,,,
282,0.922,26.0,36430,36941,36950,674,,,,,,,,,,,,
284,0.922,26.0,36630,37179,37188,690,,,,,,,,,,,,
286,0.920,25.9,36840,37417,37425,706,,,,,,,,,,,,
288,0.925,26.1,37040,37654,37663,721,,,,,,,,,,,,
290,0.928,26.2,37250,37892,37900,737,,,,,,,,,,,,
292,0.925,26.0,37450,38130,38138,752,,,,,,,,,,,,
294,0.923,26.0,37650,38368,38375,767,,,,,,,,,,,,
296,0.925,26.1,37860,38606,38612,782,,,,,,,,,,,,
298,0.915,25.8,38060,38844,38849,796,,,,,,,,,,,,
300,0.921,25.9,38270,39082,39086,811,,,,,,,,,,,,
302,0.923,26.0,38480,39320,39323,825,,,,,,,,,,,,
304,0.920,25.9,38740,39558,39560,840,,,,,,,,,,,,
306,0.910,25.6,38990,39796,39797,854,,,,,,,,,,,,
308,0.878,24.7,39250,40034,40034,868,,,,,,,,,,,,
310,0.884,24.9,39500,40272,40271,882,,,,,,,,,,,,
312,0.891,25.1,39760,40511,40508,897,,,,,,,,,,,,
314,0.879,24.7,40010,40749,40744,911,,,,,,,,,,,,
316,0.896,25.2,40270,40987,40981,925,,,,,,,,,,,,
318,0.879,24.7,40520,41226,41217,940,,,,,,,,,,,,
320,0.886,24.9,40780,41464,41454,954,,,,,,,,,,,,
322,0.913,25.7,41030,41703,41690,969,,,,,,,,,,,,
324,0.903,25.4,41290,41942,41926,985,,,,,,,,,,,,
326,0.895,25.2,41540,42181,42161,1001,,,,,,,,,,,,
328,0.895,25.2,41800,42421,42394,1024,,,,,,,,,,,,
330,0.898,25.3,41900,42618,42596,941,,,,,,,,,,,,
332,0.908,25.5,42000,42814,42797,867,,,,,,,,,,,,
334,0.901,25.4,42100,43010,42997,798,,,,,,,,,,,,
336,0.907,25.5,42200,43206,43197,737,,,,,,,,,,,,
338,0.903,25.4,42300,43401,43397,683,,,,,,,,,,,,
340,0.898,25.3,42400,43597,43597,638,,,,,,,,,,,,
342,0.902,25.4,42500,43792,43797,605,,,,,,,,,,,,
344,0.907,25.5,42600,43988,43996,583,,,,,,,,,,,,
346,0.907,25.5,42700,44183,44195,575,,,,,,,,,,,,
348,0.909,25.6,42800,44377,44393,575,,,,,,,,,,,,
350,0.907,25.5,43010,44628,44656,577,,,,,,,,,,,,
352,0.905,25.5,43220,44882,44916,587,,,,,,,,,,,,
354,0.906,25.5,43420,45135,45174,606,,,,,,,,,,,,
356,0.905,25.5,43630,45389,45433,634,,,,,,,,,,,,
358,0.896,25.2,43840,45643,45691,670,,,,,,,,,,,,
360,0.901,25.3,44050,45898,45949,714,,,,,,,,,,,,
362,0.902,25.4,44260,46152,46206,763,,,,,,,,,,,,
364,0.911,25.7,44460,46407,46463,818,,,,,,,,,,,,
366,0.911,25.6,44670,46662,46720,877,,,,,,,,,,,,
368,0.918,25.9,44880,46917,46977,939,,,,,,,,,,,,
370,0.918,25.9,45090,47172,47233,1004,,,,,,,,,,,,
372,0.922,26.0,45300,47428,47487,1073,,,,,,,,,,,,
374,0.924,26.0,45460,NaN,NaN,NaN,,,,,,,,,,,,
376,0.917,25.8,45570,NaN,NaN,NaN,,,,,,,,,,,,
378,0.915,25.8,45680,NaN,NaN,NaN,,,,,,,,,,,,
380,0.909,25.6,45790,NaN,NaN,NaN,,,,,,,,,,,,
382,0.905,25.5,45910,NaN,NaN,NaN,,,,,,,,,,,,
384,0.904,25.4,46020,NaN,NaN,NaN,,,,,,,,,,,,
386,0.907,25.5,46130,NaN,NaN,NaN,,,,,,,,,,,,
388,0.914,25.7,46250,NaN,NaN,NaN,,,,,,,,,,,,
390,0.901,25.4,46360,NaN,NaN,NaN,,,,,,,,,,,,
392,0.898,25.3,46470,NaN,NaN,NaN,,,,,,,,,,,,
394,0.903,25.4,46580,NaN,NaN,NaN,,,,,,,,,,,,
396,0.898,25.3,46700,NaN,NaN,NaN,,,,,,,,,,,,
398,0.902,25.4,46810,NaN,NaN,NaN,,,,,,,,,,,,
400,0.905,25.5,46940,NaN,NaN,NaN,,,,,,,,,,,,
402,0.910,25.6,47230,NaN,NaN,NaN,,,,,,,,,,,,
404,0.912,25.7,47530,NaN,NaN,NaN,,,,,,,,,,,,
406,0.907,25.5,47820,NaN,NaN,NaN,,,,,,,,,,,,
408,0.920,25.9,48110,NaN,NaN,NaN,,,,,,,,,,,,
410,0.919,25.9,48410,NaN,NaN,NaN,,,,,,,,,,,,
412,0.919,25.9,48700,NaN,NaN,NaN,,,,,,,,,,,,
414,0.924,26.0,48990,NaN,NaN,NaN,,,,,,,,,,,,
416,0.924,26.0,49290,NaN,NaN,NaN,,,,,,,,,,,,
418,0.924,26.0,49580,NaN,NaN,NaN,,,,,,,,,,,,
420,0.927,26.1,49870,NaN,NaN,NaN,,,,,,,,,,,,
422,0.927,26.1,50170,NaN,NaN,NaN,,,,,,,,,,,,
424,0.933,26.3,50460,NaN,NaN,NaN,,,,,,,,,,,,
426,0.933,26.3,50750,NaN,NaN,NaN,,,,,,,,,,,,
428,0.932,26.3,51040,NaN,NaN,NaN,,,,,,,,,,,,
430,0.935,26.4,51340,NaN,NaN,NaN,,,,,,,,,,,,
432,0.932,26.3,51630,NaN,NaN,NaN,,,,,,,,,,,,
434,0.936,26.4,51920,NaN,NaN,NaN,,,,,,,,,,,,
436,0.935,26.4,52210,NaN,NaN,NaN,,,,,,,,,,,,
438,0.935,26.4,52490,NaN,NaN,NaN,,,,,,,,,,,,
440,0.931,26.2,52770,NaN,NaN,NaN,,,,,,,,,,,,
442,0.926,26.1,53050,NaN,NaN,NaN,,,,,,,,,,,,
444,0.929,26.2,53330,NaN,NaN,NaN,,,,,,,,,,,,
446,0.931,26.2,53610,NaN,NaN,NaN,,,,,,,,,,,,
448,0.932,26.3,53880,NaN,NaN,NaN,,,,,,,,,,,,
450,0.936,26.4,54160,NaN,NaN,NaN,,,,,,,,,,,,
452,0.940,26.5,54440,NaN,NaN,NaN,,,,,,,,,,,,
454,0.937,26.4,54730,NaN,NaN,NaN,,,,,,,,,,,,
456,0.946,26.7,55020,NaN,NaN,NaN,,,,,,,,,,,,
458,0.947,26.7,55310,NaN,NaN,NaN,,,,,,,,,,,,
460,0.945,26.7,55600,NaN,NaN,NaN,,,,,,,,,,,,
462,0.933,26.3,55890,NaN,NaN,NaN,,,,,,,,,,,,
464,0.937,26.4,56180,NaN,NaN,NaN,,,,,,,,,,,,
466,0.946,26.7,56470,NaN,NaN,NaN,,,,,,,,,,,,
468,0.941,26.5,56760,NaN,NaN,NaN,,,,,,,,,,,,
470,0.935,26.4,57050,NaN,NaN,NaN,,,,,,,,,,,,
472,0.938,26.4,57340,NaN,NaN,NaN,,,,,,,,,,,,
474,0.922,26.0,57630,NaN,NaN,NaN,,,,,,,,,,,,
476,0.913,25.7,57920,NaN,NaN,NaN,,,,,,,,,,,,
478,0.897,25.2,58210,NaN,NaN,NaN,,,,,,,,,,,,
480,0.898,25.3,58500,NaN,NaN,NaN,,,,,,,,,,,,
482,0.883,24.8,58790,NaN,NaN,NaN,,,,,,,,,,,,
484,0.885,24.9,59080,NaN,NaN,NaN,,,,,,,,,,,,
488,0.891,25.1,59660,NaN,NaN,NaN,,,,,,,,,,,,
490,0.875,24.6,59950,NaN,NaN,NaN,,,,,,,,,,,,
492,0.883,24.8,60240,NaN,NaN,NaN,,,,,,,,,,,,
494,0.875,24.6,60530,NaN,NaN,NaN,,,,,,,,,,,,
496,0.891,25.1,60830,NaN,NaN,NaN,,,,,,,,,,,,
498,0.878,24.7,61120,NaN,NaN,NaN,,,,,,,,,,,,
500,0.886,24.9,61410,NaN,NaN,NaN,,,,,,,,,,,,
502,0.888,25.0,61700,NaN,NaN,NaN,,,,,,,,,,,,
504,0.885,24.9,61990,NaN,NaN,NaN,,,,,,,,,,,,
506,0.878,24.7,62280,NaN,NaN,NaN,,,,,,,,,,,,
