Proxy depth,TEX86,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
2.5,0.424,26.4,200,19,28,343,,7.5,planktics,1230,60,190,610,509,711,610,509,711
5.0,0.440,27.5,400,315,322,246,,35,planktics,3350,100,190,2966,2736,3229,2966,2736,3229
7.5,0.435,27.1,600,603,598,125,,55,planktics,5540,90,190,5723,5539,5922,5723,5539,5922
10.0,0.430,26.8,820,838,823,197,,70,planktics,7850,90,190,8122,7941,8320,8122,7941,8320
12.5,0.445,27.8,1030,1057,1039,261,,80,planktics,8700,120,190,9143,8795,9440,9143,8795,9440
15.0,0.432,27.0,1250,1274,1255,301,,97.5,planktics,10580,120,190,11508,11177,11927,11508,11177,11927
17.5,0.452,28.3,1460,1491,1470,325,,115,planktics,11780,130,190,13085,12881,13285,13057,12729,13310
20.0,0.441,27.6,1680,1708,1686,339,,127.5,planktics,13060,150,190,14544,14049,15064,14578,14038,15132
22.5,0.438,27.3,1890,1924,1902,341,,142.5,planktics,14200,170,190,16180,15617,16763,16711,15929,17115
25.0,0.445,27.8,2100,2139,2118,332,,160,planktics,15880,170,190,18636,18096,18896,18526,18028,18830
27.5,0.452,28.3,2320,2353,2334,313,,165,planktics,16260,170,190,18920,18668,19244,18843,18578,19320
30.0,0.461,28.9,2530,2567,2550,280,,180,planktics,17130,180,190,19689,19344,20072,19724,19401,20200
32.5,0.448,28.0,2750,2780,2767,225,,197.5,planktics,20580,260,190,23913,22990,24594,23877,23194,24521
35.0,0.445,27.8,2960,2986,2984,123,,,,,,,,,,,,
37.5,0.455,28.5,3310,3340,3324,262,,,,,,,,,,,,
40.0,0.445,27.8,3650,3686,3667,326,,,,,,,,,,,,
42.5,0.452,28.3,4000,4031,4009,356,,,,,,,,,,,,
45.0,0.467,29.2,4340,4374,4352,365,,,,,,,,,,,,
47.5,0.443,27.7,4690,4717,4695,352,,,,,,,,,,,,
