Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
6,0.940,15.8,570,3947,3936,650,,65,G. inflata,5820,60,0,6239,6102,6381,6239,6102,6381,
22,1.070,17.3,2100,4571,4565,556,,97,G. inflata,10050,40,0,11080,10823,11175,11080,10823,11175,
42,1.000,16.5,4010,5350,5350,410,,112,N. pachy (d.),10850,55,0,12381,12111,12648,12346,12109,12562,
64,0.960,16.0,6110,6203,6206,109,,127,G. inflata,12300,50,0,13761,13642,13884,13754,13503,13908,
72.5,1.050,17.0,7330,7366,7336,411,,137,G. ruber,12650,50,0,14105,13941,14286,14106,13892,14783,
77.5,1.210,18.5,8080,8110,8076,472,,137,G. inflata,12700,50,0,14172,14003,14553,14209,13961,14873,excluded
82.5,1.200,18.5,8830,8852,8818,483,,161,G. inflata,12800,50,0,14399,14127,14786,14443,14102,14941,
87.5,1.580,18.5,9580,9595,9563,445,,199,G. inflata,14100,50,0,16311,15966,16712,16832,16665,17005,
92.5,1.390,17.1,10330,10335,10311,343,,207,G. inflata,14300,150,0,16557,16054,17060,16989,16722,17440,
97.5,1.500,18.0,11050,11045,11039,118,,221,G. inflata,14750,65,0,17177,16710,17578,17443,17121,17811,
102.5,1.450,17.6,11540,11508,11475,259,,257,G. inflata,15200,80,0,17982,17609,18507,18003,17662,18505,
107.5,0.820,14.3,12040,11968,11921,256,,261,G. inflata,15500,70,0,18463,18100,18675,18249,18026,18585,
112.5,0.790,13.8,12530,12425,12377,158,,287,G. inflata,15650,60,0,18657,18540,18778,18547,18082,18684,
117.5,0.830,14.4,13020,12889,12823,267,,355,G. inflata,16550,80,0,19321,19107,19472,19285,18934,19451,
122.5,0.920,15.6,13520,13351,13280,246,,400,G. inflata,16850,80,0,19628,19461,19822,19553,19411,19882,
127.5,1.010,16.5,13990,13780,13731,78,,407,G. inflata,17200,90,0,19948,19606,20194,19963,19576,20268,
132.5,0.840,14.6,14250,13956,14010,139,,,,,,,,,,,,,
139,0.850,14.7,14510,14142,14295,106,,,,,,,,,,,,,
163,0.610,11.0,14760,14562,14708,201,,,,,,,,,,,,,
169,0.620,11.2,15040,14853,15052,277,,,,,,,,,,,,,
173,0.750,13.3,15230,15046,15285,304,,,,,,,,,,,,,
179,0.820,14.2,15510,15336,15635,322,,,,,,,,,,,,,
185,0.920,15.6,15790,15625,15988,315,,,,,,,,,,,,,
191,0.930,15.6,16080,15913,16342,282,,,,,,,,,,,,,
193.5,0.890,15.1,16170,16033,16491,258,,,,,,,,,,,,,
195,0.800,14.0,16260,16104,16580,240,,,,,,,,,,,,,
201.5,0.890,15.2,16510,16397,16902,186,,,,,,,,,,,,,
209.5,0.710,12.6,16750,16721,17159,206,,,,,,,,,,,,,
217,0.770,13.6,17050,17006,17365,217,,,,,,,,,,,,,
225,0.730,13.0,17260,17252,17533,227,,,,,,,,,,,,,
243,0.680,12.2,17520,17687,17793,244,,,,,,,,,,,,,
257,0.820,14.3,17720,18020,18003,191,,,,,,,,,,,,,
261,0.890,15.2,18060,18391,18269,126,,,,,,,,,,,,,
287,0.900,15.3,18240,18661,18452,59,,,,,,,,,,,,,
305,0.900,15.3,18520,18829,18638,161,,,,,,,,,,,,,
321,0.660,11.8,18760,18977,18810,182,,,,,,,,,,,,,
337,1.230,18.7,19000,19124,18984,168,,,,,,,,,,,,,
353,0.730,12.9,19250,19270,19162,105,,,,,,,,,,,,,
385,0.870,15.0,19510,19520,19478,139,,,,,,,,,,,,,
401,0.930,15.6,19680,19674,19678,115,,,,,,,,,,,,,
403,0.830,14.3,19790,19757,19767,143,,,,,,,,,,,,,
405,0.840,14.5,19910,19839,19859,148,,,,,,,,,,,,,
