Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
3,3.960,26.1,60,406,408,141,,5.5,G. ruber,900,25,0,510,466,552,510,466,552
8,4.090,26.4,690,676,691,179,,38.75,G. ruber,3080,30,0,2846,2758,2939,2846,2758,2939
13,3.900,25.9,1040,1023,1046,282,,73,G. ruber,4840,35,0,5145,5016,5273,5145,5016,5273
18,3.950,26.0,1390,1373,1399,327,,143,G. ruber,7185,40,0,7647,7567,7741,7647,7567,7741
23,3.930,26.0,1740,1724,1751,337,,190.25,G. ruber,8710,40,0,9393,9281,9475,9393,9281,9475
25,4.110,26.4,1880,1865,1892,332,,213,G. ruber,9885,50,0,10800,10611,11037,10800,10611,11037
27,4.160,26.6,2020,2006,2032,322,,258,G. ruber,10900,60,0,12481,12200,12704,12426,12198,12593
28,3.990,26.1,2090,2077,2102,316,,303,G. ruber,12470,60,0,13918,13782,14056,13913,13760,14078
32,3.850,25.7,2370,2361,2383,272,,343,Mixed planktics,13660,90,0,15710,15312,16147,16210,15462,16762
33,3.630,25.1,2440,2432,2453,256,,433,Mixed planktics,16170,110,0,18979,18807,19224,18928,18672,19323
38,3.690,25.3,2800,2792,2801,108,,523,Mixed planktics,18440,150,0,21395,20860,21978,21540,21148,22111
43,3.580,24.9,3130,3124,3142,222,,,,,,,,,,,,
48,3.840,25.7,3470,3455,3479,297,,,,,,,,,,,,
58,3.840,25.7,4140,4124,4150,333,,,,,,,,,,,,
63,4.110,26.5,4470,4460,4485,307,,,,,,,,,,,,
73,4.140,26.5,5150,5145,5147,64,,,,,,,,,,,,
85,4.220,26.7,5580,5562,5584,269,,,,,,,,,,,,
90,4.440,27.3,5750,5740,5764,304,,,,,,,,,,,,
93,3.880,25.8,5860,5847,5871,320,,,,,,,,,,,,
97,4.040,26.3,6010,5990,6015,335,,,,,,,,,,,,
100,4.260,26.9,6110,6097,6123,343,,,,,,,,,,,,
102,4.330,27.0,6180,6168,6194,347,,,,,,,,,,,,
103,3.840,25.7,6220,6204,6230,348,,,,,,,,,,,,
108,3.890,25.8,6400,6383,6409,352,,,,,,,,,,,,
110,3.990,26.1,6470,6455,6481,351,,,,,,,,,,,,
112,4.160,26.6,6540,6527,6552,349,,,,,,,,,,,,
113,4.450,27.3,6580,6563,6588,348,,,,,,,,,,,,
118,4.550,27.6,6760,6743,6767,336,,,,,,,,,,,,
120,4.380,27.2,6830,6815,6838,330,,,,,,,,,,,,
133,4.290,26.9,7300,7285,7302,247,,,,,,,,,,,,
138,4.100,26.4,7470,7468,7479,184,,,,,,,,,,,,
140,3.990,26.1,7550,7542,7550,147,,,,,,,,,,,,
143,3.940,26.0,7650,7656,7654,44,,,,,,,,,,,,
148,4.080,26.4,7840,7830,7840,181,,,,,,,,,,,,
153,3.980,26.1,8020,8010,8024,238,,,,,,,,,,,,
158,3.880,25.8,8200,8191,8207,270,,,,,,,,,,,,
173,3.790,25.6,8750,8738,8754,280,,,,,,,,,,,,
178,4.220,26.8,8930,8921,8936,255,,,,,,,,,,,,
188,4.450,27.3,9300,9292,9298,131,,,,,,,,,,,,
193,3.930,26.0,9480,9547,9556,178,,,,,,,,,,,,
198,3.890,25.8,9660,9861,9875,256,,,,,,,,,,,,
208,4.440,27.3,10030,10497,10509,234,,,,,,,,,,,,
213,4.200,26.7,10820,10826,10821,104,,,,,,,,,,,,
218,3.930,26.0,11000,10999,11001,200,,,,,,,,,,,,
223,4.120,26.5,11190,11177,11177,249,,,,,,,,,,,,
232,3.910,25.9,11510,11502,11493,290,,,,,,,,,,,,
238,3.760,25.5,11730,11719,11703,293,,,,,,,,,,,,
243,3.700,25.3,11910,11901,11878,282,,,,,,,,,,,,
248,3.610,25.0,12090,12084,12052,257,,,,,,,,,,,,
253,3.970,26.1,12270,12268,12225,212,,,,,,,,,,,,
258,4.030,26.3,12450,12457,12396,123,,,,,,,,,,,,
260,3.810,25.6,12520,12517,12466,165,,,,,,,,,,,,
263,3.780,25.5,12620,12611,12570,204,,,,,,,,,,,,
265,3.670,25.2,12680,12675,12638,224,,,,,,,,,,,,
267,3.730,25.4,12750,12739,12706,239,,,,,,,,,,,,
