Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
250.5,1.320,9.6,20416,20432,20524,179,,,,,,,,,,,,
252.5,1.400,10.1,20533,20536,20660,153,,,,,,,,,,,,
254.5,1.550,11.0,20579,20594,20723,157,,,,,,,,,,,,
256.5,1.470,10.6,20625,20645,20775,161,,,,,,,,,,,,
258.5,1.350,9.8,20671,20696,20827,159,,,,,,,,,,,,
260.5,1.380,10.0,20717,20748,20879,149,,,,,,,,,,,,
262.5,1.490,10.7,20763,20801,20931,137,,,,,,,,,,,,
264.5,1.230,8.9,20813,20857,20984,150,,,,,,,,,,,,
266.5,1.330,9.6,20864,20912,21037,162,,,,,,,,,,,,
268.5,1.350,9.8,20914,20967,21089,167,,,,,,,,,,,,
270.5,1.390,10.0,20965,21023,21140,165,,,,,,,,,,,,
272.5,1.240,9.0,21015,21085,21198,165,,,,,,,,,,,,
274.5,1.240,9.0,21140,21194,21300,206,,,,,,,,,,,,
276.5,1.410,10.2,21265,21311,21410,237,,,,,,,,,,,,
278.5,1.480,10.6,21391,21429,21519,255,,,,,,,,,,,,
280.5,1.310,9.5,21516,21547,21629,264,,,,,,,,,,,,
282.5,1.390,10.0,21641,21665,21738,264,,,,,,,,,,,,
284.5,1.370,9.9,21766,21783,21847,256,,,,,,,,,,,,
286.5,1.350,9.8,21891,21901,21956,238,,,,,,,,,,,,
288.5,1.530,10.9,22017,22020,22065,210,,,,,,,,,,,,
290.5,1.670,11.7,22142,22139,22174,165,,,,,,,,,,,,
292.5,1.390,10.0,22267,22250,22282,102,,,,,,,,,,,,
294.5,1.600,11.4,22313,22307,22386,111,,,,,,,,,,,,
296.5,1.570,11.2,22359,22356,22488,124,,,,,,,,,,,,
298.5,1.550,11.1,22404,22406,22590,127,,,,,,,,,,,,
300.5,1.480,10.6,22450,22456,22692,119,,,,,,,,,,,,
302.5,1.580,11.3,22496,22520,22798,121,,,,,,,,,,,,
306.5,1.660,11.7,22791,22756,23046,238,,,,,,,,,,,,
308.5,1.790,12.4,22939,22880,23173,284,,,,,,,,,,,,
310.5,1.750,12.2,23087,23004,23299,323,,,,,,,,,,,,
312.5,1.680,11.8,23235,23128,23425,358,,,,,,,,,,,,
314.5,1.480,10.6,23382,23252,23551,389,,,,,,,,,,,,
316.5,1.570,11.2,23530,23376,23677,419,,,,,,,,,,,,
318.5,1.340,9.7,23678,23500,23803,446,,,,,,,,,,,,
320.5,1.500,10.8,23825,23624,23929,472,,,,,,,,,,,,
322.5,1.610,11.4,23973,23749,24055,497,,,,,,,,,,,,
324.5,1.680,11.8,24121,23873,24181,520,,,,,,,,,,,,
326.5,1.310,9.5,24269,23997,24306,542,,,,,,,,,,,,
328.5,1.560,11.2,24416,24121,24432,564,,,,,,,,,,,,
330.5,1.300,9.4,24564,24245,24558,584,,,,,,,,,,,,
332.5,1.420,10.2,24712,24369,24684,604,,,,,,,,,,,,
336.5,1.480,10.6,24952,24618,24935,642,,,,,,,,,,,,
338.5,1.330,9.6,25047,24742,25061,661,,,,,,,,,,,,
340.5,1.690,11.9,25143,24866,25186,678,,,,,,,,,,,,
342.5,1.600,11.4,25238,24991,25312,696,,,,,,,,,,,,
350.5,1.610,11.5,25619,25487,25814,761,,,,,,,,,,,,
352.5,1.720,12.0,25714,25612,25940,776,,,,,,,,,,,,
354.5,1.780,12.4,25809,25736,26065,791,,,,,,,,,,,,
356.5,1.610,11.4,25905,25860,26191,806,,,,,,,,,,,,
360.5,1.890,NaN,26095,26109,26442,835,,,,,,,,,,,,
