#,Core,Location,Proxy,Lat (¡ã),Lon (¡ã),Elev/Depth (m),Reference,Resolution (yr),Calibration reference,Calibration,Foram species,Additional 14C reference,Notes,,
33,ODP 1144,South China Sea ,Mg/Ca,20.1,117.6,-2037,"Wei et al, 2007",337,"N_rnberg et al., 2000",T = ln(MgCa/0.491)/0.033,G. sacculifer,"B¨¹hring et al., 2004, ODP Proceedings",,,
34,74KL,Arabian Sea,UK'37,14.3,57.3,-3212,"Huguet et al., 2006",304,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,,,
35,74KL,Arabian Sea,TEX86,14.3,57.3,-3212,"Huguet et al., 2006",310,"Schouten et al., 2002",T = (TEX86 - 0.028)/0.015,,,,,
36,M35003-4,Western tropical North Atlantic,UK'37,12.1,-61.3,-1299,"R¨¹hlemann et al., 1999",344,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,,,
37,VM28-122,Western Caribbean Sea,Mg/Ca,11.6,-78.4,-3623,"Schmidt et al., 2004",352,"Dekens et al., 2002",T = (ln(MgCa/0.38)/0.09) + 0.61*D,G. ruber (white),,,,
38,NIOP-905,Arabian Sea,UK'37,10.8,51.9,-1567,"Huguet et al., 2006",204,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,,,
39,NIOP-905,Arabian Sea,TEX86,10.8,51.9,-1567,"Huguet et al., 2006",204,"Schouten et al., 2002",T = (TEX86 - 0.028)/0.015,,,,,
40,PL07-39PC,"Cariaco Basin, Venezuala",Mg/Ca,10.7,-65.0,-790,"Lea et al., 2003",110,"Dekens et al., 2002",T = ln(MgCa/0.38)/0.09,G. ruber (white),"Lin et al., 1997, Paleoceanography",,,
41,MD97-2141,Sulu Sea ,Mg/Ca,8.8,121.3,-3633,"Rosenthal et al., 2003",78,"Rosenthal and Lohman, 2002",T = ln(MgCa/0.28)/0.095,G. ruber,"de Garidel-Thoron et al., 2001, Paleoceanography",,,
42,MD02-2529,Eastern equatorial Pacific,UK'37,8.2,-84.1,-1619,"Leduc et al., 2007",282,"Sonzogni et al., 1997",T = (UK'37 - 0.013)/(0.034),,,,,
43,ME0005A-43JC ,Eastern equatorial Pacific,Mg/Ca,7.9,-83.6,-1368,"Benway et al., 2006",207,Anand et al. 2003,T = ln(MgCa/0.38)/0.09,G. ruber,,,,
44,MD01-2390,South China Sea ,UK'37,6.6,113.4,-1545,"Steinke et al., 2008",287,"Pelejero and Grimalt, 1997",T = (UK'37 - 0.092)/(0.031),,"Steinke et al., 2006, Quaternary Science Reviews",,,
45,MD01-2390,South China Sea ,Mg/Ca,6.6,113.4,-1545,"Steinke et al., 2008",221,"Dekens et al., 2002",T = ln(MgCa/0.38)/0.09,G. ruber (white),"Steinke et al., 2006, Quaternary Science Reviews",,,
46,MD98-2181,West Pacific warm pool,Mg/Ca,6.3,125.8,-2114,"Stott et al., 2007",56,"Anand and Elderfield, 2003",T = ln(MgCa/0.38)/0.09,G. ruber,"Stott, 2007, Paleoceanography",,,
47,MD03-2707,Gulf of Guinea,Mg/Ca,2.5,9.4,-1295,"Weldeab et al., 2007",90,"Dekens et al., 2002",T = ln(MgCa/0.38)/0.09,G. ruber (pink),,,,
48,GeoB 4905,Eastern equatorial Atlantic ,Mg/Ca,2.5,9.4,-1328,"Weldeab et al,. 2005",180,Anand et al. 2003,T = ln(MgCa/0.38)/0.09,G. ruber (pink),,,,
49,TR163-22,Eastern equatorial Pacific,Mg/Ca,0.5,-92.4,-2830,"Lea et al., 2006",242,"Dekens et al., 2002",T = (ln(MgCa/0.38)/0.09) + 0.61*D + 1.6,G. ruber (white),,,,
50,ME0005A-24JC,Eastern equatorial Pacific,UK'37,0.0,-86.5,-2941,"Kienast et al., 2006",209,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,,,,
51,V21-30,Eastern equatorial Pacific,UK'37,-1.2,-89.7,-617,"Koutavas and Sachs, 2008",360,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,"Koutavas and Lynch-Stieglitz, 2003, Paleoceanography",,,
52,V21-30,Eastern equatorial Pacific,Mg/Ca,-1.2,-89.7,-617,"Koutavas et al., 2002",408,"N_rnberg et al., 1996",T = ln(MgCa/0.39)/0.09,G. sacculifer,"Koutavas and Lynch-Stieglitz, 2003, Paleoceanography",duplicate/triplicate Mg/Ca measurements averaged into single value,,
53,V19-28,Eastern equatorial Pacific,UK'37,-2.4,-84.7,-2720,"Koutavas and Sachs, 2008",596,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,"Koutavas and Lynch-Stieglitz, 2003, Paleoceanography",,,
54,GeoB 3910,Brazilian margin ,UK'37,-4.2,-36.3,-2362,"Jaeschke et al., 2007",221,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,,,,
55,GeoB 3129,Western tropical Atlantic ,Mg/Ca,-4.6,-36.6,-830,"Weldeab et al, 2006",112,Anand et al. 2003,T = ln(MgCa/0.38)/0.09,G. ruber (white),,slight depth/age offset between cores 3129-1 and 3129-3 corrected by adding 27 cm to 3129-3 Mg/Ca and 14C depths,,
56,MD9821-62,West Pacific warm pool,Mg/Ca,-4.7,117.9,-1855,"Visser et al., 2003",323,"Hastings et al., 2001",T = ln(MgCa/0.38)/0.089,G. ruber,,,,
57,MD98-2176,West Pacific warm pool,Mg/Ca,-5.0,133.4,-2382,"Stott et al., 2007",119,"Anand and Elderfield, 2003",T = ln(MgCa/0.38)/0.09,G. ruber,,,,
58,GeoB 6518-1,Gulf of Guinea,MBT/CBT,-5.6,11.2,-962,"Weijers et al., 2007",189,"Weijers et al., 2007",MBT = 0.122 + 0.187*CBT + 0.020*MAT,,"Schefu_ et al., 2005, Nature",,,
59,GeoB 6518-1,Gulf of Guinea,UK'37,-5.6,11.2,-962,"Schefu_ et al., 2005",204,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,,,
60,"NP04-KH3, NP04-KH4",Lake Tanganyika,TEX86,-6.7,29.6,773,"Tierney et al., 2008",221,"Powers et al., 2005",T = (TEX86 - 0.25)/0.017,,,,,
61,MD98-2165,West Pacific warm pool,Mg/Ca,-9.7,118.4,-2100,"Levi et al., 2007",176,"Dekens et al., 2002",T = ln(MgCa/0.38)/0.09,G. ruber (white),"Waelbroeck et al., 2006, Earth and Planetary Science Letters",,,
62,MD98-2170,West Pacific warm pool,Mg/Ca,-10.6,125.4,-832,"Stott et al., 2007",369,"Anand and Elderfield, 2003",T = ln(MgCa/0.38)/0.09,G. ruber,,,,
63,MD01-2378,"Timor Sea, Indian Ocean",Mg/Ca,-13.1,121.8,-1783,"Xu et al., 2008",131,Anand et al. 2003,T = ln(MgCa/0.38)/0.09,G. ruber (white),"Holbourn et al., 2005, Paleoceanography",,,
64,GeoB 1023-5,Southeast Atlantic,UK'37,-17.2,11.0,-1978,"Kim et al., 2002",97,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,,,
65,MD79257,Indian Ocean,UK'37,-20.4,36.3,-1260,"Bard et al., 1997",282,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,,,,
66,ODP 1084B,Subtropical southeast Atlantic,Mg/Ca,-25.5,13.0,-1992,"Farmer et al., 2005",91,"Mashiotta et al., 1999",T = ln(MgCa/0.47)/0.107,G. bulloides,,,,
67,KNR159-5-36GGC,Brazilian margin ,Mg/Ca,-27.5,-46.5,-1268,"Carlson et al., 2008",484,Anand et al. 2003,T = ln(MgCa/0.38)/0.09,G. ruber (white),"Came et al., 2003, Paleoceanography",,,
68,GeoB 7139-2,Chilean margin,UK'37,-30.2,-72.0,-3270,"Kaiser et al., 2008",330,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,"Mohtadi and Hebbeln, 2004, Paleoceanography; De Pol-Holz et al., 2006, Geophysical Research Letters",,,
69,MD03-2611,South Australia,UK'37,-36.7,136.7,-2420,"Calvo et al., 2007",344,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,,,
70,MD97-2121,New Zealand ,UK'37,-40.4,178.0,-3014,"Pahnke and Sachs, 2006",84,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,"Carter et al., 2002, Global and Planetary Change; Carter and Manighetti, 2006, Marine Geology",,,
71,ODP 1233,Chilean margin,UK'37,-41.0,-74.5,-838,"Lamy et al., 2007",112,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,,,,
72,TN057-21-PC2,Southeast Atlantic ,UK'37,-41.1,7.8,-4981,"Sachs et al., 2001",110,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,"Barker et al., 2009, Nature",,,
73,TN057-21,Southeast Atlantic ,Mg/Ca,-41.1,7.8,-4981,"Barker et al., 2009",168,"Mashiotta et al., 1999",T = ln(MgCa/0.47)/0.107,G. bulloides,,,,
74,SO136-GC11,New Zealand ,UK'37,-43.5,167.9,-1556,"Barrows et al., 2007",194,"M_ller et al., 1998",T = (UK'37 - 0.044)/(0.033),,,,,
75,MD97-2120,New Zealand ,UK'37,-45.5,174.9,-1210,"Pahnke and Sachs, 2006",122,"Prahl et al., 1988",T = (UK'37 - 0.039)/(0.034),,"Carter and Manighetti, 2006, Marine Geology",,,
76,MD88-770,Southern Ocean, foram assemblages,-46.0,96.5,-3290,"Labeyrie et al., 1996",218,"Labeyrie et al., 1996",,G. bulloides,,,,
77,-,EDML,ice core d18O,-75,0,2892,"Stenni et al., 2010; Lemieux-Dudon et al., 2010",103,"Stenni et al., 2010",¦¤Tsite = 0.13¡À0.02*¦¤dDcorr + 0.57¡À0.15*¦¤dcorr,,,,,
78,-,"Dome C, Antarctica",ice core d18O,-75.1,123.4,3240,"Stenni et al., 2010; Lemieux-Dudon et al., 2010",103,"Stenni et al., 2010",¦¤Tsite = 0.16¡À0.02*¦¤dDcorr + 0.44¡À0.15*¦¤dcorr,,,,,
79,-,"Dome Fuji, Antarctica",ice core d18O and dD,-77.3,39.7,3810,"Kawamura et al., 2007",500,"Kawamura et al., 2007",,,,,,
80,-,"Vostok, Antarctica",ice core dD,-78.5,108.0,3500,"Petit et al., 1999",62,"Petit et al., 1999",¦¤TI = (¦¤dDice - 8*¦¤d18Osw)/9,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
