Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
10,0.637,17.6,400,864,848,232,,12.5,G. bulloides,1440,190,0,994,638,1350,994,638,1350,
20,0.645,17.8,968,1147,1159,162,,29.8,G. bulloides,1810,80,0,1362,1209,1539,1362,1209,1539,
30,0.637,17.6,1805,1394,1400,106,,49.8,G. bulloides,3450,100,0,3324,3056,3571,3324,3056,3571,
40,0.627,17.3,2624,2360,2373,302,,69.5,G. bulloides,4940,240,0,5235,4630,5800,5235,4630,5800,
50,0.650,18,3426,3336,3339,146,,89.8,G. bulloides,5640,140,0,6041,5711,6323,6041,5711,6323,
60,0.633,17.5,4208,4280,4303,322,,111.0,G. bulloides,7190,140,0,7669,7423,7927,7669,7423,7927,
70,0.671,18.6,4970,5208,5232,283,,129.5,G. bulloides,7990,120,0,8466,8177,8778,8466,8177,8778,
79,0.672,18.6,5637,5576,5593,249,,141.0,G. bulloides,9160,130,0,9925,9550,10215,9925,9550,10215,
88,0.648,17.9,6286,5948,5950,176,,149.5,G. bulloides,9760,130,0,10666,10364,11086,10666,10364,11086,
99,0.650,18,7054,6738,6745,280,,180.0,G. bulloides,10680,140,0,12032,11394,12625,12015,11400,12537,
105,0.670,18.6,7462,7207,7213,255,,189.5,G. bulloides,11080,140,0,12661,12217,12903,12567,12121,12896,
109,0.660,18.3,7729,7521,7524,188,,200.0,G. bulloides,11410,170,0,12969,12717,13248,12898,12599,13221,
115,0.654,18.1,8122,7850,7853,179,,208.5,G. bulloides,12160,200,0,13608,13234,14012,13608,13232,14024,
120,0.671,18.6,8443,8067,8069,204,,229.5,G. bulloides,12660,170,0,14236,13790,14886,14281,13790,14988,
125,0.634,17.5,8759,8285,8283,193,,249.5,G. bulloides,12860,150,0,14531,14043,15050,14565,14035,15122,
128,0.661,18.3,8945,8416,8411,169,,260.0,G. bulloides,13100,170,0,14906,14204,15433,14992,14144,15904,
135,0.688,19.1,9372,9147,9151,269,,280.0,G. bulloides,13980,190,0,16138,15532,16758,16656,15632,17104,
138,0.670,18.6,9552,9512,9518,251,,299.0,G. bulloides,14350,180,0,16623,16033,17213,17045,16725,17538,
143,0.637,17.6,9846,10075,10084,208,,329.5,G. bulloides,14990,190,0,17597,16844,18478,17738,17150,18486,
153,0.676,18.7,10418,10861,10865,220,,360.0,G. bulloides,15630,220,0,18519,17955,18933,18390,17941,18852,
155,0.677,18.8,10529,10943,10945,237,,400.0,G. bulloides,17510,270,0,20250,19579,20926,20347,19579,21196,
160,0.563,15.4,10804,11148,11145,266,,,,,,,,,,,,,
