Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
0.5,0.912,26.3,19,NaN,NaN,NaN,,20,planktics,1410,50,190,766,664,890,766,664,890
380.5,0.899,25.9,14651,14743,14992,265,,,,,,,,,,,,
385.5,0.898,25.9,15221,15264,15637,280,,,,,,,,,,,,
390.5,0.906,26.1,15792,15790,16274,195,,,,,,,,,,,,
393.0,0.892,25.7,15936,15944,16446,178,,,,,,,,,,,,
395.5,0.900,25.9,16021,16047,16557,186,,,,,,,,,,,,
397.5,0.893,25.7,16088,16131,16643,186,,,,,,,,,,,,
400.5,0.899,25.9,16201,16259,16769,181,,,,,,,,,,,,
403.0,0.888,25.6,16346,16382,16873,200,,,,,,,,,,,,
405.5,0.897,25.9,16491,16508,16974,207,,,,,,,,,,,,
408.0,0.889,25.6,16636,16635,17074,206,,,,,,,,,,,,
410.5,0.890,25.6,16781,16764,17172,196,,,,,,,,,,,,
413.0,0.891,25.7,17005,16981,17376,257,,,,,,,,,,,,
415.5,0.891,25.7,17263,17237,17622,324,,,,,,,,,,,,
418.0,0.887,25.5,17521,17495,17867,377,,,,,,,,,,,,
420.5,0.888,25.6,17779,17752,18111,418,,,,,,,,,,,,
423.0,0.898,25.9,18037,18010,18355,453,,,,,,,,,,,,
425.5,0.874,25.2,18295,18268,18598,482,,,,,,,,,,,,
428.0,0.887,25.6,18553,18526,18841,506,,,,,,,,,,,,
430.5,0.874,25.2,18811,18785,19085,526,,,,,,,,,,,,
433.0,0.884,25.5,19069,19043,19328,543,,,,,,,,,,,,
435.5,0.870,25.0,19326,19302,19570,556,,,,,,,,,,,,
438.0,0.883,25.4,19584,19560,19813,566,,,,,,,,,,,,
440.5,0.880,25.3,19842,19819,20055,573,,,,,,,,,,,,
443.0,0.883,25.4,20100,20078,20298,578,,,,,,,,,,,,
445.5,0.880,25.4,20358,20336,20540,579,,,,,,,,,,,,
448.0,0.887,25.6,20616,20595,20782,578,,,,,,,,,,,,
450.5,0.877,25.2,20874,20854,21024,574,,,,,,,,,,,,
453.0,0.888,25.6,21132,21113,21266,567,,,,,,,,,,,,
455.5,0.883,25.4,21390,21373,21508,557,,,,,,,,,,,,
458.0,0.894,25.8,21648,21632,21750,545,,,,,,,,,,,,
460.5,0.872,25.1,21906,21891,21991,528,,,,,,,,,,,,
463.0,0.885,25.5,22164,22150,22232,509,,,,,,,,,,,,
465.5,0.882,25.4,22422,22410,22473,485,,,,,,,,,,,,
468.0,0.894,25.8,22680,22670,22714,456,,,,,,,,,,,,
470.5,0.886,25.5,22938,22929,22955,422,,,,,,,,,,,,
