Proxy depth,Mg/Ca,Published temperature,Published age,Age model error
(cm),(mmol/mol),(°„C),(yr BP),"(yr, 1¶“)"
138.5,2.298,12.2,8358,167
142.5,2.794,14.1,8650,173
146.5,2.459,12.9,8942,179
150.5,2.371,12.5,9233,185
154.5,2.484,13.0,9525,191
158.5,2.345,12.4,9817,196
160.5,2.325,12.3,9963,199
162.5,2.216,11.8,10109,202
164.5,2.414,12.7,10255,205
166.5,2.221,11.8,10401,208
168.5,2.368,12.5,10547,211
170.5,2.199,11.7,10693,214
172.5,2.553,13.2,10839,217
174.5,2.192,11.7,10985,220
176.5,2.494,13.0,11131,223
178.5,2.505,13.0,11277,226
180.5,2.652,13.6,11422,228
184.5,2.653,13.6,11714,234
186.5,2.476,12.9,11860,237
188.5,2.465,12.9,12006,240
190.5,2.427,12.7,12152,243
192.5,2.256,12.0,12298,246
194.5,2.183,11.7,12444,249
196.5,1.988,10.7,12590,252
198.5,2.052,11.0,12709,254
200.5,2.066,11.1,12828,257
202.5,2.548,13.2,12947,259
204.5,2.377,12.5,13066,261
206.5,1.809,9.8,13185,264
208.5,2.091,11.2,13304,266
212.5,2.092,11.2,13542,271
214.5,1.877,10.2,13661,273
216.5,2.269,12.1,13780,276
218.5,2.193,11.7,13899,278
220.5,2.329,12.3,14018,280
222.5,2.014,10.9,14137,283
224.5,2.066,11.1,14256,285
226.5,2.059,11.1,14375,287
228.5,2.348,12.4,14494,290
230.5,2.294,12.2,14580,292
232.5,2.726,13.9,14666,293
234.5,2.445,12.8,14752,295
238.5,2.055,11.1,14924,298
240.5,2.384,12.5,15010,300
241.5,2.786,14.1,15053,301
243.5,2.471,12.9,15139,303
245.5,3.078,15.1,15225,304
247.5,2.155,11.5,15311,306
249.5,2.408,12.6,15397,308
251.5,2.858,14.4,15483,310
252.5,1.849,10.0,15526,311
257.5,2.504,13.0,15741,315
260.5,2.342,12.4,15870,317
262.5,2.178,11.6,15956,319
264.5,2.468,12.9,16042,321
266.5,2.099,11.3,16128,323
268.5,2.307,12.2,16214,324
270.5,2.025,10.9,16300,326
272.5,3.167,15.4,16386,328
277.5,3.253,15.7,16584,332
288.5,2.645,13.6,16996,340
291.5,1.774,9.6,17109,342
293.5,1.685,9.1,17183,344
295.5,2.280,12.1,17258,345
297.5,1.676,9.0,17333,347
300.5,2.125,11.4,17446,349
301.5,1.466,7.7,17483,350
302.5,1.564,8.3,17520,350
304.5,1.802,9.7,17595,352
305.5,1.748,9.4,17633,353
307.5,1.569,8.4,17708,354
309.5,1.700,9.2,17783,356
311.5,1.725,9.3,17857,357
314.5,1.544,8.2,17970,359
316.5,1.984,10.7,18045,361
320.5,1.692,9.1,18195,364
321.5,1.520,8.0,18232,365
323.5,1.498,7.9,18307,366
327.5,2.030,10.9,18457,369
329.5,1.419,7.4,18532,371
331.5,1.302,6.5,18606,372
332.5,1.800,9.7,18644,373
333.5,3.150,15.3,18681,374
336.5,1.645,8.8,18794,376
338.5,2.202,11.8,18869,377
340.5,1.733,9.4,18943,379
342.5,1.516,8.0,19018,380
344.5,1.563,8.3,19093,382
346.5,1.526,8.1,19168,383
348.5,1.402,7.2,19243,385
350.5,1.448,7.6,19289,386
352.5,1.780,9.6,19335,387
354.5,1.371,7.0,19381,388
356.5,1.564,8.3,19427,389
358.5,1.656,8.9,19473,389
360.5,1.430,7.4,19519,390
362.5,1.494,7.9,19565,391
364.5,1.385,7.1,19611,392
366.5,1.463,7.7,19657,393
368.5,1.741,9.4,19703,394
370.5,1.661,8.9,19749,395
372.5,1.570,8.4,19794,396
374.5,1.651,8.9,19840,397
376.5,1.416,7.3,19886,398
378.5,1.686,9.1,19932,399
380.5,1.788,9.7,19978,400
382.5,1.579,8.4,20024,400
384.5,2.066,11.1,20070,401
386.5,1.771,9.6,20116,402
388.5,1.939,10.5,20162,403
390.5,1.907,10.3,20208,404
392.5,1.620,8.7,20254,405
394.5,1.574,8.4,20300,406
396.5,1.629,8.7,20371,407
400.5,1.819,9.8,20513,410
402.5,1.883,10.2,20584,412
406.5,1.733,9.4,20726,415
408.5,1.382,7.1,20797,416
410.5,1.938,10.5,20868,417
412.5,1.709,9.2,20939,419
414.5,1.798,9.7,21010,420
416.5,1.965,10.6,21081,422
417.5,1.574,8.4,21116,422
419.5,1.363,7.0,21187,424
421.5,1.431,7.4,21258,425
423.5,1.190,5.6,21329,427
425.5,1.518,8.0,21400,428
428.5,1.694,9.1,21507,430
433.5,1.597,8.5,21684,434
435.5,1.652,8.9,21752,435
437.5,1.563,8.3,21816,436
438.5,1.460,7.6,21848,437
440.5,1.517,8.0,21912,438
442.5,1.431,7.4,21975,440
444.5,1.244,6.0,22039,441
446.5,1.433,7.5,22103,442
448.5,1.608,8.6,22167,443
450.5,1.510,8.0,22231,445
452.5,1.565,8.3,22295,446
454.5,1.946,10.5,22358,447
456.5,1.780,9.6,22422,448
458.5,1.704,9.2,22486,450
460.5,1.691,9.1,22550,451
462.5,1.891,10.2,22614,452
464.5,1.749,9.4,22678,454
466.5,2.058,11.1,22742,455
468.5,2.015,10.9,22805,456
470.5,1.761,9.5,22869,457
472.5,1.859,10.1,22933,459
474.5,1.634,8.8,22997,460
476.5,1.891,10.2,23061,461
478.5,2.055,11.1,23125,462
480.5,1.856,10.0,23188,464
482.5,1.841,10.0,23252,465
484.5,1.809,9.8,23316,466
486.5,1.823,9.9,23380,468
488.5,1.765,9.5,23413,468
490.5,1.765,9.5,23447,469
492.5,2.647,13.6,23480,470
494.5,2.226,11.9,23513,470
495.5,1.538,8.2,23530,471
498.5,2.051,11.0,23580,472
528.5,1.819,9.8,24080,482
532.5,1.881,10.2,24165,483
538.5,1.707,9.2,24293,486
540.5,1.691,9.1,24336,487
542.5,1.801,9.7,24378,488
544.5,1.566,8.3,24421,488
546.5,1.837,9.9,24463,489
548.5,1.834,9.9,24506,490
551.5,1.675,9.0,24570,491
554.5,1.767,9.5,24634,493
556.5,1.563,8.3,24676,494
558.5,1.547,8.2,24719,494
560.5,1.482,7.8,24762,495
562.5,1.858,10.1,24804,496
564.5,1.458,7.6,24847,497
566.5,1.640,8.8,24890,498
568.5,1.597,8.5,24932,499
570.5,1.678,9.0,24975,499
572.5,1.595,8.5,25017,500
574.5,1.812,9.8,25060,501
576.5,1.731,9.3,25109,502
578.5,1.732,9.3,25158,503
580.5,1.697,9.1,25206,504
582.5,1.714,9.2,25255,505
584.5,1.757,9.5,25304,506
586.5,1.539,8.2,25353,507
588.5,1.510,8.0,25402,508
590.5,1.908,10.3,25450,509
592.5,1.924,10.4,25499,510
593.5,1.983,10.7,25524,510
595.5,1.638,8.8,25572,511
597.5,1.544,8.2,25621,512
599.5,1.965,10.6,25670,513
611.5,1.748,9.4,25963,519
612.5,1.643,8.8,25987,520
614.5,1.642,8.8,26036,521
616.5,1.613,8.6,26085,522
620.5,1.556,8.3,26182,524
622.5,1.564,8.3,26231,525
624.5,1.630,8.7,26280,526
626.5,1.729,9.3,26379,528
628.5,1.702,9.2,26479,530
630.5,1.662,8.9,26578,532
632.5,1.768,9.6,26678,534
634.5,1.679,9.0,26777,536
636.5,1.912,10.3,26876,538
638.5,1.458,7.6,26976,540
640.5,1.602,8.6,27075,542
642.5,1.646,8.8,27175,543
644.5,1.962,10.6,27274,545
646.5,1.630,8.7,27373,547
648.5,1.775,9.6,27473,549
650.5,1.736,9.4,27572,551
652.5,1.877,10.2,27672,553
654.5,1.756,9.5,27771,555
656.5,1.756,9.5,27871,557
658.5,1.598,8.5,27970,559
660.5,1.651,8.9,28069,561
662.5,2.293,12.2,28169,563
664.5,2.060,11.1,28268,565
666.5,2.235,11.9,28368,567
668.5,1.894,10.2,28467,569
670.5,1.747,9.4,28566,571
672.5,1.954,10.6,28666,573
674.5,2.332,12.3,28765,575
676.5,2.038,11.0,28865,577
