Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
204,2.294,23.3,23300,23302,23429,504,,,,,,,,,,,,
206,2.369,23.7,23500,23512,23638,522,,,,,,,,,,,,
208,2.343,23.5,23700,23722,23846,537,,,,,,,,,,,,
210,2.324,23.4,23900,23933,24053,550,,,,,,,,,,,,
212,2.344,23.5,24100,24143,24261,560,,,,,,,,,,,,
214,2.135,22.5,24300,24353,24468,567,,,,,,,,,,,,
216,2.272,23.2,24500,24563,24675,572,,,,,,,,,,,,
218,2.168,22.7,24700,24773,24882,574,,,,,,,,,,,,
220,2.181,22.7,24800,24983,25089,575,,,,,,,,,,,,
221,2.035,22.0,24900,25088,25192,574,,,,,,,,,,,,
223,2.101,22.3,25100,25298,25398,571,,,,,,,,,,,,
225,2.159,22.6,25300,25509,25604,565,,,,,,,,,,,,
227,1.981,21.7,25500,25719,25810,557,,,,,,,,,,,,
229,2.181,22.7,25700,25929,26015,547,,,,,,,,,,,,
231,2.057,22.1,25900,26139,26220,534,,,,,,,,,,,,
233,2.162,22.6,26100,26349,26425,518,,,,,,,,,,,,
235,2.429,23.9,26300,26559,26630,499,,,,,,,,,,,,
237,2.115,22.4,26500,26769,26834,477,,,,,,,,,,,,
239,2.030,21.9,26700,26979,27038,450,,,,,,,,,,,,
241,2.082,22.2,26900,27189,27241,419,,,,,,,,,,,,
243,2.045,22.0,27100,27399,27443,381,,,,,,,,,,,,
245,2.043,22.0,27300,27609,27645,336,,,,,,,,,,,,
247,2.016,21.9,27500,27819,27844,279,,,,,,,,,,,,
249,2.007,21.8,27600,28028,28032,199,,,,,,,,,,,,
251,2.101,22.3,27800,28256,28259,286,,,,,,,,,,,,
253,2.103,22.3,28000,28482,28474,349,,,,,,,,,,,,
255,2.171,22.7,28200,28709,28689,398,,,,,,,,,,,,
257,2.274,23.2,28400,28936,28905,440,,,,,,,,,,,,
259,2.141,22.5,28600,29163,29120,475,,,,,,,,,,,,
261,2.168,22.7,28800,29389,29336,506,,,,,,,,,,,,
263,1.954,21.5,29000,29616,29551,533,,,,,,,,,,,,
265,2.159,22.6,29300,29843,29767,556,,,,,,,,,,,,
267,2.350,23.6,29500,30070,29982,576,,,,,,,,,,,,
269,2.093,22.3,29700,30296,NaN,594,,,,,,,,,,,,
271,2.133,22.5,29900,30523,NaN,609,,,,,,,,,,,,
273,2.143,22.5,30100,30750,NaN,622,,,,,,,,,,,,
