Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
224.5,0.435,11.7,13627,13632,13619,204,,,,,,,,,,,,
226.5,0.406,10.8,13732,13725,13716,175,,,,,,,,,,,,
228.5,0.405,10.8,13837,13818,13813,131,,,,,,,,,,,,
230.5,0.391,10.3,13942,13904,13902,90,,,,,,,,,,,,
232.5,0.397,10.5,13979,13968,13972,135,,,,,,,,,,,,
234.5,0.385,10.2,14015,14033,14041,163,,,,,,,,,,,,
236.5,0.405,10.8,14052,14098,14110,183,,,,,,,,,,,,
238.5,0.402,10.7,14089,14163,14178,197,,,,,,,,,,,,
240.5,0.423,11.3,14125,14228,14247,207,,,,,,,,,,,,
242.5,0.372,9.8,14162,14293,14315,212,,,,,,,,,,,,
244.5,0.369,9.7,14199,14359,14382,214,,,,,,,,,,,,
246.5,0.372,9.8,14235,14424,14450,213,,,,,,,,,,,,
248.5,0.370,9.7,14272,14489,14517,208,,,,,,,,,,,,
250.5,0.376,9.9,14308,14554,14584,200,,,,,,,,,,,,
252.5,0.396,10.5,14345,14617,14649,195,,,,,,,,,,,,
254.5,0.362,9.5,14476,14671,14718,211,,,,,,,,,,,,
256.5,0.351,9.2,14607,14725,14785,225,,,,,,,,,,,,
258.5,0.351,9.2,14737,14779,14852,237,,,,,,,,,,,,
260.5,0.346,9.0,14868,14833,14918,247,,,,,,,,,,,,
264.5,0.334,8.7,15130,14941,15051,264,,,,,,,,,,,,
266.5,0.336,8.7,15261,14995,15118,271,,,,,,,,,,,,
268.5,0.355,9.3,15392,15049,15184,276,,,,,,,,,,,,
270.5,0.335,8.7,15522,15103,15250,281,,,,,,,,,,,,
272.5,0.336,8.7,15653,15157,15316,284,,,,,,,,,,,,
274.5,0.343,8.9,15784,15211,15382,287,,,,,,,,,,,,
277.5,0.332,8.6,15980,15292,15481,289,,,,,,,,,,,,
278.5,0.330,8.6,16046,15319,15514,289,,,,,,,,,,,,
280.5,0.336,8.7,16176,15373,15580,289,,,,,,,,,,,,
282.5,0.337,8.8,16307,15426,15646,288,,,,,,,,,,,,
284.5,0.321,8.3,16431,15480,15712,286,,,,,,,,,,,,
286.5,0.323,8.4,16536,15534,15778,283,,,,,,,,,,,,
288.5,0.316,8.2,16640,15588,15844,279,,,,,,,,,,,,
