Published temperature,Published age,Age model error
(°„C),(yr BP),"(yr, 1¶“)"
0.4,700,14
0.8,1200,24
-0.2,1700,34
-0.8,2200,44
-0.4,2700,54
0.4,3200,64
0.4,3700,74
0.3,4200,84
-0.3,4700,94
0.4,5200,104
-0.4,5700,114
-0.5,6200,124
0,6700,134
-0.3,7200,144
-0.4,7700,154
-0.7,8200,164
-0.4,8700,174
0.3,9200,184
0.7,9700,194
0.8,10200,204
0.8,10700,214
0.5,11200,224
0,11700,234
-1.6,12200,244
-1.6,12700,254
-3.3,13200,264
-3.1,13700,274
-2.7,14200,284
-2.6,14700,294
-3.8,15200,304
-3.1,15700,314
-4.3,16200,324
-6,16700,334
-7.3,17200,344
-7.3,17700,354
-8.7,18200,364
-9.1,18700,374
-9.2,19200,384
-9.5,19700,394
-7.7,20200,404
-8.5,20700,414
-7.6,21200,424
-7.4,21700,434
-7.7,22200,444
-8,22700,454
-7.3,23200,464
-7.6,23700,474
-8.8,24200,484
-8.6,24700,494
-8.4,25200,504
-8.4,25700,514
-7.1,26200,524
-8.2,26700,534
-7.2,27200,544
-8,27700,554
-7.3,28200,564
-6.8,28700,574
-6.7,29200,584
-6.5,29700,594
-7.7,30200,604
