Proxy depth,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
0,7.8,4590,NaN,NaN,NaN,,20,N. pachyderma,6660,100,80,7090,6847,7309,7090,6847,7309,
2,7,4870,5854,5841,482,,46,N. pachyderma,11960,120,80,13336,13118,13608,13338,13113,13611,
4,7.8,5160,5991,5979,456,,58,N. pachyderma,13110,150,80,14790,14179,15255,14827,14139,15513,
6,7.3,5440,6127,6117,428,,68,N. pachyderma,12490,150,80,13873,13468,14203,13867,13424,14461,excluded
8,7.8,5720,6264,6255,399,,74,N. pachyderma,14460,150,80,16658,16124,17165,17059,16778,17496,
10,7.1,6000,6400,6393,367,,114,N. pachyderma,17740,220,80,20398,19920,20967,20574,19958,21280,
12,7.9,6280,6536,6531,332,,228,N. pachyderma,22570,300,80,25089,24362,26000,26562,25745,27703,
14,7.5,6570,6672,6669,293,,256,N. pachyderma,21360,260,80,,,,24895,24267,25706,
16,7.4,6850,6807,6807,248,,278,N. pachyderma,22250,290,80,,,,26095,25109,26928,
18,7.1,7130,6942,6946,193,,304,N. pachyderma,26120,390,80,,,,30437,29608,31045,
20,7.3,7410,7074,7084,115,,342,N. pachyderma,25970,450,80,,,,30276,29485,31038,
22,7.6,7710,7567,7576,314,,360,N. pachyderma,28340,510,80,,,,32169,31226,33315,
24,7.1,8020,8054,8062,411,,384,N. pachyderma,31460,670,80,,,,35588,34475,36839,
26,7.1,8320,8539,8547,475,,436,N. pachyderma,33750,820,80,,,,37978,36332,40231,
28,7.5,8620,9023,9031,518,,472,N. pachyderma,38180,1500,80,,,,42278,39430,44593,
30,8.7,8920,9507,9514,545,,524,N. pachyderma,45580,3300,80,,,,47285,43453,50000,
32,7.8,9220,9991,9997,558,,,,,,,,,,,,,
34,7.4,9520,10474,10479,558,,,,,,,,,,,,,
36,7.4,9820,10957,10961,545,,,,,,,,,,,,,
38,7.3,10120,11439,11442,519,,,,,,,,,,,,,
40,7.1,10420,11920,11923,477,,,,,,,,,,,,,
42,7.5,10720,12401,12403,414,,,,,,,,,,,,,
44,7.4,11020,12881,12882,317,,,,,,,,,,,,,
46,6.8,11310,13354,13353,119,,,,,,,,,,,,,
48,6.9,11610,13585,13603,220,,,,,,,,,,,,,
50,7.8,11910,13813,13848,266,,,,,,,,,,,,,
52,7,12200,14039,14091,289,,,,,,,,,,,,,
54,7.2,12500,14264,14332,293,,,,,,,,,,,,,
56,7.5,12790,14489,14572,283,,,,,,,,,,,,,
58,7.2,13080,14710,14807,261,,,,,,,,,,,,,
60,7,13330,14958,15106,299,,,,,,,,,,,,,
62,6.6,13580,15202,15399,327,,,,,,,,,,,,,
64,6.9,13830,15445,15692,343,,,,,,,,,,,,,
66,7.2,14070,15687,15983,348,,,,,,,,,,,,,
68,7.7,14320,15929,16274,342,,,,,,,,,,,,,
70,7,14480,16170,16564,326,,,,,,,,,,,,,
72,6.7,14640,16409,16853,297,,,,,,,,,,,,,
74,7.5,14810,16645,17137,256,,,,,,,,,,,,,
76,7.2,14970,16841,17318,300,,,,,,,,,,,,,
78,6.4,15130,17034,17495,338,,,,,,,,,,,,,
80,6.7,15300,17226,17671,369,,,,,,,,,,,,,
82,7.2,15460,17417,17847,394,,,,,,,,,,,,,
84,6.7,15620,17608,18022,415,,,,,,,,,,,,,
86,6.9,15780,17799,18197,431,,,,,,,,,,,,,
88,4.4,15940,17990,18372,443,,,,,,,,,,,,,
90,6.8,16110,18181,18547,452,,,,,,,,,,,,,
92,3.9,16270,18371,18722,458,,,,,,,,,,,,,
94,3.1,16430,18561,18897,460,,,,,,,,,,,,,
96,3.5,16590,18752,19071,459,,,,,,,,,,,,,
98,3.3,16750,18942,19245,455,,,,,,,,,,,,,
100,4.5,16910,19131,19419,448,,,,,,,,,,,,,
102,6.8,17070,19321,19593,437,,,,,,,,,,,,,
104,6.6,17230,19511,19767,423,,,,,,,,,,,,,
106,3,17390,19700,19941,404,,,,,,,,,,,,,
108,3.7,17550,19889,20114,380,,,,,,,,,,,,,
110,3.3,17700,20077,20287,350,,,,,,,,,,,,,
112,3,17860,20265,20459,313,,,,,,,,,,,,,
114,4.1,18020,20449,20627,265,,,,,,,,,,,,,
120,3.3,18250,20687,20889,325,,,,,,,,,,,,,
124,3.1,18410,20843,21060,356,,,,,,,,,,,,,
130,3.8,18640,21077,21315,395,,,,,,,,,,,,,
134,3.4,18800,21232,21485,416,,,,,,,,,,,,,
140,3.5,19030,21465,21739,443,,,,,,,,,,,,,
144,3.8,19180,21619,21908,458,,,,,,,,,,,,,
150,3.7,19410,21852,22162,476,,,,,,,,,,,,,
154,3.6,19560,22006,22331,485,,,,,,,,,,,,,
160,3.6,19790,22238,22584,496,,,,,,,,,,,,,
164,3.2,19950,22393,22753,501,,,,,,,,,,,,,
170,3.1,20180,22624,23006,505,,,,,,,,,,,,,
174,3.1,20330,22778,23175,505,,,,,,,,,,,,,
180,3.5,20560,23010,23427,503,,,,,,,,,,,,,
184,2.9,20710,23164,23595,499,,,,,,,,,,,,,
190,3.4,20940,23395,23848,491,,,,,,,,,,,,,
194,2.7,21090,23548,24016,483,,,,,,,,,,,,,
200,3.2,21310,23779,24267,467,,,,,,,,,,,,,
204,3.4,21470,23933,24435,454,,,,,,,,,,,,,
210,3.4,21690,24163,24686,430,,,,,,,,,,,,,
214,3.9,21840,24316,24853,411,,,,,,,,,,,,,
220,3.1,22070,24545,25103,375,,,,,,,,,,,,,
224,3,22220,24697,25269,346,,,,,,,,,,,,,
234,3.3,22630,24928,25464,298,,,,,,,,,,,,,
240,3.4,22900,25006,25498,287,,,,,,,,,,,,,
244,2.8,23080,25058,25521,282,,,,,,,,,,,,,
250,3.3,23340,25135,25556,278,,,,,,,,,,,,,
254,3.2,23520,25185,25579,279,,,,,,,,,,,,,
260,3.2,23780,25373,25703,302,,,,,,,,,,,,,
264,2.9,23960,25534,25812,328,,,,,,,,,,,,,
270,2.7,24220,25773,25975,376,,,,,,,,,,,,,
274,3.5,24400,25932,26082,411,,,,,,,,,,,,,
280,3.4,24680,26405,26497,476,,,,,,,,,,,,,
284,3.4,24900,27030,27106,516,,,,,,,,,,,,,
290,3.2,25220,27964,28015,528,,,,,,,,,,,,,
294,3,25430,28585,28619,506,,,,,,,,,,,,,
300,2.9,25750,29512,29522,419,,,,,,,,,,,,,
304,3.5,25970,30123,30115,291,,,,,,,,,,,,,
310,2.9,26340,30188,30181,295,,,,,,,,,,,,,
314,3.7,26580,30231,30223,295,,,,,,,,,,,,,
320,4.2,26950,30295,30286,297,,,,,,,,,,,,,
324,3.9,27200,30337,30327,298,,,,,,,,,,,,,
330,3.3,27570,30401,30389,302,,,,,,,,,,,,,
334,3,27810,30443,30430,306,,,,,,,,,,,,,
340,3.3,28180,30505,30490,313,,,,,,,,,,,,,
344,4,28440,30725,30710,342,,,,,,,,,,,,,
350,3.2,28870,31308,31299,413,,,,,,,,,,,,,
354,2.9,29150,31694,31689,457,,,,,,,,,,,,,
360,3.1,29580,32265,32266,514,,,,,,,,,,,,,
364,3.6,29870,32838,32838,535,,,,,,,,,,,,,
370,3.1,30290,33685,33682,559,,,,,,,,,,,,,
380,3.7,31000,35088,35080,588,,,,,,,,,,,,,
384,3.9,31280,35640,35629,590,,,,,,,,,,,,,
390,4.8,31790,35953,35942,590,,,,,,,,,,,,,
400,3.2,32640,36464,36456,620,,,,,,,,,,,,,
410,3.6,33480,36972,36969,686,,,,,,,,,,,,,
418,3.9,34160,37377,37377,758,,,,,,,,,,,,,
420,3.3,34330,37478,37480,778,,,,,,,,,,,,,
430,4.5,35170,37982,37989,888,,,,,,,,,,,,,
436,4.1,35670,38277,38290,955,,,,,,,,,,,,,
440,5,36090,38701,38720,910,,,,,,,,,,,,,
