Proxy depth,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
450,3.1,37120,39749,39774,876,,,,,,,,,,,,,
460,4.4,38150,40793,40820,987,,,,,,,,,,,,,
470,6,39170,41832,41858,1208,,,,,,,,,,,,,
472,6,39380,42036,42058,1263,,,,,,,,,,,,,
480,3.7,40470,42762,42798,1151,,,,,,,,,,,,,
490,2.9,41820,43657,43712,1109,,,,,,,,,,,,,
500,3.4,43170,44548,44623,1170,,,,,,,,,,,,,
510,2.9,44500,45436,45531,1316,,,,,,,,,,,,,
520,3.4,45820,46320,46435,1520,,,,,,,,,,,,,
524,3.6,46350,46666,46791,1607,,,,,,,,,,,,,
530,2.8,47210,NaN,NaN,NaN,,,,,,,,,,,,,
540,3.2,48650,NaN,NaN,NaN,,,,,,,,,,,,,
550,3.3,50070,NaN,NaN,NaN,,,,,,,,,,,,,
554,4.4,50630,NaN,NaN,NaN,,,,,,,,,,,,,
560,6.6,51480,NaN,NaN,NaN,,,,,,,,,,,,,
570,2.8,52870,NaN,NaN,NaN,,,,,,,,,,,,,
580,2.8,54250,NaN,NaN,NaN,,,,,,,,,,,,,
590,2.7,55630,NaN,NaN,NaN,,,,,,,,,,,,,
600,2.8,57000,NaN,NaN,NaN,,,,,,,,,,,,,
610,3,57930,NaN,NaN,NaN,,,,,,,,,,,,,
620,3,58860,NaN,NaN,NaN,,,,,,,,,,,,,
630,6.3,59780,NaN,NaN,NaN,,,,,,,,,,,,,
640,5.2,60720,NaN,NaN,NaN,,,,,,,,,,,,,
650,3.5,61650,NaN,NaN,NaN,,,,,,,,,,,,,
660,3.2,62590,NaN,NaN,NaN,,,,,,,,,,,,,
670,6,63540,NaN,NaN,NaN,,,,,,,,,,,,,
680,6,64500,NaN,NaN,NaN,,,,,,,,,,,,,
690,3.2,65470,NaN,NaN,NaN,,,,,,,,,,,,,
700,3.3,66450,NaN,NaN,NaN,,,,,,,,,,,,,
710,3.5,67440,NaN,NaN,NaN,,,,,,,,,,,,,
720,4.1,68450,NaN,NaN,NaN,,,,,,,,,,,,,
730,3.4,69470,NaN,NaN,NaN,,,,,,,,,,,,,
740,2.9,70520,NaN,NaN,NaN,,,,,,,,,,,,,
750,5.7,71580,NaN,NaN,NaN,,,,,,,,,,,,,
760,3.8,72660,NaN,NaN,NaN,,,,,,,,,,,,,
770,3.3,73770,NaN,NaN,NaN,,,,,,,,,,,,,
780,6.6,75530,NaN,NaN,NaN,,,,,,,,,,,,,
790,5.9,77340,NaN,NaN,NaN,,,,,,,,,,,,,
800,6.9,79200,NaN,NaN,NaN,,,,,,,,,,,,,
810,6.8,81080,NaN,NaN,NaN,,,,,,,,,,,,,
820,7.7,82980,NaN,NaN,NaN,,,,,,,,,,,,,
830,7.3,84880,NaN,NaN,NaN,,,,,,,,,,,,,
840,6.7,86740,NaN,NaN,NaN,,,,,,,,,,,,,
850,6.4,89880,NaN,NaN,NaN,,,,,,,,,,,,,
860,4,92850,NaN,NaN,NaN,,,,,,,,,,,,,
870,4.7,95660,NaN,NaN,NaN,,,,,,,,,,,,,
880,6.3,97900,NaN,NaN,NaN,,,,,,,,,,,,,
890,6.8,100070,NaN,NaN,NaN,,,,,,,,,,,,,
900,6.5,102190,NaN,NaN,NaN,,,,,,,,,,,,,
910,6.5,104280,NaN,NaN,NaN,,,,,,,,,,,,,
920,6.9,105340,NaN,NaN,NaN,,,,,,,,,,,,,
926,6.4,105970,NaN,NaN,NaN,,,,,,,,,,,,,
930,7,106390,NaN,NaN,NaN,,,,,,,,,,,,,
934,6.9,106820,NaN,NaN,NaN,,,,,,,,,,,,,
940,5,107450,NaN,NaN,NaN,,,,,,,,,,,,,
944,4.4,107880,NaN,NaN,NaN,,,,,,,,,,,,,
950,4.5,108520,NaN,NaN,NaN,,,,,,,,,,,,,
954,4,108950,NaN,NaN,NaN,,,,,,,,,,,,,
960,4.5,110390,NaN,NaN,NaN,,,,,,,,,,,,,
964,3.9,111360,NaN,NaN,NaN,,,,,,,,,,,,,
970,6.4,112860,NaN,NaN,NaN,,,,,,,,,,,,,
974,6.8,113870,NaN,NaN,NaN,,,,,,,,,,,,,
980,6.4,115440,NaN,NaN,NaN,,,,,,,,,,,,,
982,7,115970,NaN,NaN,NaN,,,,,,,,,,,,,
984,7.8,116940,NaN,NaN,NaN,,,,,,,,,,,,,
986,7.8,117930,NaN,NaN,NaN,,,,,,,,,,,,,
988,8.1,118950,NaN,NaN,NaN,,,,,,,,,,,,,
990,7.9,119990,NaN,NaN,NaN,,,,,,,,,,,,,
992,8.1,121050,NaN,NaN,NaN,,,,,,,,,,,,,
994,8.6,122130,NaN,NaN,NaN,,,,,,,,,,,,,
996,7.1,123220,NaN,NaN,NaN,,,,,,,,,,,,,
998,10.2,124340,NaN,NaN,NaN,,,,,,,,,,,,,
1000,10.7,125460,NaN,NaN,NaN,,,,,,,,,,,,,
1002,11,126030,NaN,NaN,NaN,,,,,,,,,,,,,
1004,13.5,126590,NaN,NaN,NaN,,,,,,,,,,,,,
1006,8.8,127160,NaN,NaN,NaN,,,,,,,,,,,,,
1008,8.8,127720,NaN,NaN,NaN,,,,,,,,,,,,,
1010,9.6,128280,NaN,NaN,NaN,,,,,,,,,,,,,
1020,7.7,131050,NaN,NaN,NaN,,,,,,,,,,,,,
1030,7.1,133720,NaN,NaN,NaN,,,,,,,,,,,,,
1040,3.8,135890,NaN,NaN,NaN,,,,,,,,,,,,,
1050,3.2,137950,NaN,NaN,NaN,,,,,,,,,,,,,
1060,5.1,139080,NaN,NaN,NaN,,,,,,,,,,,,,
1070,3.6,140180,NaN,NaN,NaN,,,,,,,,,,,,,
1080,3.4,141250,NaN,NaN,NaN,,,,,,,,,,,,,
1090,2.6,142300,NaN,NaN,NaN,,,,,,,,,,,,,
1100,2.9,143330,NaN,NaN,NaN,,,,,,,,,,,,,
1110,2.8,144340,NaN,NaN,NaN,,,,,,,,,,,,,
1120,3.6,145340,NaN,NaN,NaN,,,,,,,,,,,,,
1130,3.9,146330,NaN,NaN,NaN,,,,,,,,,,,,,
1140,3.8,147310,NaN,NaN,NaN,,,,,,,,,,,,,
1150,5.6,148280,NaN,NaN,NaN,,,,,,,,,,,,,
1160,4.8,149250,NaN,NaN,NaN,,,,,,,,,,,,,
