Proxy depth,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
443,22.5,12670,12744,12729,240,,,,,,,,,,,,
448,22.7,12830,12889,12874,202,,,,,,,,,,,,
453,22.7,13000,13034,13019,138,,,,,,,,,,,,
458,22.6,13140,13174,13161,134,,,,,,,,,,,,
463,22.6,13250,13308,13300,196,,,,,,,,,,,,
468,22.6,13370,13442,13440,233,,,,,,,,,,,,
473,22.4,13490,13576,13579,257,,,,,,,,,,,,
478,22.2,13600,13710,13719,271,,,,,,,,,,,,
483,22.0,13720,13844,13858,277,,,,,,,,,,,,
488,22.4,13830,13977,13998,275,,,,,,,,,,,,
493,22.0,13950,14111,14138,265,,,,,,,,,,,,
498,22.0,14060,14244,14277,246,,,,,,,,,,,,
503,22.0,14180,14377,14417,214,,,,,,,,,,,,
508,22.1,14390,14593,14640,247,,,,,,,,,,,,
513,21.9,14690,14892,14949,318,,,,,,,,,,,,
518,21.7,14990,15191,15259,362,,,,,,,,,,,,
523,21.5,15290,15489,15569,388,,,,,,,,,,,,
528,20.6,15590,15788,15878,401,,,,,,,,,,,,
533,20.5,15890,16086,16188,402,,,,,,,,,,,,
538,20.8,16200,16385,16498,392,,,,,,,,,,,,
543,20.3,16500,16683,16809,369,,,,,,,,,,,,
548,20.2,16800,16981,17119,331,,,,,,,,,,,,
553,20.1,17100,17279,17430,274,,,,,,,,,,,,
558,21.0,17700,17905,18051,364,,,,,,,,,,,,
563,21.2,18600,18857,18984,518,,,,,,,,,,,,
568,21.1,19500,19809,19917,612,,,,,,,,,,,,
573,20.9,20400,20759,20851,671,,,,,,,,,,,,
578,21.3,21300,21710,21784,703,,,,,,,,,,,,
583,20.5,22200,22660,22718,711,,,,,,,,,,,,
588,20.9,23100,23610,23653,696,,,,,,,,,,,,
593,21.0,23990,24560,24587,656,,,,,,,,,,,,
598,20.8,24890,25509,25521,585,,,,,,,,,,,,
603,21.2,25790,26458,26457,466,,,,,,,,,,,,
