Proxy depth,Published temperature,Published age,IntCal04 age,IntCal09 age,Age model error,,14C depth,Material,14C age,14C error,,IntCal04 age,,,IntCal09 age,
(cm),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
1,10.0,44,-23,-15,623,,20,Aquatic macrophytes,1850,55,1785,1625,1921,1785,1625,1921
3.5,10.2,273,213,220,581,,128.5,Aquatic macrophytes,8390,140,9358,9011,9606,9358,9011,9606
10.5,10.2,914,875,878,444,,219,Wood fragments,12020,190,13900,13416,14572,13900,13397,14803
20.5,10.2,1820,1810,1809,103,,236,Wood fragments,13150,65,15560,15221,15930,15988,15269,16536
30.5,9.9,2518,2492,2515,356,,272.5,Wood fragments,15300,180,18646,18094,18913,18540,18028,18848
40.5,10.2,3216,3182,3214,468,,289,Aquatic macrophytes,16740,260,19878,19403,20421,19904,19404,20477
50.5,10.1,3914,3873,3912,537,,375.5,Wood fragments,30300,300,,,,34867,34472,36160
60.5,10.4,4613,4565,4608,578,,407.5,Aquatic macrophytes,31680,360,,,,36034,35161,36771
70.5,10.1,5311,5258,5303,597,,407.5,Wood fragments,32770,470,,,,37443,36526,38629
78,10.3,5834,5778,5824,598,,440,Aquatic macrophytes,32780,280,,,,37348,36669,38427
88,10.7,6533,6473,6518,582,,,,,,,,,,,
103.5,10.6,7615,7551,7591,513,,,,,,,,,,,
113.5,10.5,8313,8248,8282,430,,,,,,,,,,,
123.5,10.4,9011,8947,8970,286,,,,,,,,,,,
133.5,10.0,9611,9554,9580,256,,,,,,,,,,,
143.5,9.6,10113,10066,10114,372,,,,,,,,,,,
153.5,9.8,10614,10581,10645,439,,,,,,,,,,,
157.5,9.4,10815,10788,10858,457,,,,,,,,,,,
163.5,10.0,11116,11098,11175,477,,,,,,,,,,,
167.5,10.4,11317,11304,11387,485,,,,,,,,,,,
173.5,9.6,11618,11615,11705,493,,,,,,,,,,,
177.5,9.4,11818,11822,11916,494,,,,,,,,,,,
181.5,10.2,12019,12029,12127,492,,,,,,,,,,,
183.5,10.5,12119,12133,12233,490,,,,,,,,,,,
187.5,11.0,12320,12340,12444,483,,,,,,,,,,,
193.5,10.7,12621,12652,12760,467,,,,,,,,,,,
196.5,10.4,12771,12808,12918,456,,,,,,,,,,,
198.5,10.5,12872,12912,13023,447,,,,,,,,,,,
201.5,9.9,13022,13068,13181,433,,,,,,,,,,,
203.5,10.1,13122,13172,13286,421,,,,,,,,,,,
205.5,9.3,13223,13276,13391,409,,,,,,,,,,,
208.5,9.9,13373,13433,13548,388,,,,,,,,,,,
211.5,9.9,13524,13590,13705,364,,,,,,,,,,,
213.5,10.0,13624,13694,13809,345,,,,,,,,,,,
215.5,10.0,13724,13800,13913,325,,,,,,,,,,,
218.5,9.7,13875,13960,14066,291,,,,,,,,,,,
223.5,8.3,14339,14398,14586,321,,,,,,,,,,,
226.5,8.0,14632,14676,14911,321,,,,,,,,,,,
227.5,8.4,14730,14769,15018,318,,,,,,,,,,,
228.5,8.4,14828,14862,15126,312,,,,,,,,,,,
233.5,8.1,15316,15331,15661,245,,,,,,,,,,,
236.5,8.7,15602,15609,15958,192,,,,,,,,,,,
238.5,7.5,15772,15765,16101,245,,,,,,,,,,,
243.5,7.5,16195,16162,16451,329,,,,,,,,,,,
248.5,7.4,16618,16562,16800,372,,,,,,,,,,,
253.5,6.3,17042,16963,17147,389,,,,,,,,,,,
257.5,5.8,17380,17284,17423,386,,,,,,,,,,,
263.5,6.3,17888,17768,17838,353,,,,,,,,,,,
268.5,6.0,18311,18172,18181,291,,,,,,,,,,,
273.5,6.1,18725,18584,18547,227,,,,,,,,,,,
283.5,6.5,19470,19433,19462,310,,,,,,,,,,,
293.5,6.2,20176,20696,20764,464,,,,,,,,,,,
303,6.2,20799,22378,22459,677,,,,,,,,,,,
312.5,7.1,21423,24064,24150,795,,,,,,,,,,,
322.5,6.2,22080,25842,25927,863,,,,,,,,,,,
333,5.0,22769,27711,27791,887,,,,,,,,,,,
342.5,6.1,34765,29403,29476,870,,,,,,,,,,,
347.5,5.9,34958,30294,30362,846,,,,,,,,,,,
352.5,6.5,35150,31186,31247,810,,,,,,,,,,,
357.5,7.0,35343,32079,32132,762,,,,,,,,,,,
