Proxy depth,Published temperature,Published age,IntCal04 age,IntCal09 age,Age model error,,14C depth,Material,14C age,14C error,,IntCal04 age,,,IntCal09 age,
362.5,7.2,35535,32972,33016,699,,,,,,,,,,,
367.5,7.3,35728,33867,33899,616,,,,,,,,,,,
372.5,7.7,35921,34764,34779,505,,,,,,,,,,,
377.5,6.5,36113,NaN,NaN,NaN,,,,,,,,,,,
382.5,6.6,36306,NaN,NaN,NaN,,,,,,,,,,,
387.5,6.2,36499,NaN,NaN,NaN,,,,,,,,,,,
392.5,6.5,36691,NaN,NaN,NaN,,,,,,,,,,,
396.5,6.9,36845,NaN,NaN,NaN,,,,,,,,,,,
402.5,6.8,37076,NaN,NaN,NaN,,,,,,,,,,,
407.5,7.3,37269,NaN,NaN,NaN,,,,,,,,,,,
412.5,8.5,37462,NaN,NaN,NaN,,,,,,,,,,,
416.5,9.2,37616,NaN,NaN,NaN,,,,,,,,,,,
418.5,9.0,37693,NaN,NaN,NaN,,,,,,,,,,,
422.5,8.0,37847,NaN,NaN,NaN,,,,,,,,,,,
426.5,7.3,38001,NaN,NaN,NaN,,,,,,,,,,,
429.5,6.8,38116,NaN,NaN,NaN,,,,,,,,,,,
432.5,6.8,38232,NaN,NaN,NaN,,,,,,,,,,,
436.5,6.9,38386,NaN,NaN,NaN,,,,,,,,,,,
439.5,7.1,38502,NaN,NaN,NaN,,,,,,,,,,,
442.5,7.7,38617,NaN,NaN,NaN,,,,,,,,,,,
446.5,7.5,38771,NaN,NaN,NaN,,,,,,,,,,,
449.5,7.7,38887,NaN,NaN,NaN,,,,,,,,,,,
452.5,7.1,39002,NaN,NaN,NaN,,,,,,,,,,,
456.5,7.1,39157,NaN,NaN,NaN,,,,,,,,,,,
458.5,7.6,39234,NaN,NaN,NaN,,,,,,,,,,,
460.5,8.0,39311,NaN,NaN,NaN,,,,,,,,,,,
