Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
0,4.460,27.4,7760,NaN,NaN,NaN,,210,,7310,55,0,7773,7659,7906,7773,7659,7906
220,4.960,28.5,8240,8253,8260,283,,280,G. ruber >250_m,10100,55,0,11125,10926,11212,11125,10926,11212
230,4.560,27.6,8730,8722,8731,362,,290,G. ruber >250_m,10200,55,0,11193,11111,11286,11193,11111,11286
240,4.240,26.8,9210,9190,9201,396,,300,G. ruber >250_m,10700,60,0,12077,11761,12343,12076,11768,12341
250,4.750,28.1,9700,9658,9669,397,,310,G. ruber >250_m,11350,65,0,12897,12825,13022,12814,12643,13066
260,4.560,27.6,10180,10126,10137,364,,320,G. ruber >250_m,11950,60,0,13380,13260,13551,13385,13261,13572
270,4.160,26.6,10670,10594,10603,286,,330,G. ruber >250_m,12250,100,0,13701,13444,13913,13686,13432,13903
280,4.060,26.3,11150,11061,11063,67,,350,G. ruber >250_m,13150,85,0,15045,14701,15361,15120,14609,15631
282,4.160,26.6,11160,11089,11091,87,,360,G. ruber >250_m,14300,85,0,16556,16152,16961,16968,16759,17211
286,3.900,25.9,11190,11144,11146,90,,370,G. ruber >250_m,14750,80,0,17183,16690,17628,17443,17108,17827
288,3.790,25.6,11210,11172,11173,76,,380,G. ruber >250_m,18100,110,0,20888,20519,21293,21118,20544,21452
290,4.210,26.7,11220,11199,11200,43,,390,G. ruber >250_m,17500,100,0,20220,19967,20459,20296,19904,20900
294,3.960,26.0,11600,11542,11545,213,,400,G. ruber >250_m,20200,130,0,,,,23660,23244,24084
298,3.820,25.6,11980,11882,11883,206,,410,G. ruber >250_m,23600,190,0,,,,28050,27595,28561
300,3.750,25.5,12170,12051,12048,145,,420,G. ruber >250_m,25500,230,0,,,,29936,29478,30376
302,4.600,27.7,12320,12225,12214,206,,,,,,,,,,,,
306,3.740,25.4,12620,12574,12538,214,,,,,,,,,,,,
310,3.790,25.5,12930,12922,12855,49,,,,,,,,,,,,
312,3.400,24.3,13030,13019,12971,129,,,,,,,,,,,,
316,4.200,26.7,13220,13212,13196,157,,,,,,,,,,,,
320,4.040,26.3,13410,13405,13414,73,,,,,,,,,,,,
324,3.340,24.2,13520,13519,13521,129,,,,,,,,,,,,
328,3.420,24.4,13630,13632,13625,129,,,,,,,,,,,,
330,3.960,26.0,13680,13688,13676,110,,,,,,,,,,,,
332,3.680,25.2,13820,13822,13826,181,,,,,,,,,,,,
336,3.540,24.8,14090,14089,14118,248,,,,,,,,,,,,
340,4.190,26.7,14360,14356,14407,270,,,,,,,,,,,,
342,3.700,25.3,14500,14489,14552,268,,,,,,,,,,,,
344,3.630,25.1,14630,14622,14696,258,,,,,,,,,,,,
348,3.460,24.6,14900,14888,14982,209,,,,,,,,,,,,
350,4.540,27.6,15040,15021,15121,162,,,,,,,,,,,,
352,4.910,28.4,15340,15328,15500,254,,,,,,,,,,,,
360,4.470,27.4,16560,16545,16983,191,,,,,,,,,,,,
364,4.290,26.9,16810,16790,17184,220,,,,,,,,,,,,
368,3.540,24.8,17050,17037,17381,220,,,,,,,,,,,,
370,4.730,28.0,17170,17162,17477,216,,,,,,,,,,,,
372,3.990,26.1,17920,17805,18124,352,,,,,,,,,,,,
376,4.280,26.9,19420,19086,19402,396,,,,,,,,,,,,
380,4.130,27.0,20910,20364,20667,115,,,,,,,,,,,,
390,3.610,25.0,22310,20429,20800,107,,,,,,,,,,,,
400,3.660,25.2,23710,23659,23661,210,,,,,,,,,,,,
410,3.840,25.7,25120,28077,28071,236,,,,,,,,,,,,
