Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
448,2.823,22.3,23234,23192,23139,599,,,,,,,,,,,,
452,3.429,24.4,23354,23315,23261,602,,,,,,,,,,,,
455,3.262,23.9,23444,23406,23352,603,,,,,,,,,,,,
460,3.135,23.5,23595,23559,23505,605,,,,,,,,,,,,
465,3.432,24.5,23746,23712,23657,607,,,,,,,,,,,,
470,2.883,22.5,23897,23865,23810,607,,,,,,,,,,,,
475,3.020,23.0,24047,24017,23962,606,,,,,,,,,,,,
480,2.942,22.7,24198,24170,24115,604,,,,,,,,,,,,
485,3.208,23.7,24349,24322,24267,602,,,,,,,,,,,,
490,3.212,23.7,24499,24475,24420,599,,,,,,,,,,,,
495,2.961,22.8,24650,24627,24573,594,,,,,,,,,,,,
500,3.305,24.0,24801,24780,24726,589,,,,,,,,,,,,
505,2.953,22.8,24951,24932,24879,583,,,,,,,,,,,,
510,3.163,23.6,25102,25084,25032,576,,,,,,,,,,,,
515,3.075,23.2,25253,25236,25185,567,,,,,,,,,,,,
520,2.870,22.5,25403,25388,25338,558,,,,,,,,,,,,
525,2.973,22.9,25554,25540,25491,547,,,,,,,,,,,,
530,3.480,24.6,25705,25692,25644,536,,,,,,,,,,,,
535,2.929,22.7,25855,25844,25798,523,,,,,,,,,,,,
540,3.062,23.2,26006,25996,25951,508,,,,,,,,,,,,
545,3.631,25.1,26157,26148,26105,492,,,,,,,,,,,,
550,3.231,23.8,26307,26299,26258,474,,,,,,,,,,,,
555,3.266,23.9,26458,26450,26412,455,,,,,,,,,,,,
560,3.171,23.6,26609,26601,26566,433,,,,,,,,,,,,
565,3.016,23.0,26759,26752,26721,409,,,,,,,,,,,,
570,2.711,21.8,26910,26903,26876,381,,,,,,,,,,,,
575,3.071,23.2,27061,27053,27031,350,,,,,,,,,,,,
580,2.866,22.5,27211,27202,27187,314,,,,,,,,,,,,
585,2.915,22.6,27362,27346,27349,270,,,,,,,,,,,,
590,2.714,21.8,27498,27499,27484,312,,,,,,,,,,,,
595,2.820,22.3,27635,27647,27625,348,,,,,,,,,,,,
598,2.939,22.7,27717,27735,27710,367,,,,,,,,,,,,
603,3.185,23.6,27853,27882,27852,396,,,,,,,,,,,,
605,2.904,22.6,27908,27940,27908,407,,,,,,,,,,,,
610,2.720,21.9,28044,28086,28051,432,,,,,,,,,,,,
615,3.057,23.2,28181,28232,28193,455,,,,,,,,,,,,
620,2.687,21.7,28317,28378,28336,476,,,,,,,,,,,,
625,2.686,21.7,28454,28523,28479,495,,,,,,,,,,,,
630,2.806,22.2,28590,28669,28622,513,,,,,,,,,,,,
640,2.994,22.9,28863,28960,28908,544,,,,,,,,,,,,
645,2.646,21.6,29000,29105,29052,558,,,,,,,,,,,,
650,2.881,22.5,29136,29250,29195,571,,,,,,,,,,,,
655,3.024,23.1,29273,29395,29338,583,,,,,,,,,,,,
660,3.128,23.4,29409,29540,29482,594,,,,,,,,,,,,
665,2.537,21.1,29546,29685,29625,605,,,,,,,,,,,,
670,2.711,21.8,29682,29830,29769,614,,,,,,,,,,,,
675,2.674,21.7,29819,29974,29913,623,,,,,,,,,,,,
680,2.782,22.1,29955,30119,30056,631,,,,,,,,,,,,
685,2.854,22.4,30092,30264,30200,638,,,,,,,,,,,,
690,2.672,21.7,30228,30409,30344,645,,,,,,,,,,,,
695,2.740,22.0,30365,30553,30488,651,,,,,,,,,,,,
700,3.323,24.1,30501,30698,30632,656,,,,,,,,,,,,
705,3.187,23.6,30638,30842,30776,660,,,,,,,,,,,,
710,3.201,23.7,30774,30987,30920,664,,,,,,,,,,,,
715,2.880,22.5,30911,31131,31064,668,,,,,,,,,,,,
720,3.081,23.3,31047,31276,31208,670,,,,,,,,,,,,
725,3.092,23.3,31184,31420,31352,672,,,,,,,,,,,,
730,3.024,23.1,31320,31564,31496,674,,,,,,,,,,,,
735,3.107,23.4,31457,31709,31640,675,,,,,,,,,,,,
740,2.932,22.7,31593,31853,31784,675,,,,,,,,,,,,
745,2.876,22.5,31730,31997,31928,675,,,,,,,,,,,,
748,2.838,22.3,31812,32084,32015,675,,,,,,,,,,,,
752,2.911,22.6,31921,32199,32130,674,,,,,,,,,,,,
755,3.205,23.7,32003,32286,32217,673,,,,,,,,,,,,
760,3.176,23.6,32139,32430,32361,671,,,,,,,,,,,,
765,3.463,24.6,32276,32574,32506,669,,,,,,,,,,,,
770,3.076,23.2,32412,32718,32650,665,,,,,,,,,,,,
775,3.793,25.6,32549,32862,32795,662,,,,,,,,,,,,
780,3.178,23.6,32685,33006,32939,657,,,,,,,,,,,,
785,3.212,23.7,32822,33150,33084,652,,,,,,,,,,,,
790,3.458,24.5,32958,33293,33229,647,,,,,,,,,,,,
800,3.137,23.5,33231,33581,33518,633,,,,,,,,,,,,
805,3.307,24.0,33368,33725,33663,626,,,,,,,,,,,,
810,3.139,23.5,33504,33868,33808,617,,,,,,,,,,,,
815,3.454,24.5,33641,34012,33953,608,,,,,,,,,,,,
820,3.493,24.7,33777,34155,34098,598,,,,,,,,,,,,
825,3.528,24.8,33914,34299,34243,587,,,,,,,,,,,,
830,3.458,24.5,34050,34442,34388,575,,,,,,,,,,,,
835,2.926,22.7,34187,34585,34533,563,,,,,,,,,,,,
840,3.397,24.3,34323,34729,34678,549,,,,,,,,,,,,
845,3.281,24.0,34460,34872,34824,534,,,,,,,,,,,,
850,3.478,24.6,34596,35014,34969,518,,,,,,,,,,,,
855,3.436,24.5,34733,35157,35115,501,,,,,,,,,,,,
860,3.454,24.5,34869,35300,35261,482,,,,,,,,,,,,
865,3.374,24.3,35006,35442,35408,461,,,,,,,,,,,,
870,3.428,24.4,35142,35584,35554,439,,,,,,,,,,,,
875,3.583,24.9,35279,35724,35702,414,,,,,,,,,,,,
880,3.769,25.5,35415,35860,35855,386,,,,,,,,,,,,
885,3.436,24.5,35777,NaN,NaN,NaN,,,,,,,,,,,,
890,3.792,25.6,36139,NaN,NaN,NaN,,,,,,,,,,,,
895,3.533,24.8,36501,NaN,NaN,NaN,,,,,,,,,,,,
898,3.404,24.4,36718,NaN,NaN,NaN,,,,,,,,,,,,
902,3.749,25.4,37008,NaN,NaN,NaN,,,,,,,,,,,,
905,3.340,24.2,37225,NaN,NaN,NaN,,,,,,,,,,,,
910,4.191,26.7,37587,NaN,NaN,NaN,,,,,,,,,,,,
915,3.526,24.8,37949,NaN,NaN,NaN,,,,,,,,,,,,
920,3.339,24.2,38311,NaN,NaN,NaN,,,,,,,,,,,,
925,3.849,25.7,38673,NaN,NaN,NaN,,,,,,,,,,,,
930,3.507,24.7,39035,NaN,NaN,NaN,,,,,,,,,,,,
935,3.556,24.9,39397,NaN,NaN,NaN,,,,,,,,,,,,
940,3.176,23.6,39759,NaN,NaN,NaN,,,,,,,,,,,,
945,3.236,23.8,40121,NaN,NaN,NaN,,,,,,,,,,,,
950,3.518,24.7,40483,NaN,NaN,NaN,,,,,,,,,,,,
955,3.428,24.4,40845,NaN,NaN,NaN,,,,,,,,,,,,
960,3.321,24.1,41208,NaN,NaN,NaN,,,,,,,,,,,,
965,3.617,25.0,41570,NaN,NaN,NaN,,,,,,,,,,,,
970,3.039,23.1,41932,NaN,NaN,NaN,,,,,,,,,,,,
975,3.248,23.8,42294,NaN,NaN,NaN,,,,,,,,,,,,
980,2.893,22.6,42656,NaN,NaN,NaN,,,,,,,,,,,,
985,3.709,25.3,43018,NaN,NaN,NaN,,,,,,,,,,,,
990,2.918,22.7,43380,NaN,NaN,NaN,,,,,,,,,,,,
995,2.924,22.7,43742,NaN,NaN,NaN,,,,,,,,,,,,
1000,2.779,22.1,44104,NaN,NaN,NaN,,,,,,,,,,,,
1005,2.859,22.4,44466,NaN,NaN,NaN,,,,,,,,,,,,
1010,3.001,23.0,44828,NaN,NaN,NaN,,,,,,,,,,,,
1015,3.153,23.5,45190,NaN,NaN,NaN,,,,,,,,,,,,
1020,3.425,24.4,45552,NaN,NaN,NaN,,,,,,,,,,,,
1025,4.174,26.6,45914,NaN,NaN,NaN,,,,,,,,,,,,
1030,3.465,24.6,46276,NaN,NaN,NaN,,,,,,,,,,,,
1035,3.720,25.4,46638,NaN,NaN,NaN,,,,,,,,,,,,
1040,3.794,25.6,47000,NaN,NaN,NaN,,,,,,,,,,,,
1045,3.547,24.8,47556,NaN,NaN,NaN,,,,,,,,,,,,
1048,3.103,23.3,47889,NaN,NaN,NaN,,,,,,,,,,,,
