Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
89.5,2.220,14.4,9029,9068,9070,204,,,,,,,,,,,,
90.5,2.370,15.0,9086,9121,9123,192,,,,,,,,,,,,
91.5,2.230,14.5,9142,9174,9175,177,,,,,,,,,,,,
92.5,2.260,14.6,9199,9227,9227,156,,,,,,,,,,,,
93.5,2.270,14.6,9256,9280,9279,129,,,,,,,,,,,,
94.5,1.960,13.2,9312,9345,9344,121,,,,,,,,,,,,
95.5,2.150,14.1,9369,9435,9435,153,,,,,,,,,,,,
96.5,2.210,14.4,9426,9537,9539,192,,,,,,,,,,,,
97.5,2.470,15.4,9482,9639,9642,215,,,,,,,,,,,,
98.5,2.400,15.2,9539,9741,9745,228,,,,,,,,,,,,
99.5,2.520,15.6,9596,9843,9847,232,,,,,,,,,,,,
100.5,2.130,14.0,9652,9945,9949,227,,,,,,,,,,,,
101.5,2.070,13.8,9709,10047,10050,215,,,,,,,,,,,,
102.5,2.190,14.3,9766,10149,10151,191,,,,,,,,,,,,
103.5,2.390,15.1,9822,10250,10252,152,,,,,,,,,,,,
104.5,1.950,13.2,9879,10331,10330,110,,,,,,,,,,,,
105.5,2.180,14.3,9931,10369,10369,100,,,,,,,,,,,,
106.5,2.170,14.2,9982,10387,10388,112,,,,,,,,,,,,
107.5,2.060,13.7,10034,10405,10406,123,,,,,,,,,,,,
108.5,2.060,13.7,10085,10423,10425,132,,,,,,,,,,,,
109.5,2.100,13.9,10137,10441,10443,140,,,,,,,,,,,,
110.5,2.380,15.1,10189,10458,10461,146,,,,,,,,,,,,
111.5,1.970,13.3,10240,10476,10480,152,,,,,,,,,,,,
112.5,2.250,14.6,10292,10494,10498,157,,,,,,,,,,,,
113.5,2.170,14.2,10343,10512,10516,161,,,,,,,,,,,,
114.5,2.250,14.5,10395,10529,10534,164,,,,,,,,,,,,
115.5,1.920,13.1,10446,10547,10552,166,,,,,,,,,,,,
116.5,2.180,14.3,10498,10565,10570,168,,,,,,,,,,,,
117.5,2.050,13.7,10550,10583,10589,169,,,,,,,,,,,,
118.5,2.210,14.4,10601,10600,10607,169,,,,,,,,,,,,
119.5,1.970,13.3,10653,10618,10625,169,,,,,,,,,,,,
120.5,2.020,13.5,10704,10636,10643,168,,,,,,,,,,,,
121.5,2.080,13.8,10756,10654,10660,167,,,,,,,,,,,,
122.5,2.150,14.1,10808,10671,10678,165,,,,,,,,,,,,
123.5,2.010,13.5,10859,10689,10696,162,,,,,,,,,,,,
124.5,2.260,14.6,10911,10707,10714,158,,,,,,,,,,,,
125.5,2.200,14.3,10962,10724,10732,154,,,,,,,,,,,,
126.5,2.200,14.3,11014,10742,10749,148,,,,,,,,,,,,
127.5,2.060,13.7,11065,10760,10767,142,,,,,,,,,,,,
128.5,2.080,13.8,11117,10791,10797,146,,,,,,,,,,,,
129.5,2.000,13.4,11155,10848,10854,170,,,,,,,,,,,,
130.5,1.950,13.2,11194,10917,10923,199,,,,,,,,,,,,
131.5,1.910,13.0,11232,10987,10992,221,,,,,,,,,,,,
132.5,2.070,13.8,11270,11057,11060,238,,,,,,,,,,,,
133.5,2.180,14.2,11309,11127,11128,253,,,,,,,,,,,,
134.5,2.200,14.3,11347,11197,11195,264,,,,,,,,,,,,
135.5,2.010,13.5,11385,11266,11263,273,,,,,,,,,,,,
136.5,2.250,14.6,11424,11336,11330,279,,,,,,,,,,,,
137.5,1.760,12.3,11462,11406,11398,284,,,,,,,,,,,,
138.5,2.020,13.5,11500,11475,11465,286,,,,,,,,,,,,
139.5,1.800,12.5,11539,11545,11532,286,,,,,,,,,,,,
140.5,1.810,12.5,11577,11615,11600,284,,,,,,,,,,,,
141.5,1.620,11.5,11615,11684,11667,280,,,,,,,,,,,,
142.5,1.860,12.7,11654,11754,11733,274,,,,,,,,,,,,
143.5,1.700,12.0,11692,11824,11800,266,,,,,,,,,,,,
144.5,1.940,13.2,11730,11893,11867,255,,,,,,,,,,,,
145.5,1.590,11.3,11769,11963,11933,241,,,,,,,,,,,,
146.5,1.730,12.1,11807,12032,11999,223,,,,,,,,,,,,
148.5,1.590,11.3,11884,12156,12115,181,,,,,,,,,,,,
150.5,1.950,13.2,11961,12189,12146,176,,,,,,,,,,,,
152.5,1.810,12.5,12037,12208,12162,179,,,,,,,,,,,,
154.5,1.620,11.5,12114,12226,12178,181,,,,,,,,,,,,
156.5,1.790,12.4,12191,12245,12194,183,,,,,,,,,,,,
158.5,1.670,11.8,12267,12263,12211,184,,,,,,,,,,,,
160.5,1.770,12.3,12344,12282,12227,185,,,,,,,,,,,,
162.5,1.730,12.1,12421,12300,12242,185,,,,,,,,,,,,
164.5,1.640,11.6,12497,12319,12258,184,,,,,,,,,,,,
166.5,1.840,12.7,12574,12337,12274,183,,,,,,,,,,,,
168.5,1.540,11.0,12651,12356,12290,182,,,,,,,,,,,,
170.5,1.810,12.5,12727,12374,12305,180,,,,,,,,,,,,
172.5,1.840,12.7,12804,12408,12338,186,,,,,,,,,,,,
174.5,1.800,12.5,12892,12534,12474,234,,,,,,,,,,,,
176.5,1.690,11.9,12979,12675,12624,273,,,,,,,,,,,,
178.5,1.800,12.4,13067,12815,12773,302,,,,,,,,,,,,
180.5,1.960,13.3,13155,12956,12922,324,,,,,,,,,,,,
182.5,1.860,12.8,13243,13096,13070,339,,,,,,,,,,,,
184.5,2.100,13.9,13330,13236,13218,349,,,,,,,,,,,,
186.5,2.170,14.2,13418,13377,13366,355,,,,,,,,,,,,
188.5,1.890,12.9,13506,13517,13514,355,,,,,,,,,,,,
190.5,1.990,13.4,13594,13657,13662,351,,,,,,,,,,,,
192.5,1.860,12.8,13681,13797,13809,342,,,,,,,,,,,,
194.5,2.070,13.8,13769,13937,13956,328,,,,,,,,,,,,
196.5,2.150,14.1,13857,14078,14103,308,,,,,,,,,,,,
198.5,1.880,12.9,13945,14217,14249,279,,,,,,,,,,,,
200.5,2.080,13.8,14032,14357,14395,240,,,,,,,,,,,,
202.5,2.040,13.6,14120,14484,14526,190,,,,,,,,,,,,
204.5,2.100,13.9,14205,14533,14587,189,,,,,,,,,,,,
