UK'37,Published temperature,Published age,Age model error
,(°„C),(yr BP),"(yr, 1¶“)"
0.65,18.2,6838,137
0.65,18.4,6882,138
0.63,17.8,6992,140
0.65,18.2,7101,142
0.65,18.3,7206,144
0.66,18.8,7313,146
0.65,18.3,7621,152
0.68,19.3,7721,154
0.65,18.4,7831,157
0.66,18.6,7939,159
0.67,19.0,8044,161
0.67,19.0,8149,163
0.65,18.5,8219,164
0.66,18.5,8266,165
0.64,18.1,8375,167
0.70,19.9,8413,168
0.67,19.1,8469,169
0.72,20.4,8548,171
0.66,18.6,8592,172
0.63,17.9,8680,174
0.66,18.7,8790,176
0.65,18.3,8900,178
0.66,18.7,9010,180
0.64,18.0,9120,182
0.65,18.4,9318,186
0.67,18.8,9418,188
0.64,18.2,9528,191
0.67,18.8,9638,193
0.67,18.9,9748,195
0.66,18.6,9854,197
0.64,18.1,9954,199
0.62,17.4,10055,201
0.62,17.3,10160,203
0.59,16.6,10267,205
0.56,15.7,10377,208
0.56,15.8,10487,210
0.52,14.4,10597,212
0.57,15.9,10701,214
0.53,14.7,10795,216
0.54,15.2,10895,218
0.53,14.7,11097,222
0.51,14.3,11122,222
0.53,14.6,11147,223
0.52,14.4,11235,225
0.54,15.1,11329,227
0.53,14.7,11436,229
0.56,15.5,11549,231
0.55,15.4,11643,233
0.54,15.1,11750,235
0.56,15.5,11863,237
0.54,15.0,11970,239
0.54,15.1,12083,242
0.57,15.8,12159,243
0.58,16.2,12178,244
0.56,15.8,12197,244
0.55,15.4,12285,246
0.58,16.4,12398,248
0.59,16.4,12492,250
0.58,16.2,12599,252
0.60,16.8,12712,254
0.59,16.6,12819,256
0.60,16.9,12932,259
0.60,16.9,13026,261
0.59,16.7,13146,263
0.64,18.2,13240,265
0.59,16.7,13280,266
0.62,17.4,13340,267
0.60,16.8,13380,268
0.60,16.9,13420,268
0.59,16.4,13480,270
0.59,16.5,13580,272
0.61,17.2,13620,272
0.59,16.5,13680,274
0.63,17.8,13740,275
0.59,16.5,13780,276
0.58,16.4,13800,276
0.61,17.1,13840,277
0.59,16.6,13880,278
0.55,15.4,14080,282
0.53,14.7,14180,284
0.62,17.3,14240,285
0.52,14.3,14335,287
0.51,14.2,14430,289
0.55,15.3,14490,290
0.50,13.8,14530,291
0.52,14.4,14630,293
0.54,14.9,14730,295
0.55,15.4,14830,297
0.55,15.3,15455,309
0.57,16.0,16080,322
0.55,15.3,16705,334
0.56,15.5,17330,347
0.55,15.3,17960,359
0.56,15.8,18590,372
0.58,16.3,18965,379
0.56,15.6,19215,384
0.56,15.6,19840,397
0.58,16.1,20215,404
0.56,15.6,20465,409
0.58,16.2,21237,425
0.56,15.6,21430,429
