UK'37,Published temperature,Published age,Age model error
0.57,15.9,21770,435
0.55,15.2,22110,442
0.57,15.9,22586,452
0.54,15.1,22790,456
0.56,15.6,22926,459
0.53,14.8,23130,463
0.53,14.8,23216,464
0.54,15.0,23345,467
0.59,16.7,23431,469
0.54,15.1,23560,471
0.55,15.4,23646,473
0.54,15.0,23689,474
0.52,14.5,23775,476
0.52,14.3,23990,480
0.51,14.0,24205,484
0.52,14.5,24420,488
0.55,15.2,24506,490
0.54,15.2,24549,491
0.54,14.9,24635,493
0.54,15.0,24850,497
0.50,13.9,25065,501
0.49,13.6,25280,506
0.60,16.8,25495,510
0.57,16.1,25710,514
0.57,15.9,25839,517
0.54,15.2,25925,519
0.53,14.8,26140,523
0.53,14.8,26379,528
0.56,15.6,26479,530
0.53,14.7,26630,533
0.58,16.2,26785,536
0.53,14.8,26889,538
0.55,15.4,26997,540
0.58,16.4,27160,543
0.54,15.1,27425,549
0.53,14.6,27690,554
0.57,15.9,27955,559
0.57,15.8,28220,564
0.54,15.1,28485,570
0.54,15.0,28750,575
0.58,16.1,29015,580
0.55,15.4,29280,586
0.58,16.2,29545,591
0.54,15.1,29863,597
0.55,15.2,30075,602
0.55,15.2,30181,604
0.56,15.5,30340,607
0.58,16.2,30496,610
0.56,15.7,30600,612
0.56,15.8,30870,617
0.58,16.4,31026,621
0.56,15.8,31130,623
0.56,15.6,31400,628
0.59,16.5,31640,633
0.58,16.2,31870,637
0.57,16.0,32014,640
0.60,16.8,32110,642
0.58,16.2,32350,647
0.61,17.1,32494,650
0.58,16.1,32590,652
0.55,15.3,32820,656
0.55,15.2,33060,661
0.54,15.0,33300,666
0.57,15.9,33438,669
0.57,16.0,33530,671
0.58,16.2,33770,675
0.58,16.2,33914,678
0.57,15.9,34010,680
0.58,16.2,34250,685
0.61,17.1,34388,688
0.60,16.8,34480,690
0.59,16.6,34720,694
0.53,14.7,35330,707
0.60,16.9,35940,719
0.56,15.7,36540,731
0.57,16.0,37150,743
0.59,16.4,37760,755
0.58,16.4,38370,767
0.61,17.2,38730,775
0.61,17.0,38970,779
0.60,16.8,39580,792
0.58,16.3,39946,799
0.58,16.1,40190,804
0.55,15.4,40800,816
0.55,15.3,41160,823
0.54,15.0,41400,828
0.57,15.9,42010,840
0.59,16.7,42376,848
0.61,17.2,42620,852
0.61,17.2,43230,865
0.62,17.4,43830,877
0.63,17.6,44440,889
0.60,16.8,45050,901
0.59,16.4,45660,913
0.63,17.9,46026,921
0.60,16.9,46270,925
0.62,17.6,46870,937
0.61,17.3,47788,956
0.59,16.4,48706,974
0.58,16.2,49624,992
0.56,15.8,50543,1011
0.56,15.8,51461,1029
0.57,15.8,52379,1048
0.61,17.1,53297,1066
0.60,16.8,54215,1084
0.59,16.6,55133,1103
0.56,15.6,56051,1121
0.54,14.9,56969,1139
0.52,14.3,57888,1158
0.50,13.9,58806,1176
0.51,14.1,59724,1194
0.51,14.1,60642,1213
0.51,14.2,61560,1231
0.52,14.3,62434,1249
0.52,14.5,63307,1266
0.54,14.9,64181,1284
0.52,14.4,65055,1301
0.49,13.4,66802,1336
0.52,14.5,68549,1371
0.58,16.4,70297,1406
0.55,15.3,72044,1441
0.62,17.4,73791,1476
0.62,17.4,75539,1511
0.52,14.4,77286,1546
0.57,16.1,79033,1581
0.61,17.1,80781,1616
0.63,17.9,82528,1651
0.64,18.2,84275,1686
0.64,18.1,86023,1720
0.56,15.5,87770,1755
0.63,17.6,89377,1788
0.65,18.4,90984,1820
0.63,17.9,92591,1852
0.61,17.2,94199,1884
0.64,18.1,95806,1916
0.64,18.1,97413,1948
0.65,18.5,99020,1980
0.69,19.4,100627,2013
0.67,19.0,102234,2045
0.60,16.9,103841,2077
0.65,18.3,105449,2109
0.63,17.7,107056,2141
0.61,17.2,108663,2173
0.63,17.8,110270,2205
0.67,19.1,112111,2242
0.68,19.3,113953,2279
0.66,18.6,115794,2316
0.67,19.0,117635,2353
0.72,20.4,119476,2390
0.74,21.2,121318,2426
0.70,20.0,123159,2463
0.66,18.7,125000,2500
0.66,18.7,125679,2514
0.67,18.9,126358,2527
0.61,17.2,127037,2541
0.57,16.0,127716,2554
0.56,15.6,128394,2568
0.58,16.2,129073,2581
0.64,17.9,129752,2595
0.64,18.0,130431,2609
0.60,17.0,131110,2622
0.63,17.7,132189,2644
0.61,17.0,132593,2652
0.60,16.9,133807,2676
0.53,14.7,135155,2703
0.57,16.0,136503,2730
0.54,14.9,137852,2757
0.49,13.7,139200,2784
0.55,15.3,142233,2845
0.50,13.8,145267,2905
0.56,15.6,148300,2966
0.56,15.5,151333,3027
0.59,16.7,154367,3087
0.61,17.1,157400,3148
0.62,17.4,164467,3289
0.59,16.4,171533,3431
0.62,17.5,178600,3572
0.56,15.8,181050,3621
0.57,16.0,183500,3670
0.56,15.7,185315,3706
0.59,16.6,187131,3743
0.58,16.4,188946,3779
0.59,16.5,190580,3812
0.58,16.3,190943,3819
0.59,16.5,192577,3852
0.62,17.4,194392,3888
0.58,16.4,196208,3924
0.64,18.2,198023,3960
0.65,18.5,199838,3997
0.65,18.4,203469,4069
0.65,18.5,205285,4106
0.65,18.3,207100,4142
0.73,20.7,208915,4178
0.69,19.5,210731,4215
0.68,19.4,212546,4251
0.69,19.5,216177,4324
0.63,17.6,217992,4360
0.53,14.7,219135,4383
0.58,16.4,222891,4458
0.65,18.2,225239,4505
0.68,19.2,229465,4589
0.70,19.8,233691,4674
0.68,19.3,237917,4758
0.69,19.6,242143,4843
0.58,16.3,246370,4927
0.57,15.9,250596,5012
0.55,15.3,254822,5096
0.55,15.3,259048,5181
0.53,14.8,263274,5265
0.53,14.6,267500,5350
0.59,16.6,288500,5770
0.67,19.0,290600,5812
0.60,16.9,292700,5854
0.57,16.0,294800,5896
0.56,15.7,296900,5938
0.59,16.6,299000,5980
0.60,16.8,301100,6022
