Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
1,4.346,28.9,4334,4728,4733,70,,1,G. ruber,4560,50,0,4765,4590,4875,4765,4590,4875,
5,4.460,29.2,4527,4795,4800,104,,10.5,G. ruber,4210,40,0,4307,4167,4414,4307,4167,4414,excluded
6,4.442,29.2,4576,4812,4817,108,,14,G. ruber,4740,40,0,4977,4842,5172,4977,4842,5172,
9,4.195,28.6,4721,4863,4866,108,,29,G. ruber,4700,55,0,4933,4806,5122,4933,4806,5122,
13,4.109,28.3,4914,4931,4930,81,,59,G. sacculifer,6020,40,0,6435,6318,6545,6435,6318,6545,
15,4.564,29.4,4994,4952,4952,71,,73,G. sacculifer,6810,55,0,7335,7226,7433,7335,7226,7433,
18,4.120,28.4,5092,4966,4969,80,,85,G. sacculifer,6830,90,0,7348,7169,7504,7348,7169,7504,
20,4.403,29.1,5156,4976,4979,83,,94,G. sacculifer,8850,55,0,9507,9411,9644,9507,9411,9644,
23,4.022,28.1,5254,4992,4995,83,,99,G. sacculifer,10700,90,0,12081,11708,12587,12075,11710,12520,excluded
25,4.435,29.1,5318,5002,5005,79,,120,G. sacculifer,9380,160,0,10212,9747,10561,10212,9747,10561,
28,4.104,28.3,5416,5017,5019,70,,150,G. ruber,10200,80,0,11197,10940,11403,11197,10940,11403,
30,4.703,29.8,5480,5068,5072,111,,158,G. sacculifer,10250,120,0,11283,10925,11740,11283,10925,11740,
33,4.243,28.7,5578,5208,5215,181,,162,G. sacculifer,10750,50,0,12169,11945,12548,12166,11961,12352,
35,4.182,28.5,5642,5301,5309,209,,205.5,G. sacculifer,11750,130,0,13218,12954,13440,13221,12901,13463,
38,4.073,28.2,5740,5441,5451,236,,212,G. ruber,12350,65,0,13808,13677,13968,13804,13620,13984,
40,4.631,29.6,5804,5535,5545,247,,226.5,G. ruber,13000,95,0,14784,14269,15134,14806,14219,15190,
43,4.226,28.6,5902,5676,5686,255,,244,G. ruber,14100,70,0,16310,15942,16731,16831,16640,17023,
45,4.363,29.0,5966,5769,5780,254,,269,G. ruber,14750,70,0,17179,16701,17592,17443,17118,17816,
47,4.608,29.5,6031,5863,5874,250,,282,G. sacculifer,15100,90,0,17796,17161,18423,17877,17551,18470,
48,4.079,28.3,6064,5910,5921,246,,339,G. ruber,17150,140,0,19888,19539,20180,19899,19541,20277,
50,4.826,30.0,6128,6005,6015,234,,368,G. ruber,17650,85,0,20367,20096,20665,20463,20177,21050,
52,4.515,29.3,6193,6099,6108,217,,400,G. sacculifer,18850,140,0,21987,21402,22322,21990,21534,22358,
54,4.328,28.9,6258,6193,6202,193,,440,G. sacculifer,28000,130,0,,,,31655,31358,32111,
55,4.503,29.3,6290,6241,6248,178,,487,G. ruber,30900,260,0,,,,34973,34588,36176,
57,4.459,29.2,6355,6335,6341,136,,506.5,G. sacculifer,33000,310,0,,,,37149,36523,38375,
58,4.322,28.9,6388,6383,6387,105,,543,G. sacculifer,33600,590,0,,,,37873,36550,39176,
60,4.642,29.6,6481,6492,6498,114,,553,G. sacculifer,34300,390,0,,,,38776,37483,40019,
62,4.393,29.0,6603,6617,6624,168,,594,G. sacculifer,36900,460,0,,,,41527,40735,42237,
63,4.287,28.8,6664,6679,6687,183,,,,,,,,,,,,,
65,4.613,29.6,6786,6804,6813,198,,,,,,,,,,,,,
68,4.495,29.3,6969,6993,7000,191,,,,,,,,,,,,,
69,4.058,28.2,7030,7056,7063,180,,,,,,,,,,,,,
70,4.162,28.5,7091,7119,7125,164,,,,,,,,,,,,,
71,4.308,28.8,7152,7182,7187,141,,,,,,,,,,,,,
74,4.228,28.6,7332,7317,7317,54,,,,,,,,,,,,,
75,4.276,28.8,7390,7324,7324,61,,,,,,,,,,,,,
76,4.233,28.7,7448,7330,7331,66,,,,,,,,,,,,,
80,4.205,28.6,7680,7357,7358,76,,,,,,,,,,,,,
81,4.271,28.7,7738,7363,7365,76,,,,,,,,,,,,,
84,4.337,28.9,7912,7383,7385,69,,,,,,,,,,,,,
85,4.415,29.1,7970,7390,7391,64,,,,,,,,,,,,,
87,4.372,29.0,8086,7859,7872,261,,,,,,,,,,,,,
90,4.404,29.1,8260,8570,8585,310,,,,,,,,,,,,,
95,4.373,29.0,8550,9548,9553,87,,,,,,,,,,,,,
97,4.166,28.5,8667,9595,9602,121,,,,,,,,,,,,,
98,4.429,29.1,8725,9619,9627,134,,,,,,,,,,,,,
100,4.604,29.5,8841,9667,9676,155,,,,,,,,,,,,,
102,4.689,29.7,8957,9715,9724,171,,,,,,,,,,,,,
103,4.406,29.1,9015,9739,9748,178,,,,,,,,,,,,,
104,4.488,29.3,9073,9763,9772,183,,,,,,,,,,,,,
105,4.475,29.2,9131,9787,9797,188,,,,,,,,,,,,,
106,4.518,29.3,9189,9811,9821,193,,,,,,,,,,,,,
107,4.845,30.1,9247,9835,9845,196,,,,,,,,,,,,,
109,4.740,29.8,9363,9883,9893,202,,,,,,,,,,,,,
110,4.556,29.4,9421,9907,9917,204,,,,,,,,,,,,,
111,4.457,29.2,9479,9931,9941,206,,,,,,,,,,,,,
112,4.219,28.6,9537,9956,9965,207,,,,,,,,,,,,,
114,4.322,28.9,9653,10004,10012,208,,,,,,,,,,,,,
115,4.640,29.6,9711,10028,10036,207,,,,,,,,,,,,,
116,4.281,28.8,9769,10053,10060,206,,,,,,,,,,,,,
117,4.506,29.3,9827,10077,10084,205,,,,,,,,,,,,,
118,4.421,29.1,9885,10101,10107,203,,,,,,,,,,,,,
119,4.265,28.7,9943,10126,10131,201,,,,,,,,,,,,,
121,4.396,29.0,10036,10183,10188,206,,,,,,,,,,,,,
122,4.722,29.8,10071,10215,10222,213,,,,,,,,,,,,,
123,4.236,28.7,10105,10248,10255,219,,,,,,,,,,,,,
125,4.462,29.2,10175,10313,10322,228,,,,,,,,,,,,,
126,4.254,28.7,10210,10346,10356,232,,,,,,,,,,,,,
127,4.534,29.4,10245,10379,10389,235,,,,,,,,,,,,,
128,4.331,28.9,10279,10412,10422,237,,,,,,,,,,,,,
129,4.173,28.5,10314,10445,10455,239,,,,,,,,,,,,,
130,4.289,28.8,10349,10478,10489,240,,,,,,,,,,,,,
131,4.506,29.3,10384,10511,10522,240,,,,,,,,,,,,,
132,4.530,29.4,10419,10544,10555,240,,,,,,,,,,,,,
