Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
169,0.381,10.2,19490,19686,19656,293,,,,,,,,,,,,
171,0.376,10.1,19610,19821,19804,298,,,,,,,,,,,,
173,0.388,10.4,19740,19955,19952,298,,,,,,,,,,,,
175,0.392,10.5,19880,20089,20100,293,,,,,,,,,,,,
177,0.385,10.3,20030,20222,20249,282,,,,,,,,,,,,
179,0.388,10.4,20180,20356,20398,265,,,,,,,,,,,,
181,0.378,10.1,20350,20490,20547,241,,,,,,,,,,,,
183,0.376,10.1,20510,20622,20696,207,,,,,,,,,,,,
185,0.381,10.2,20690,20753,20849,157,,,,,,,,,,,,
187,0.380,10.2,20820,20855,20971,166,,,,,,,,,,,,
188,0.371,9.9,20960,20954,21099,166,,,,,,,,,,,,
190,0.371,9.9,21150,21179,21298,236,,,,,,,,,,,,
192,0.363,9.7,21350,21400,21501,284,,,,,,,,,,,,
194,0.370,9.9,21560,21620,21705,318,,,,,,,,,,,,
196,0.373,10.0,21770,21840,21910,341,,,,,,,,,,,,
198,0.375,10.0,21990,22060,22115,356,,,,,,,,,,,,
200,0.369,9.9,22220,22279,22320,364,,,,,,,,,,,,
202,0.378,10.1,22440,22499,22525,364,,,,,,,,,,,,
204,0.371,9.9,22670,22718,22731,358,,,,,,,,,,,,
206,0.379,10.1,22900,22937,22937,345,,,,,,,,,,,,
208,0.369,9.8,23120,23155,23144,323,,,,,,,,,,,,
210,0.420,11.4,23350,23374,23351,291,,,,,,,,,,,,
212,0.427,11.6,23560,23591,23558,246,,,,,,,,,,,,
214,0.470,12.9,23780,23806,23770,181,,,,,,,,,,,,
216,0.442,12.1,23980,24014,23979,265,,,,,,,,,,,,
218,0.423,11.5,24180,24225,24193,330,,,,,,,,,,,,
220,0.441,12.0,24370,24436,24406,384,,,,,,,,,,,,
222,0.431,11.7,24560,24647,24620,431,,,,,,,,,,,,
224,0.458,12.6,24740,24858,24833,474,,,,,,,,,,,,
226,0.436,11.9,24910,25069,25046,513,,,,,,,,,,,,
228,0.404,10.9,25080,25280,25259,549,,,,,,,,,,,,
230,0.425,11.6,25240,25491,25472,583,,,,,,,,,,,,
232,0.422,11.4,25390,25703,25685,616,,,,,,,,,,,,
234,0.420,11.4,25540,25914,25898,646,,,,,,,,,,,,
