Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
2439,0.503,13.7,16736,15587,15870,295,,,,,,,,,,,,
2451,0.484,13.1,16840,15695,16011,299,,,,,,,,,,,,
2463,0.467,12.6,16943,15803,16152,298,,,,,,,,,,,,
2475,0.450,12.1,17047,15911,16294,292,,,,,,,,,,,,
2487,0.454,12.2,17151,16019,16436,281,,,,,,,,,,,,
2499,0.457,12.3,17255,16127,16580,263,,,,,,,,,,,,
2511,0.468,12.6,17355,16233,16722,237,,,,,,,,,,,,
2517,0.473,12.8,17384,16275,16751,254,,,,,,,,,,,,
2529,0.483,13.1,17441,16361,16812,279,,,,,,,,,,,,
2541,0.466,12.6,17499,16446,16873,298,,,,,,,,,,,,
2547,0.459,12.4,17528,16489,16904,307,,,,,,,,,,,,
2553,0.475,12.8,17557,16532,16935,314,,,,,,,,,,,,
2565,0.479,12.9,17614,16617,16998,327,,,,,,,,,,,,
2577,0.457,12.3,17672,16703,17060,337,,,,,,,,,,,,
2591,0.429,11.5,17739,16803,17134,346,,,,,,,,,,,,
2603,0.430,11.5,17797,16889,17197,352,,,,,,,,,,,,
2615,0.418,11.2,17855,16975,17260,356,,,,,,,,,,,,
2627,0.435,11.6,17913,17060,17323,358,,,,,,,,,,,,
2639,0.425,11.4,17970,17146,17386,358,,,,,,,,,,,,
2651,0.418,11.2,18028,17232,17449,356,,,,,,,,,,,,
2663,0.400,10.6,18086,17318,17513,353,,,,,,,,,,,,
2675,0.413,11.0,18143,17404,17576,348,,,,,,,,,,,,
2687,0.381,10.1,18201,17490,17640,341,,,,,,,,,,,,
2699,0.393,10.4,18259,17576,17704,332,,,,,,,,,,,,
2711,0.415,11.1,18316,17662,17768,321,,,,,,,,,,,,
2723,0.403,10.7,18374,17748,17832,308,,,,,,,,,,,,
2735,0.408,10.9,18432,17834,17896,292,,,,,,,,,,,,
2747,0.391,10.3,18490,17921,17960,274,,,,,,,,,,,,
2759,0.377,10.0,18547,18007,18025,251,,,,,,,,,,,,
2771,0.372,9.8,18605,18093,18090,224,,,,,,,,,,,,
2783,0.347,9.1,18663,18180,18155,191,,,,,,,,,,,,
2795,0.345,9.0,18720,18267,18223,149,,,,,,,,,,,,
2807,0.320,8.3,18787,18344,18290,172,,,,,,,,,,,,
2818,0.350,9.2,18849,18414,18355,197,,,,,,,,,,,,
2830,0.346,9.0,18917,18490,18427,219,,,,,,,,,,,,
2842,0.359,9.4,18984,18566,18499,235,,,,,,,,,,,,
2854,0.370,9.7,19052,18643,18572,247,,,,,,,,,,,,
2866,0.350,9.2,19120,18719,18645,256,,,,,,,,,,,,
2878,0.359,9.4,19188,18795,18718,261,,,,,,,,,,,,
2890,0.355,9.3,19256,18872,18791,263,,,,,,,,,,,,
2902,0.341,8.9,19323,18948,18865,262,,,,,,,,,,,,
2938,0.368,9.7,19527,19177,19088,240,,,,,,,,,,,,
2986,0.362,9.5,19793,19472,19385,167,,,,,,,,,,,,
3022,0.414,11.0,19960,19620,19551,201,,,,,,,,,,,,
3046,0.366,9.6,20072,19719,19664,210,,,,,,,,,,,,
3082,0.390,10.3,20238,19868,19836,203,,,,,,,,,,,,
3121,0.374,9.8,20419,20029,20025,166,,,,,,,,,,,,
3157,0.397,10.5,20590,20176,20195,138,,,,,,,,,,,,
3193,0.377,10.0,20772,20316,20343,198,,,,,,,,,,,,
3231,0.383,10.1,20964,20465,20501,230,,,,,,,,,,,,
3268,0.376,9.9,21151,20609,20657,241,,,,,,,,,,,,
3304,0.388,10.3,21333,20750,20810,237,,,,,,,,,,,,
3328,0.384,10.2,21454,20844,20913,226,,,,,,,,,,,,
3340,0.363,9.5,21514,20891,20966,217,,,,,,,,,,,,
3364,0.393,10.4,21631,20999,21084,230,,,,,,,,,,,,
3400,0.356,9.3,21800,21180,21284,272,,,,,,,,,,,,
3412,0.360,9.4,21856,21241,21352,282,,,,,,,,,,,,
3448,0.396,10.5,22025,21423,21556,301,,,,,,,,,,,,
3484,0.345,9.0,22194,21605,21761,307,,,,,,,,,,,,
3520,0.382,10.1,22362,21787,21968,303,,,,,,,,,,,,
3544,0.304,7.8,22475,21909,22106,293,,,,,,,,,,,,
3556,0.310,8.0,22531,21970,22175,286,,,,,,,,,,,,
3592,0.348,9.1,22700,22152,22383,256,,,,,,,,,,,,
3628,0.366,9.6,22869,22335,22594,206,,,,,,,,,,,,
3664,0.372,9.8,23052,22527,22799,168,,,,,,,,,,,,
3687,0.378,10.0,23200,22666,22908,222,,,,,,,,,,,,
3723,0.351,9.2,23433,22885,23084,275,,,,,,,,,,,,
3752,0.336,8.7,23620,23061,23227,301,,,,,,,,,,,,
3777,0.344,9.0,23782,23213,23350,315,,,,,,,,,,,,
3801,0.366,9.6,23937,23359,23470,321,,,,,,,,,,,,
3825,0.389,10.3,24092,23505,23590,322,,,,,,,,,,,,
3849,0.401,10.6,24247,23651,23710,316,,,,,,,,,,,,
3861,0.395,10.5,24325,23725,23770,311,,,,,,,,,,,,
3885,0.405,10.8,24480,23871,23891,296,,,,,,,,,,,,
3909,0.407,10.8,24635,24017,24013,272,,,,,,,,,,,,
3922,0.412,11.0,24719,24097,24080,256,,,,,,,,,,,,
3946,0.419,11.2,24874,24243,24205,215,,,,,,,,,,,,
3970,0.373,9.8,24953,24406,24333,243,,,,,,,,,,,,
3982,0.410,10.9,24984,24473,24400,266,,,,,,,,,,,,
