Proxy depth,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),T_warm (～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
0,20.9,0,NaN,NaN,NaN,,12.5,G. bulloides,1440,190,0,994,638,1350,994,638,1350
10,20.7,649,864,848,232,,29.8,G. bulloides,1810,80,0,1362,1209,1539,1362,1209,1539
20,21.7,1166,1147,1159,162,,49.8,G. bulloides,3450,100,0,3324,3056,3571,3324,3056,3571
30,22.2,1648,1394,1400,106,,69.5,G. bulloides,4940,240,0,5235,4630,5800,5235,4630,5800
40,22.2,2505,2360,2373,302,,89.8,G. bulloides,5640,140,0,6041,5711,6323,6041,5711,6323
50,21.0,3362,3336,3339,146,,111.0,G. bulloides,7190,140,0,7669,7423,7927,7669,7423,7927
60,20.9,4214,4280,4303,322,,129.5,G. bulloides,7990,120,0,8466,8177,8778,8466,8177,8778
70,20.9,5051,5208,5232,283,,141.0,G. bulloides,9160,130,0,9925,9550,10215,9925,9550,10215
80,21.4,5609,5617,5632,243,,149.5,G. bulloides,9760,130,0,10666,10364,11086,10666,10364,11086
90,22.4,6172,6041,6039,161,,180.0,G. bulloides,10680,140,0,12032,11394,12625,12015,11400,12537
100,21.0,6903,6816,6823,281,,189.5,G. bulloides,11080,140,0,12661,12217,12903,12567,12121,12896
110,20.8,7635,7600,7601,160,,200.0,G. bulloides,11410,170,0,12969,12717,13248,12898,12599,13221
120,20.9,8199,8067,8069,204,,208.5,G. bulloides,12160,200,0,13608,13234,14012,13608,13232,14024
130,21.1,8766,8543,8536,174,,229.5,G. bulloides,12660,170,0,14236,13790,14886,14281,13790,14988
140,21.2,9719,9757,9762,207,,249.5,G. bulloides,12860,150,0,14531,14043,15050,14565,14035,15122
150,20.0,10365,10740,10744,188,,260.0,G. bulloides,13100,170,0,14906,14204,15433,14992,14144,15904
160,20.4,10889,11148,11145,266,,280.0,G. bulloides,13980,190,0,16138,15532,16758,16656,15632,17104
170,12.4,11412,11560,11541,291,,299.0,G. bulloides,14350,180,0,16623,16033,17213,17045,16725,17538
180,13.8,11919,11979,11934,286,,329.5,G. bulloides,14990,190,0,17597,16844,18478,17738,17150,18486
190,15.2,12545,12579,12519,162,,360.0,G. bulloides,15630,220,0,18519,17955,18933,18390,17941,18852
200,12.2,12952,12991,12917,131,,400.0,G. bulloides,17510,270,0,20250,19579,20926,20347,19579,21196
210,18.4,13537,13654,13677,198,,,,,,,,,,,,
220,19.8,13873,13949,13987,220,,,,,,,,,,,,
230,19.9,14209,14239,14284,215,,,,,,,,,,,,
240,20.0,14540,14407,14463,209,,,,,,,,,,,,
250,14.8,14868,14587,14655,200,,,,,,,,,,,,
260,11.4,15128,14962,15187,251,,,,,,,,,,,,
270,9.6,15624,15518,15777,293,,,,,,,,,,,,
280,9.5,16120,16085,16364,274,,,,,,,,,,,,
290,9.2,16376,16383,16776,263,,,,,,,,,,,,
300,9.3,16633,16692,17159,261,,,,,,,,,,,,
310,9.8,16889,17012,17378,296,,,,,,,,,,,,
320,8.8,17143,17332,17596,332,,,,,,,,,,,,
330,9.7,17375,17649,17815,353,,,,,,,,,,,,
340,14.1,17612,17911,18020,318,,,,,,,,,,,,
350,15.3,17849,18179,18220,277,,,,,,,,,,,,
360,16.7,18085,18454,18415,233,,,,,,,,,,,,
370,13.8,18479,18898,18907,318,,,,,,,,,,,,
380,14.5,18873,19346,19397,359,,,,,,,,,,,,
390,19.2,19267,19795,19885,371,,,,,,,,,,,,
400,14.2,19661,20248,20372,345,,,,,,,,,,,,
410,20.2,20153,20760,20908,467,,,,,,,,,,,,
420,20.6,NaN,21279,21430,564,,,,,,,,,,,,
430,16.8,NaN,21798,21953,647,,,,,,,,,,,,
440,17.0,NaN,22317,22476,721,,,,,,,,,,,,
450,14.9,NaN,22836,23000,787,,,,,,,,,,,,
470,17.5,NaN,23875,24047,905,,,,,,,,,,,,
480,15.0,NaN,24395,24571,959,,,,,,,,,,,,
490,17.3,NaN,24915,25095,1010,,,,,,,,,,,,
500,14.2,NaN,25434,25620,1058,,,,,,,,,,,,
510,11.4,NaN,25954,26144,1105,,,,,,,,,,,,
520,11.1,NaN,26474,26668,1149,,,,,,,,,,,,
530,15.2,NaN,26994,27193,1192,,,,,,,,,,,,
540,14.7,NaN,27514,27717,1233,,,,,,,,,,,,
550,13.5,NaN,28034,28242,1273,,,,,,,,,,,,
560,14.9,NaN,28554,28766,1312,,,,,,,,,,,,
