Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
7.5,5.366,29.4,1868,-2426,-1778,1318,,200,planktics,6900,74.3,80,7341,7193,7474,7341,7193,7474
10.0,5.315,29.3,1941,-2299,-1660,1309,,300,planktics,9710,67.3,80,10491,10293,10608,10491,10293,10608
12.5,5.412,29.5,2014,-2173,-1541,1301,,401,planktics,14900,180,230,17096,16454,17794,17365,16929,17855
15.0,5.296,29.3,2087,-2046,-1423,1292,,427,planktics,15450,160,230,18029,17343,18607,18057,17626,18536
17.5,5.304,29.3,2160,-1920,-1304,1283,,,,,,,,,,,,
20.0,5.284,29.3,2233,-1793,-1186,1275,,,,,,,,,,,,
22.5,5.401,29.5,2306,-1667,-1068,1266,,,,,,,,,,,,
25.0,5.266,29.2,2379,-1540,-949,1257,,,,,,,,,,,,
30.0,5.458,29.6,2524,-1287,-712,1239,,,,,,,,,,,,
40.0,5.356,29.4,2816,-781,-239,1202,,,,,,,,,,,,
50.0,5.477,29.7,3108,-274,235,1164,,,,,,,,,,,,
65.0,5.258,29.2,3545,485,945,1105,,,,,,,,,,,,
80.0,5.402,29.5,3982,1245,1656,1042,,,,,,,,,,,,
90.0,5.413,29.5,4274,1751,2129,998,,,,,,,,,,,,
100.0,5.079,28.8,4566,2258,2603,952,,,,,,,,,,,,
110.0,5.264,29.2,4857,2764,3076,903,,,,,,,,,,,,
120.0,5.448,29.6,5149,3271,3550,852,,,,,,,,,,,,
130.0,4.996,28.6,5440,3778,4023,797,,,,,,,,,,,,
154.0,5.463,29.6,6140,4994,5160,648,,,,,,,,,,,,
162.0,5.426,29.5,6374,5400,5538,590,,,,,,,,,,,,
168.0,5.534,29.8,6549,5705,5822,542,,,,,,,,,,,,
174.0,5.530,29.8,6724,6009,6106,490,,,,,,,,,,,,
180.0,5.494,29.7,6899,6314,6390,431,,,,,,,,,,,,
183.0,5.456,29.6,6986,6466,6532,399,,,,,,,,,,,,
200.0,5.288,29.3,7482,7331,7335,70,,,,,,,,,,,,
221.0,5.452,29.6,8094,8003,8015,314,,,,,,,,,,,,
240.0,5.655,30.0,8648,8600,8613,375,,,,,,,,,,,,
258.0,5.493,29.7,9173,9162,9174,378,,,,,,,,,,,,
283.0,5.736,30.2,9902,9938,9945,293,,,,,,,,,,,,
302.0,5.605,29.9,10531,10593,10602,174,,,,,,,,,,,,
308.0,5.676,30.0,10643,10997,11026,309,,,,,,,,,,,,
321.0,5.376,29.4,10887,11862,11931,459,,,,,,,,,,,,
327.0,5.305,29.3,11000,12260,12346,501,,,,,,,,,,,,
333.0,5.353,29.4,11113,12657,12760,533,,,,,,,,,,,,
340.0,5.151,29.0,11825,13120,13242,558,,,,,,,,,,,,
346.0,5.027,28.7,12206,13516,13654,572,,,,,,,,,,,,
352.0,4.780,28.1,12587,13912,14066,579,,,,,,,,,,,,
358.0,5.146,29.0,12968,14308,14477,579,,,,,,,,,,,,
365.0,4.734,28.0,13413,14768,14956,569,,,,,,,,,,,,
371.0,4.880,28.4,13794,15163,15365,554,,,,,,,,,,,,
377.0,4.740,28.0,14175,15556,15773,530,,,,,,,,,,,,
383.0,4.590,27.7,14556,15950,16181,498,,,,,,,,,,,,
389.0,4.447,27.3,14936,16342,16586,454,,,,,,,,,,,,
395.0,4.560,27.6,15317,16732,16990,396,,,,,,,,,,,,
401.0,4.249,26.8,15698,17114,17378,314,,,,,,,,,,,,
405.0,4.248,26.8,15952,17252,17495,311,,,,,,,,,,,,
407.0,4.120,26.5,16079,17319,17551,309,,,,,,,,,,,,
415.0,4.093,26.4,16587,17583,17770,304,,,,,,,,,,,,
421.0,3.830,25.7,16968,17779,17931,302,,,,,,,,,,,,
427.0,3.820,25.6,17349,17969,18084,304,,,,,,,,,,,,
433.0,4.130,26.5,17730,18301,18259,386,,,,,,,,,,,,
437.0,4.130,26.5,17984,18502,18369,429,,,,,,,,,,,,
443.0,3.830,25.7,18365,18805,18532,487,,,,,,,,,,,,
449.0,4.004,26.2,18746,19107,18693,539,,,,,,,,,,,,
455.0,4.005,26.2,19127,19409,18854,586,,,,,,,,,,,,
463.0,4.020,26.2,19635,19813,19067,644,,,,,,,,,,,,
468.0,4.500,27.5,19952,20065,19200,677,,,,,,,,,,,,
474.0,4.390,27.2,20333,20367,19358,716,,,,,,,,,,,,
480.0,4.160,26.6,20714,20670,19516,752,,,,,,,,,,,,
487.0,4.170,26.6,21159,21023,19698,792,,,,,,,,,,,,
493.0,4.220,26.8,21540,21326,19853,825,,,,,,,,,,,,
499.0,4.060,26.3,21921,21629,20003,857,,,,,,,,,,,,
