Proxy depth,TEX86,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,IntCal04 age,,,IntCal09 age,,,Notes:
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
5.5,0.725,28.0,1313,1212,1249,201,,8.5,Bulk Sediment,2061,39,493,1397,1316,1517,1463,1375,1539,
7.5,0.713,27.3,1405,1347,1385,129,,35.5,Bulk Sediment,2950,35,460,2482,2353,2702,2578,2366,2728,
20.5,0.717,27.5,1997,1932,1945,228,,72.5,Bulk Sediment,4380,40,407,4348,4163,4514,4447,4295,4528,
27.5,0.698,26.3,2316,2220,2225,214,,102.5,Bulk Sediment,4900,40,388,5113,4884,5290,5163,5041,5310,
32.5,0.703,26.6,2545,2421,2425,160,,146,Bulk Sediment,6467,44,330,6946,6795,7156,7040,6910,7162,
38.5,0.694,26.1,2818,2693,2697,173,,174,Wood,7838,51,N/A,8557,8420,8698,8626,8458,8965,Calibrated with SHCal04
44.5,0.698,26.4,3092,2994,3002,253,,210,Bulk Sediment,9113,60,232,9892,9664,10173,10005,9744,10190,
50.5,0.717,27.4,3366,3290,3306,286,,232,Bulk Sediment,9547,59,216,10453,10255,10648,10540,10299,10702,
55.5,0.724,27.9,3593,3534,3559,291,,252,Bulk Sediment,10268,62,189,11528,11264,11813,11643,11343,11970,
63.5,0.723,27.8,3956,3921,3963,254,,282,Bulk Sediment,10617,58,176,12236,12064,12400,12335,12110,12551,
69.5,0.735,28.5,4225,4205,4264,175,,292,Bulk Sediment,11170,61,156,12944,12862,13070,12890,12697,13091,
74.5,0.729,28.2,4449,4395,4465,121,,312,Bulk Sediment,12174,84,119,13912,13748,14093,13909,13733,14127,
77.5,0.735,28.5,4582,4474,4542,155,,332,Wood,13250,69,N/A,15703,15336,16106,16219,15503,16729,Calibrated with SHCal04
83.5,0.724,27.9,4848,4628,4695,188,,362,Bulk Sediment,14650,70,27,17676,17195,17996,17792,17445,18051,
86.5,0.745,29.1,4980,4704,4772,194,,382,Bulk Sediment,15890,84,0,19075,18919,19296,19106,18839,19382,
92.5,0.737,28.6,5244,4853,4924,189,,397,Bulk Sediment,17400,80,0,20539,20279,20905,20741,20348,21186,
98.5,0.743,29.0,5507,4999,5075,155,,407,Bulk Sediment,23600,150,0,,,,28338,27938,28711,
103.5,0.744,29.1,5726,5139,5218,135,,413,Bulk Sediment,24600,170,0,,,,29438,28859,30121,
110.5,0.724,27.9,6031,5455,5521,242,,423,Bulk Sediment,24800,100,0,,,,29622,29396,30138,
114.5,0.715,27.4,6205,5632,5692,273,,438,Bulk Sediment,26400,210,0,,,,31028,30645,31278,
116.5,0.724,27.9,6291,5720,5778,283,,450,Bulk Sediment,27000,290,0,,,,31316,30992,31701,
119.5,0.713,27.2,6418,5851,5907,294,,462,Bulk Sediment,27500,230,0,,,,31620,31229,32292,
124.5,0.750,29.4,6628,6068,6121,300,,473,Bulk Sediment,28300,290,0,,,,32564,31653,33336,
127.5,0.765,30.3,6752,6198,6249,297,,504,Bulk Sediment,30780,390,0,,,,35368,34701,36308,
130.0,0.709,27.0,6853,6306,6356,290,,593.5,Bulk Sediment,40090,418,0,,,,44050,43257,44737,
132.0,0.715,27.4,6933,6392,6442,282,,,,,,,,,,,,,
135.0,0.705,26.8,7052,6520,6570,264,,,,,,,,,,,,,
142.0,0.720,27.7,7323,6816,6867,189,,,,,,,,,,,,,
147.0,0.715,27.4,7514,7039,7097,134,,,,,,,,,,,,,
153.0,0.715,27.3,7743,7391,7460,244,,,,,,,,,,,,,
155.0,0.722,27.8,7818,7505,7581,260,,,,,,,,,,,,,
159.0,0.703,26.7,7969,7733,7821,275,,,,,,,,,,,,,
162.0,0.698,26.4,8082,7903,8001,272,,,,,,,,,,,,,
165.0,0.707,26.9,8194,8071,8180,257,,,,,,,,,,,,,
169.0,0.721,27.7,8343,8293,8419,214,,,,,,,,,,,,,
176.0,0.713,27.2,8600,8642,8785,130,,,,,,,,,,,,,
181.0,0.722,27.8,8782,8838,8960,204,,,,,,,,,,,,,
183.0,0.726,28.0,8854,8915,9029,222,,,,,,,,,,,,,
194.0,0.725,27.9,9247,9332,9411,255,,,,,,,,,,,,,
201.0,0.730,28.2,9493,9593,9653,231,,,,,,,,,,,,,
206.0,0.726,28.0,9668,9776,9826,187,,,,,,,,,,,,,
211.0,0.729,28.2,9842,9943,9988,130,,,,,,,,,,,,,
215.0,0.729,28.2,9981,10048,10088,160,,,,,,,,,,,,,
222.0,0.732,28.3,10224,10222,10261,173,,,,,,,,,,,,,
227.0,0.726,28.0,10398,10342,10384,155,,,,,,,,,,,,,
233.0,0.722,27.8,10609,10516,10565,136,,,,,,,,,,,,,
235.0,0.732,28.4,10680,10630,10681,182,,,,,,,,,,,,,
237.0,0.795,32.1,10751,10742,10797,210,,,,,,,,,,,,,
243.0,0.718,27.5,10967,11072,11142,238,,,,,,,,,,,,,
248.0,0.736,28.6,11150,11341,11427,210,,,,,,,,,,,,,
250.0,0.740,28.9,11225,11447,11541,182,,,,,,,,,,,,,
253.0,0.710,27.1,11337,11573,11676,146,,,,,,,,,,,,,
256.0,0.700,26.5,11451,11647,11745,168,,,,,,,,,,,,,
258.0,0.713,27.2,11527,11695,11790,179,,,,,,,,,,,,,
260.0,0.764,30.2,11605,11742,11836,186,,,,,,,,,,,,,
265.0,0.699,26.4,11802,11859,11950,195,,,,,,,,,,,,,
268.0,0.693,26.1,11924,11928,12017,193,,,,,,,,,,,,,
275.0,0.693,26.0,12218,12086,12175,167,,,,,,,,,,,,,
278.0,0.694,26.1,12348,12152,12243,143,,,,,,,,,,,,,
283.0,0.689,25.8,12574,12316,12390,135,,,,,,,,,,,,,
286.0,0.670,24.7,12714,12542,12560,189,,,,,,,,,,,,,
290.0,0.673,24.9,12906,12833,12785,154,,,,,,,,,,,,,
295.0,0.679,25.3,13157,13124,13053,154,,,,,,,,,,,,,
300.0,0.677,25.1,13418,13367,13312,209,,,,,,,,,,,,,
303.0,0.677,25.1,13581,13510,13467,214,,,,,,,,,,,,,
308.0,0.699,26.4,13861,13744,13725,182,,,,,,,,,,,,,
310.0,0.693,26.1,13977,13835,13827,150,,,,,,,,,,,,,
313.0,0.684,25.5,14153,14021,14040,151,,,,,,,,,,,,,
317.0,0.677,25.1,14394,14393,14482,262,,,,,,,,,,,,,
320.0,0.679,25.3,14580,14667,14811,296,,,,,,,,,,,,,
322.0,0.669,24.7,14706,14848,15031,306,,,,,,,,,,,,,
325.0,0.679,25.2,14898,15118,15359,303,,,,,,,,,,,,,
