Proxy depth,TEX86,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,IntCal04 age,,,IntCal09 age,,,Notes:
327.0,0.695,26.2,15028,15296,15578,289,,,,,,,,,,,,,
329.0,0.692,26.0,15159,15472,15796,264,,,,,,,,,,,,,
331.0,0.684,25.5,15292,15646,16013,222,,,,,,,,,,,,,
334.0,0.678,25.2,15494,15862,16231,232,,,,,,,,,,,,,
339.0,0.683,25.5,15837,16184,16503,293,,,,,,,,,,,,,
343.0,0.687,25.7,16117,16437,16719,317,,,,,,,,,,,,,
346.0,0.676,25.1,16331,16625,16881,323,,,,,,,,,,,,,
350.0,0.720,27.7,16619,16874,17096,320,,,,,,,,,,,,,
352.0,0.662,24.2,16765,16998,17204,312,,,,,,,,,,,,,
355.0,0.659,24.0,16986,17183,17365,293,,,,,,,,,,,,,
357.0,0.675,25.0,17135,17305,17472,274,,,,,,,,,,,,,
362.0,0.676,25.1,17510,17598,17737,201,,,,,,,,,,,,,
367.0,0.665,24.4,17891,17997,18087,270,,,,,,,,,,,,,
370.0,0.668,24.6,18122,18227,18295,283,,,,,,,,,,,,,
373.0,0.667,24.5,18354,18454,18502,278,,,,,,,,,,,,,
380.0,0.661,24.2,18901,18973,18984,177,,,,,,,,,,,,,
385.0,0.663,24.3,19295,19424,19455,221,,,,,,,,,,,,,
390.0,0.658,24.0,19691,19921,20008,274,,,,,,,,,,,,,
394.0,0.663,24.3,20009,20311,20448,242,,,,,,,,,,,,,
399.0,0.651,23.6,20406,22179,22296,490,,,,,,,,,,,,,
