Proxy depth,TEX86,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
5,0.662,26.4,142,12,25,232,,10,G. ruber and O. universa,245,30,0,,142,425,,142,425
10,0.662,26.4,284,285,286,72,,64.5,G. ruber and G. sacculifer,1725,25,0,1279,1223,1337,1279,1223,1337
15,0.652,25.8,375,373,378,140,,102,G. ruber,2965,55,0,2743,2605,2876,2743,2605,2876
20,0.660,26.3,466,464,470,175,,132,G. ruber,3500,35,0,3385,3292,3477,3385,3292,3477
25,0.664,26.5,558,554,561,196,,210,G. ruber,5600,40,0,5990,5894,6120,5990,5894,6120
30,0.661,26.4,649,645,653,209,,242.5,G. ruber and G. sacculifer,7845,40,0,8317,8201,8390,8317,8201,8390
34,0.647,25.6,722,718,726,214,,257,G. ruber,9070,60,0,9791,9558,10035,9791,9558,10035
40,0.669,26.8,832,828,835,213,,279,mixed planktics,10470,70,0,11586,11301,11912,11586,11301,11912
45,0.646,25.5,923,919,927,204,,310,mixed planktics,12580,80,0,14034,13813,14235,14030,13787,14501
50,0.657,26.1,1015,1011,1018,188,,356,G. ruber,14130,100,0,16346,15937,16800,16851,16618,17086
55,0.665,26.6,1106,1102,1109,162,,391,G. ruber,15830,120,0,18766,18593,18927,18665,18229,18905
60,0.671,26.9,1198,1195,1200,120,,452,G. ruber,18810,150,0,21914,21334,22297,21940,21511,22337
65,0.659,26.3,1299,1298,1301,66,,497,G. ruber,20660,180,0,24250,23782,24762,24169,23680,24746
70,0.662,26.4,1494,1490,1496,182,,540.5,G. ruber,21840,220,0,,,,25628,24994,26221
75,0.672,27.0,1689,1683,1691,229,,581.5,mixed planktics,22230,190,0,,,,26189,25567,26849
80,0.679,27.4,1884,1877,1886,251,,,,,,,,,,,,
85,0.672,27.0,2078,2072,2081,255,,,,,,,,,,,,
90,0.663,26.5,2273,2267,2275,240,,,,,,,,,,,,
95,0.666,26.7,2468,2463,2469,205,,,,,,,,,,,,
100,0.667,26.7,2663,2659,2663,131,,,,,,,,,,,,
105,0.672,27.0,2805,2802,2805,118,,,,,,,,,,,,
110,0.664,26.5,2912,2909,2913,157,,,,,,,,,,,,
115,0.667,26.7,3020,3016,3021,172,,,,,,,,,,,,
120,0.661,26.4,3127,3123,3129,169,,,,,,,,,,,,
123,0.644,25.4,3191,3188,3194,159,,,,,,,,,,,,
130,0.674,27.1,3342,3340,3344,95,,,,,,,,,,,,
135,0.656,26.1,3500,3483,3488,138,,,,,,,,,,,,
139,0.666,26.6,3653,3616,3624,198,,,,,,,,,,,,
145,0.653,25.9,3883,3817,3826,255,,,,,,,,,,,,
150,0.643,25.3,4075,3984,3995,288,,,,,,,,,,,,
155,0.643,25.3,4266,4152,4163,311,,,,,,,,,,,,
160,0.641,25.2,4458,4320,4331,327,,,,,,,,,,,,
165,0.639,25.1,4650,4488,4500,336,,,,,,,,,,,,
169,0.637,25.0,4803,4623,4634,340,,,,,,,,,,,,
175,0.649,25.7,5033,4825,4836,339,,,,,,,,,,,,
180,0.629,24.6,5225,4993,5004,331,,,,,,,,,,,,
185,0.636,25.0,5417,5162,5172,318,,,,,,,,,,,,
190,0.647,25.6,5609,5330,5340,299,,,,,,,,,,,,
