Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
636,3.969,25.6,14567,14484,14589,290,,,,,,,,,,,,,
638,3.892,25.4,14689,14602,14716,283,,,,,,,,,,,,,
644,4.271,26.3,15048,14944,15123,279,,,,,,,,,,,,,
646,4.171,26.1,15166,15057,15261,277,,,,,,,,,,,,,
650,4.307,26.4,15401,15282,15535,267,,,,,,,,,,,,,
651,4.093,25.9,15460,15338,15604,264,,,,,,,,,,,,,
652,4.175,26.1,15519,15395,15672,259,,,,,,,,,,,,,
654,3.953,25.5,15637,15508,15807,250,,,,,,,,,,,,,
656,4.201,26.2,15755,15622,15939,238,,,,,,,,,,,,,
660,3.839,25.2,16014,15927,16344,240,,,,,,,,,,,,,
662,4.193,26.1,16143,16082,16544,230,,,,,,,,,,,,,
664,3.839,25.2,16272,16237,16739,214,,,,,,,,,,,,,
666,4.096,25.9,16343,16325,16821,217,,,,,,,,,,,,,
668,3.982,25.6,16415,16414,16900,219,,,,,,,,,,,,,
670,4.090,25.9,16486,16502,16979,221,,,,,,,,,,,,,
672,4.046,25.8,16558,16590,17058,222,,,,,,,,,,,,,
674,3.956,25.5,16629,16678,17134,221,,,,,,,,,,,,,
676,3.901,25.4,16905,17038,17379,279,,,,,,,,,,,,,
678,3.708,24.8,17181,17400,17619,308,,,,,,,,,,,,,
680,3.983,25.6,17457,17765,17853,312,,,,,,,,,,,,,
682,3.788,25.1,17590,17905,17966,296,,,,,,,,,,,,,
684,3.654,24.7,17724,18047,18077,273,,,,,,,,,,,,,
686,3.902,25.4,17857,18190,18187,246,,,,,,,,,,,,,
688,3.566,24.4,17991,18332,18296,214,,,,,,,,,,,,,
690,3.523,24.3,18124,18477,18402,173,,,,,,,,,,,,,
694,3.500,24.2,18337,18684,18671,171,,,,,,,,,,,,,
698,3.397,23.9,18550,18893,18925,110,,,,,,,,,,,,,
700,3.455,24.1,18755,19091,19127,218,,,,,,,,,,,,,
702,3.568,24.4,18961,19291,19326,281,,,,,,,,,,,,,
704,3.367,23.8,19166,19490,19524,327,,,,,,,,,,,,,
706,3.439,24.1,19372,19690,19721,364,,,,,,,,,,,,,
708,3.546,24.4,19577,19890,19919,392,,,,,,,,,,,,,
710,3.700,24.8,19783,20090,20116,415,,,,,,,,,,,,,
712,3.461,24.1,19988,20290,20313,433,,,,,,,,,,,,,
714,3.248,23.5,20193,20490,20510,447,,,,,,,,,,,,,
716,3.464,24.1,20399,20690,20706,457,,,,,,,,,,,,,
718,3.579,24.5,20604,20891,20903,464,,,,,,,,,,,,,
720,3.518,24.3,20810,21091,21099,467,,,,,,,,,,,,,
722,3.280,23.6,21015,21291,21296,466,,,,,,,,,,,,,
724,3.520,24.3,21221,21491,21492,463,,,,,,,,,,,,,
726,3.414,24.0,21426,21692,21688,455,,,,,,,,,,,,,
728,3.610,24.6,21631,21892,21884,444,,,,,,,,,,,,,
730,3.422,24.0,21837,22093,22080,430,,,,,,,,,,,,,
734,3.518,24.3,22248,22494,22471,386,,,,,,,,,,,,,
736,3.276,23.5,22453,22695,22666,356,,,,,,,,,,,,,
738,3.491,24.2,22659,22895,22860,318,,,,,,,,,,,,,
740,3.596,24.5,22864,23098,23051,268,,,,,,,,,,,,,
742,3.613,24.6,23038,23283,23247,312,,,,,,,,,,,,,
746,3.844,25.2,23387,23658,23630,373,,,,,,,,,,,,,
750,3.657,24.7,23736,24033,24012,412,,,,,,,,,,,,,
754,3.785,25.1,24084,24409,24392,437,,,,,,,,,,,,,
758,3.725,24.9,24433,24785,24771,449,,,,,,,,,,,,,
762,3.746,25.0,24781,25161,25150,450,,,,,,,,,,,,,
766,3.695,24.8,25130,25537,25528,441,,,,,,,,,,,,,
770,3.336,23.7,25478,25914,25904,420,,,,,,,,,,,,,
774,3.597,24.5,25827,26293,26274,392,,,,,,,,,,,,,
