Published temperature,Published age,Age model error
(°„C),(yr BP),"(yr, 1¶“)"
0.0,0,0
1.0,100,2
0.3,200,4
0.4,300,6
0.4,400,8
0.2,500,10
0.2,600,12
0.3,700,14
0.4,800,16
0.4,900,18
0.2,1000,20
0.1,1100,22
0.2,1200,24
0.3,1300,26
0.5,1400,28
0.6,1500,30
0.5,1600,32
0.4,1700,34
0.3,1800,36
0.2,1900,38
0.3,2000,40
0.5,2100,42
0.7,2200,44
0.7,2300,46
0.6,2400,48
0.4,2500,50
0.3,2600,52
0.3,2700,54
0.4,2800,56
0.3,2900,58
0.2,3000,60
0.3,3100,62
0.1,3200,64
0.2,3300,66
0.2,3400,68
0.2,3500,70
0.2,3600,72
0.3,3700,74
0.4,3800,76
0.4,3900,78
0.5,4000,80
0.7,4100,82
0.9,4200,84
0.8,4300,86
0.6,4400,88
0.6,4500,90
0.6,4600,92
0.4,4700,94
0.1,4800,96
0.2,4900,98
0.4,5000,100
0.6,5100,102
0.6,5200,104
0.7,5300,106
0.8,5400,108
0.7,5500,110
0.6,5600,112
0.6,5700,114
0.5,5800,116
0.3,5900,118
0.3,6000,120
0.4,6100,122
0.5,6200,124
0.7,6300,126
0.6,6400,128
0.6,6500,130
0.8,6600,132
0.9,6700,134
1.1,6800,136
1.1,6900,138
1.0,7000,140
0.9,7100,142
1.0,7200,144
1.1,7300,146
1.0,7400,148
0.6,7500,150
0.7,7600,152
0.7,7700,154
0.7,7800,156
0.5,7900,158
0.3,8000,160
0.1,8100,162
0.1,8200,164
0.3,8300,166
0.5,8400,168
0.6,8500,170
0.1,8600,172
0.4,8700,174
0.2,8800,176
-0.1,8900,178
-0.1,9000,180
-0.1,9100,182
-0.3,9200,184
-0.4,9300,186
-0.3,9400,188
-0.3,9500,190
-0.4,9600,192
-0.6,9700,194
-1.0,9800,196
-1.1,9900,198
-1.0,10000,200
-0.9,10100,202
-1.2,10200,204
-1.1,10300,206
-1.2,10400,208
-1.3,10500,210
-1.6,10600,212
-2.0,10700,214
-2.2,10800,216
-2.3,10900,218
-2.5,11000,220
-2.8,11100,222
-2.9,11200,224
-2.9,11300,226
-2.6,11400,228
-2.6,11500,230
-2.4,11600,232
-2.6,11700,234
-2.6,11800,236
-2.8,11900,238
-2.7,12000,240
-2.8,12100,242
-2.9,12200,244
-3.0,12300,246
-3.0,12400,248
-3.0,12500,250
-3.2,12600,252
-3.0,12700,254
-3.1,12800,256
-3.0,12900,258
-2.6,13000,260
-2.4,13100,262
-2.3,13200,264
-2.5,13300,266
-2.6,13400,268
-2.4,13500,270
-2.2,13600,272
-2.2,13700,274
-2.4,13800,276
-2.7,13900,278
-3.1,14000,280
-3.7,14100,282
-4.0,14200,284
-4.2,14300,286
-3.7,14400,288
-3.1,14500,290
-3.5,14600,292
-3.8,14700,294
-3.0,14800,296
-3.5,14900,298
-4.1,15000,300
-4.4,15100,302
-4.7,15200,304
-4.4,15300,306
-3.8,15400,308
-3.4,15500,310
-3.4,15600,312
-3.4,15700,314
-3.4,15800,316
-3.4,15900,318
-3.3,16000,320
-3.3,16100,322
-3.3,16200,324
-3.3,16300,326
-3.3,16400,328
-3.3,16500,330
-3.4,16600,332
-3.8,16700,334
-4.1,16800,336
-4.0,16900,338
-4.3,17000,340
-4.3,17100,342
-4.3,17200,344
-4.2,17300,346
-4.1,17400,348
-3.6,17500,350
-3.3,17600,352
-3.3,17700,354
-5.4,17800,356
-3.8,17900,358
-3.9,18000,360
-5.2,18100,362
-5.2,18200,364
-2.1,18300,366
-4.2,18400,368
-4.6,18500,370
-4.5,18600,372
-4.4,18700,374
-4.4,18800,376
-4.3,18900,378
-4.2,19000,380
-4.1,19100,382
-4.2,19200,384
-4.3,19300,386
-4.3,19400,388
-4.4,19500,390
-4.5,19600,392
-4.6,19700,394
-4.6,19800,396
-4.7,19900,398
-4.5,20000,400
-3.4,20100,402
-2.7,20200,404
-11.3,20300,406
-6.6,20400,408
-5.9,20500,410
-4.7,20600,412
-4.9,20700,414
-5.2,20800,416
-3.7,20900,418
-4.1,21000,420
-4.4,21100,422
-4.6,21200,424
-4.8,21300,426
-5.1,21400,428
-5.3,21500,430
-5.5,21600,432
-5.8,21700,434
-5.9,21800,436
-5.9,21900,438
-6.0,22000,440
-6.0,22100,442
-6.0,22200,444
-6.0,22300,446
-6.0,22400,448
-6.0,22500,450
-5.8,22600,452
-5.2,22700,454
-4.7,22800,456
-4.1,22900,458
-3.5,23000,460
-3.0,23100,462
-2.4,23200,464
-1.8,23300,466
-1.9,23400,468
-2.3,23500,470
-2.7,23600,472
-3.0,23700,474
-3.4,23800,476
-3.8,23900,478
-5.9,24000,480
-5.7,24100,482
-5.6,24200,484
-5.4,24300,486
-5.3,24400,488
-5.1,24500,490
-4.9,24600,492
-4.8,24700,494
-4.8,24800,496
-4.8,24900,498
-4.8,25000,500
