Published temperature,Published age,Age model error
(°„C),(yr BP),"(yr, 1¶“)"
-0.1,1296,29
0.3,1409,30
0.3,1502,32
-0.4,1606,33
0.4,1707,35
0.4,1807,36
0.2,1897,38
0.4,1996,39
-0.2,2097,41
0.4,2195,43
0.1,2296,44
0.1,2381,46
0.0,2475,47
-0.4,2578,48
-0.2,2681,49
0.4,2786,50
0.6,2890,51
0.1,2992,51
-0.2,3101,51
-0.1,3207,51
0.3,3308,50
0.6,3407,50
-0.2,3509,50
0.1,3612,50
0.2,3721,50
-0.3,3822,50
0.3,3924,51
0.2,4017,51
0.8,4121,51
0.7,4222,51
0.9,4324,51
0.0,4426,51
0.1,4530,51
0.4,4626,51
0.3,4727,51
0.8,4828,51
1.0,4925,51
0.2,5022,52
-0.1,5119,53
0.1,5220,54
0.6,5312,55
0.2,5414,56
0.6,5502,56
0.4,5598,57
0.4,5697,57
0.8,5792,57
0.0,5896,57
0.4,5989,57
0.6,6083,57
0.3,6179,57
0.3,6274,57
-0.1,6369,57
0.1,6463,58
0.3,6555,59
-0.3,6642,60
0.4,6736,62
0.3,6833,64
0.2,6930,65
-0.1,7021,67
0.2,7108,68
0.4,7196,70
-0.2,7286,72
0.1,7375,74
0.2,7474,76
-0.2,7576,78
-0.5,7680,80
-0.5,7783,82
-0.5,7894,84
-0.1,8005,86
-0.5,8116,89
-0.5,8230,91
-0.5,8349,93
-0.2,8465,96
-0.9,8584,98
-0.5,8703,99
-0.4,8810,101
-0.3,8921,102
-0.8,9033,103
-0.1,9146,103
-0.2,9253,103
0.1,9361,104
0.1,9467,103
0.3,9575,103
0.1,9674,102
-1.0,9776,102
-0.7,9889,100
-0.5,9986,99
-0.9,10086,97
-0.2,10196,95
-0.3,10299,93
0.4,10397,91
0.3,10495,88
0.1,10597,85
-0.1,10699,82
-0.2,10795,78
-0.4,10890,75
0.0,10985,71
-0.5,11082,67
-0.4,11182,63
-0.1,11275,59
-0.5,11371,56
-2.4,11477,53
-1.7,11588,51
-3.1,11695,51
-1.5,11809,51
-0.7,11925,52
-1.1,12032,53
-1.3,12140,53
-2.0,12248,53
-1.9,12352,53
-2.7,12465,53
-3.0,12576,53
-2.9,12695,54
-3.0,12802,55
-3.4,12904,56
-3.2,12997,58
-3.6,13091,60
-3.2,13194,61
-3.1,13298,63
-2.8,13400,64
-2.9,13506,64
-3.4,13612,64
-2.8,13715,64
-3.2,13824,63
-3.2,13924,62
-3.9,14030,60
-3.2,14137,59
-3.6,14244,57
-3.0,14346,56
-2.5,14450,56
-3.4,14562,57
-3.7,14677,59
-3.3,14782,62
-3.0,14888,65
-3.2,14984,68
-3.0,15095,71
-3.1,15199,74
-4.0,15309,77
-3.6,15417,79
-2.7,15524,80
-3.5,15624,82
-3.2,15728,82
-3.5,15840,82
-3.1,15948,82
-3.0,16059,82
-4.0,16163,81
-5.3,16278,81
-5.2,16384,82
-4.9,16497,83
-4.8,16608,85
-5.0,16711,89
-5.5,16821,93
-5.6,16927,98
-5.9,17033,103
-6.9,17147,109
-5.5,17256,114
-6.2,17354,120
-6.1,17457,125
-6.7,17565,131
-6.9,17670,136
-7.3,17772,142
-8.2,17879,147
-7.5,17984,152
-8.2,18093,157
-6.8,18200,162
-7.6,18306,166
-7.5,18412,170
-7.8,18520,173
-7.3,18622,176
-8.0,18717,179
-8.0,18815,182
-7.6,18915,184
-7.7,19026,186
-7.0,19133,187
-7.4,19235,188
-7.4,19339,188
-7.3,19440,188
-7.6,19537,187
-7.5,19634,186
-7.4,19734,184
-6.6,19836,183
-7.2,19930,180
-7.6,20028,178
-7.3,20125,175
-7.4,20215,172
-7.8,20319,169
-7.7,20409,166
-7.9,20503,163
-7.5,20592,160
-7.5,20685,156
-7.4,20784,153
-6.8,20872,149
-7.5,20969,145
-7.1,21068,140
-7.0,21150,136
-8.1,21231,132
-7.7,21321,128
-7.1,21408,124
-7.4,21492,120
-7.2,21581,115
-7.1,21664,111
-7.5,21759,106
-7.2,21858,101
-7.9,21947,97
-7.1,22046,93
-7.0,22147,89
-7.5,22255,86
-7.3,22360,84
-7.2,22456,83
-8.4,22549,82
-8.1,22644,82
-7.5,22743,83
-7.6,22841,84
-7.3,22936,85
-7.3,23035,87
-7.4,23128,89
-7.9,23223,92
-7.4,23323,94
-7.2,23425,98
-6.7,23527,102
-7.0,23625,106
-7.0,23727,110
-6.4,23835,114
-6.3,23939,118
-6.8,24046,121
-7.3,24145,125
-7.4,24243,127
-7.8,24349,130
-8.1,24458,133
-8.1,24575,135
-7.7,24694,136
-7.5,24801,137
-7.8,24916,138
-7.9,25028,138
-7.9,25134,138
-7.6,25247,138
-8.0,25358,137
-7.5,25478,136
-7.4,25585,134
-7.3,25698,132
-7.3,25806,129
-7.8,25918,127
-7.9,26025,123
-8.3,26136,120
-8.6,26242,116
-8.1,26345,112
-8.3,26444,108
-8.0,26553,104
-7.8,26660,100
-7.6,26767,95
-8.4,26869,91
-7.7,26980,86
-7.8,27087,81
-8.0,27190,77
-8.0,27287,74
-7.3,27393,71
-7.6,27496,69
-7.4,27595,68
-7.5,27697,67
-7.3,27799,66
-6.3,27912,66
-6.5,28025,66
-6.1,28132,65
-5.8,28226,65
-6.0,28330,65
-6.3,28438,66
-6.5,28542,66
-6.6,28640,68
-6.8,28736,69
-7.0,28835,71
-7.1,28935,74
-6.2,29035,77
-6.2,29131,80
-5.8,29224,83
-5.8,29310,86
-6.3,29402,88
-6.5,29500,91
-5.6,29596,93
-5.6,29689,95
-6.1,29789,97
-5.4,29892,98
-5.5,29998,99
