Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
333.0,4.471,27.4,12420,12345,12305,130,,,,,,,,,,,,
338.0,4.744,28.1,12450,12357,12314,134,,,,,,,,,,,,
343.0,4.552,27.6,12480,12369,12324,136,,,,,,,,,,,,
348.0,4.826,28.2,12520,12381,12333,139,,,,,,,,,,,,
353.0,4.900,28.4,12550,12392,12342,141,,,,,,,,,,,,
358.0,4.809,28.2,12580,12404,12351,143,,,,,,,,,,,,
363.0,4.761,28.1,12620,12415,12360,144,,,,,,,,,,,,
368.0,4.626,27.8,12650,12427,12370,145,,,,,,,,,,,,
373.0,4.748,28.1,12680,12438,12379,146,,,,,,,,,,,,
378.0,4.487,27.4,12710,12449,12388,146,,,,,,,,,,,,
383.0,4.753,28.1,12750,12460,12397,146,,,,,,,,,,,,
388.0,4.568,27.6,12780,12472,12406,145,,,,,,,,,,,,
393.0,4.324,27.0,12810,12483,12415,145,,,,,,,,,,,,
398.0,4.387,27.2,12850,12494,12424,144,,,,,,,,,,,,
403.0,4.471,27.4,12880,12505,12433,142,,,,,,,,,,,,
408.0,4.487,27.4,12910,12516,12442,140,,,,,,,,,,,,
413.0,4.190,26.7,12950,12527,12451,138,,,,,,,,,,,,
418.0,4.309,27.0,12980,12538,12460,136,,,,,,,,,,,,
423.0,4.282,26.9,13010,12549,12468,133,,,,,,,,,,,,
428.0,4.581,27.7,13040,12559,12477,129,,,,,,,,,,,,
433.0,4.336,27.1,13080,12570,12486,125,,,,,,,,,,,,
438.0,4.391,27.2,13110,12581,12495,120,,,,,,,,,,,,
443.0,4.312,27.0,13140,12591,12503,115,,,,,,,,,,,,
448.0,4.293,26.9,13180,12601,12512,109,,,,,,,,,,,,
453.0,4.359,27.1,13210,12633,12545,119,,,,,,,,,,,,
458.0,4.112,26.5,13240,12747,12670,171,,,,,,,,,,,,
463.0,4.363,27.1,13270,12858,12793,198,,,,,,,,,,,,
468.0,4.075,26.4,13310,12969,12915,210,,,,,,,,,,,,
473.0,4.301,27.0,13340,13078,13037,210,,,,,,,,,,,,
478.0,4.126,26.5,13370,13187,13158,199,,,,,,,,,,,,
483.0,4.126,26.5,13410,13295,13279,174,,,,,,,,,,,,
488.0,3.988,26.1,13440,13402,13398,129,,,,,,,,,,,,
493.0,4.266,26.9,13490,13494,13496,102,,,,,,,,,,,,
