Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
0.5,4.987,28.6,732,NaN,NaN,NaN,,0.5,G. ruber,1515,30,-100,1184,1088,1259,1184,1088,1259
4.5,4.502,27.5,933,1358,1362,158,,14.5,G. ruber,2130,40,-100,1833,1715,1935,1833,1715,1935
8.5,4.665,27.9,1135,1544,1549,173,,34.5,G. ruber,2780,40,-100,2658,2501,2739,2658,2501,2739
10.5,4.992,28.6,1235,1637,1642,159,,52.5,G. ruber,3465,35,-100,3453,3361,3553,3453,3361,3553
12.5,4.600,27.7,1336,1730,1735,127,,72.5,G. ruber,4295,30,-100,4544,4425,4675,4544,4425,4675
14.5,4.556,27.6,1436,1822,1826,80,,104.5,G. ruber,5405,35,-100,5891,5770,5976,5891,5770,5976
20.5,5.075,28.8,1738,2063,2066,178,,120.5,G. ruber,6190,35,-100,6746,6649,6850,6746,6649,6850
22.5,4.318,27.0,1839,2142,2145,189,,149.5,G. ruber,7485,45,-100,8045,7948,8152,8045,7948,8152
24.5,4.273,26.9,1939,2222,2224,193,,167.5,G. ruber,8575,40,-100,9355,9246,9452,9355,9246,9452
28.5,4.537,27.6,2141,2382,2382,179,,201.5,G. ruber,9660,45,-100,10612,10517,10740,10612,10517,10740
30.5,4.762,28.1,2241,2462,2460,159,,227.5,G. ruber,10370,50,-100,11578,11334,11870,11578,11334,11870
32.5,4.445,27.3,2342,2542,2539,125,,251.5,G. ruber,11415,50,-100,13018,12915,13116,13000,12773,13138
34.5,4.527,27.5,2442,2623,2619,85,,275.5,G. ruber,12705,55,-100,14412,14129,14809,14454,14103,14953
38.5,4.772,28.1,2644,2806,2806,169,,291.5,G. ruber,13020,55,-100,15015,14742,15243,15074,14684,15523
40.5,4.861,28.3,2744,2898,2901,189,,316.5,G. ruber,14260,70,-100,16629,16233,17012,17010,16786,17385
42.5,4.370,27.1,2845,2991,2994,198,,338.5,G. ruber,15410,70,-100,18492,18100,18689,18251,18026,18593
44.5,4.466,27.4,2945,3083,3088,198,,364.5,G. ruber,16340,80,-100,19211,19020,19414,19170,18916,19417
48.5,4.764,28.1,3147,3268,3275,166,,390.5,G. ruber,17440,90,-100,20258,20008,20489,20338,19998,20945
50.5,4.773,28.1,3247,3361,3367,128,,424.5,G. ruber,18990,100,-100,22259,22072,22442,22299,21995,22573
52.5,4.395,27.2,3348,3456,3462,80,,440.5,G. ruber,19960,110,-100,23514,22927,23880,23518,23036,23885
54.5,4.493,27.4,3448,3563,3570,139,,591.5,G. ruber,29920,330,-100,,,,34210,33365,34835
58.5,4.474,27.4,3650,3781,3790,208,,,,,,,,,,,,
60.5,4.769,28.1,3750,3891,3899,222,,,,,,,,,,,,
62.5,4.731,28.0,3851,4000,4008,226,,,,,,,,,,,,
64.5,4.771,28.1,3951,4110,4117,223,,,,,,,,,,,,
68.5,4.707,28.0,4153,4328,4335,186,,,,,,,,,,,,
70.5,4.433,27.3,4253,4438,4444,145,,,,,,,,,,,,
72.5,4.597,27.7,4354,4544,4548,90,,,,,,,,,,,,
74.5,4.748,28.1,4454,4630,4636,132,,,,,,,,,,,,
78.5,4.613,27.7,4656,4796,4803,199,,,,,,,,,,,,
80.5,4.779,28.1,4756,4878,4886,219,,,,,,,,,,,,
82.5,4.610,27.7,4857,4961,4969,233,,,,,,,,,,,,
84.5,4.566,27.6,4957,5044,5052,243,,,,,,,,,,,,
88.5,4.756,28.1,5159,5209,5217,250,,,,,,,,,,,,
90.5,4.447,27.3,5259,5292,5300,248,,,,,,,,,,,,
92.5,4.686,27.9,5360,5375,5383,243,,,,,,,,,,,,
94.5,4.592,27.7,5460,5458,5465,233,,,,,,,,,,,,
98.5,4.686,27.9,5662,5624,5630,198,,,,,,,,,,,,
100.5,4.936,28.5,5762,5707,5712,170,,,,,,,,,,,,
102.5,4.792,28.2,5863,5790,5794,129,,,,,,,,,,,,
104.5,4.579,27.7,5963,5876,5879,83,,,,,,,,,,,,
108.5,4.726,28.0,6165,6090,6096,178,,,,,,,,,,,,
110.5,4.797,28.2,6265,6199,6205,197,,,,,,,,,,,,
112.5,5.060,28.8,6366,6308,6314,203,,,,,,,,,,,,
114.5,4.539,27.6,6466,6418,6423,197,,,,,,,,,,,,
118.5,4.954,28.5,6668,6636,6640,138,,,,,,,,,,,,
120.5,4.838,28.3,6768,6743,6746,82,,,,,,,,,,,,
122.5,5.064,28.8,6869,6835,6840,132,,,,,,,,,,,,
124.5,5.010,28.7,6969,6925,6930,174,,,,,,,,,,,,
128.5,4.540,27.6,7171,7104,7111,223,,,,,,,,,,,,
130.5,5.051,28.7,7271,7194,7202,237,,,,,,,,,,,,
132.5,4.581,27.7,7372,7284,7292,245,,,,,,,,,,,,
134.5,4.992,28.6,7472,7373,7382,249,,,,,,,,,,,,
138.5,5.023,28.7,7674,7553,7561,242,,,,,,,,,,,,
140.5,4.876,28.4,7774,7643,7651,232,,,,,,,,,,,,
142.5,4.777,28.1,7875,7733,7741,215,,,,,,,,,,,,
144.5,4.747,28.1,7975,7822,7830,192,,,,,,,,,,,,
147.5,5.078,28.8,8126,7957,7964,134,,,,,,,,,,,,
149.5,4.996,28.6,8227,8054,8060,90,,,,,,,,,,,,
