Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
2.5,0.438,11.7,200,5385,5427,612,,27.5,C-org,6940,assumed 1%,0,7449,7312,7566,7449,7312,7566,
4.5,0.435,11.6,400,5548,5589,587,,77.5,C-org,10440,assumed 1%,0,11558,11223,11934,11558,11223,11934,
23.5,0.484,13.1,2100,7105,7127,252,,125.5,C-org,15300,assumed 1%,0,18182,17596,18653,18180,17726,18555,excluded
26,0.414,11,2300,7312,7329,163,,125,planktic forams,11560,assumed 1%,0,13060,12885,13243,13027,12735,13276,
47.5,0.421,11.2,4500,9122,9074,437,,155,planktic forams,15130,assumed 1%,0,17848,17181,18522,17926,17503,18516,
65.5,0.427,11.4,6400,10610,10541,395,,160,planktic forams,15040,assumed 1%,0,17676,16974,18469,17803,17230,18476,
67.5,0.427,11.4,6600,10775,10705,375,,190,planktic forams,17770,assumed 1%,0,20512,20083,21029,20724,20227,21282,
88.5,0.428,11.4,8900,11939,11870,257,,220,planktic forams,20200,assumed 1%,0,23677,22895,24238,23662,23023,24268,
89.5,0.477,12.9,9000,11971,11901,261,,251,planktic forams,20440,assumed 1%,0,23988,23424,24507,23940,23413,24434,
97.5,0.448,12,9900,12222,12154,279,,,,,,,,,,,,,
107.5,0.417,11.1,10900,12534,12471,266,,,,,,,,,,,,,
117.5,0.364,9.6,12000,12842,12789,207,,,,,,,,,,,,,
127.5,0.391,10.4,13100,13459,13417,268,,,,,,,,,,,,,
128.5,0.369,9.7,13200,13613,13573,308,,,,,,,,,,,,,
134.5,0.308,7.9,13900,14533,14511,447,,,,,,,,,,,,,
137.5,0.309,7.9,14200,14990,14981,479,,,,,,,,,,,,,
140.5,0.317,8.2,14600,15445,15451,494,,,,,,,,,,,,,
141.5,0.331,8.6,14700,15597,15608,495,,,,,,,,,,,,,
144.5,0.339,8.8,15000,16052,16078,488,,,,,,,,,,,,,
146.5,0.328,8.5,15200,16354,16392,474,,,,,,,,,,,,,
149.5,0.326,8.4,15500,16806,16862,438,,,,,,,,,,,,,
152.5,0.337,8.8,15800,17255,17334,377,,,,,,,,,,,,,
157,0.308,7.9,16300,17769,17772,295,,,,,,,,,,,,,
159.5,0.271,6.8,16600,17945,17824,298,,,,,,,,,,,,,
163.5,0.323,8.4,17000,18292,18156,349,,,,,,,,,,,,,
166.5,0.333,8.6,17400,18554,18433,376,,,,,,,,,,,,,
175,0.315,8.1,18100,19290,19219,396,,,,,,,,,,,,,
178.5,0.323,8.4,18500,19591,19543,383,,,,,,,,,,,,,
183.5,0.319,8.2,19000,20019,20006,341,,,,,,,,,,,,,
185.5,0.301,7.7,19200,20189,20191,315,,,,,,,,,,,,,
199.5,0.249,6.2,20500,21508,21530,387,,,,,,,,,,,,,
219.5,0.265,6.6,22200,23435,23477,298,,,,,,,,,,,,,
239.5,0.226,5.5,23700,23830,23696,264,,,,,,,,,,,,,
259.5,0.227,5.5,25100,24719,24500,436,,,,,,,,,,,,,
279.5,0.294,7.5,26500,26343,26134,696,,,,,,,,,,,,,
299.5,0.249,6.2,28000,27966,27764,882,,,,,,,,,,,,,
319.5,0.311,8,29400,29590,29392,1034,,,,,,,,,,,,,
