Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
178,3.320,24.1,19790,19771,20000,357,,,,,,,,,,,,
181,3.120,23.4,20060,20047,20263,305,,,,,,,,,,,,
186,3.290,24.0,20510,20518,20702,169,,,,,,,,,,,,
188,3.090,23.3,20604,20656,20822,213,,,,,,,,,,,,
191,3.370,24.2,20745,20875,21003,258,,,,,,,,,,,,
196,3.290,24.0,20981,21246,21305,286,,,,,,,,,,,,
198,3.220,23.8,21075,21396,21425,284,,,,,,,,,,,,
201,3.170,23.6,21216,21622,21606,268,,,,,,,,,,,,
203,3.230,23.8,21310,21774,21727,246,,,,,,,,,,,,
206,3.440,24.5,21796,22003,21908,191,,,,,,,,,,,,
208,3.470,24.6,22120,22165,22029,129,,,,,,,,,,,,
211,3.400,24.4,22297,22463,22325,259,,,,,,,,,,,,
213,3.470,24.6,22415,22661,22524,318,,,,,,,,,,,,
216,3.480,24.6,22592,22957,22823,391,,,,,,,,,,,,
218,3.600,25.0,22710,23155,23022,432,,,,,,,,,,,,
221,3.740,25.4,22887,23452,23320,488,,,,,,,,,,,,
223,3.480,24.6,23005,23649,23519,522,,,,,,,,,,,,
226,3.810,25.6,23182,23946,23817,569,,,,,,,,,,,,
231,3.730,25.4,23440,24441,24315,640,,,,,,,,,,,,
233,3.390,24.3,23533,24638,24514,666,,,,,,,,,,,,
236,3.570,24.9,23673,24935,24812,704,,,,,,,,,,,,
238,3.740,25.4,23767,25133,25011,728,,,,,,,,,,,,
241,3.760,25.5,23907,25430,25309,763,,,,,,,,,,,,
243,3.760,25.5,24000,25627,25508,785,,,,,,,,,,,,
246,3.460,24.6,24390,25924,25806,817,,,,,,,,,,,,
248,3.510,24.7,24650,26122,26005,838,,,,,,,,,,,,
251,3.370,24.3,25040,26419,26304,868,,,,,,,,,,,,
266,3.680,25.2,26990,27902,27795,1006,,,,,,,,,,,,
271,3.670,25.2,27640,28397,28293,1048,,,,,,,,,,,,
276,3.590,25.0,28290,28891,28790,1088,,,,,,,,,,,,
