Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
802,0.917,25.8,29300,28980,29062,753,,,,,,,,,,,,
812,0.910,25.6,29800,29337,29427,798,,,,,,,,,,,,
822,0.907,25.5,30300,29695,29792,841,,,,,,,,,,,,
831,0.921,25.9,30800,NaN,NaN,NaN,,,,,,,,,,,,
841,0.912,25.7,31300,NaN,NaN,NaN,,,,,,,,,,,,
851,0.909,25.6,31900,NaN,NaN,NaN,,,,,,,,,,,,
861,0.922,26.0,32400,NaN,NaN,NaN,,,,,,,,,,,,
871,0.899,25.3,32900,NaN,NaN,NaN,,,,,,,,,,,,
881,0.903,25.4,33500,NaN,NaN,NaN,,,,,,,,,,,,
891,0.929,26.2,34000,NaN,NaN,NaN,,,,,,,,,,,,
901,0.925,26.1,34600,NaN,NaN,NaN,,,,,,,,,,,,
911,0.932,26.3,35200,NaN,NaN,NaN,,,,,,,,,,,,
921,0.913,25.7,35800,NaN,NaN,NaN,,,,,,,,,,,,
931,0.908,25.6,36400,NaN,NaN,NaN,,,,,,,,,,,,
941,0.915,25.8,37000,NaN,NaN,NaN,,,,,,,,,,,,
951,0.920,25.9,37600,NaN,NaN,NaN,,,,,,,,,,,,
961,0.910,25.6,38300,NaN,NaN,NaN,,,,,,,,,,,,
971,0.914,25.7,39000,NaN,NaN,NaN,,,,,,,,,,,,
981,0.916,25.8,39700,NaN,NaN,NaN,,,,,,,,,,,,
991,0.931,26.2,40500,NaN,NaN,NaN,,,,,,,,,,,,
1001,0.924,26.0,41300,NaN,NaN,NaN,,,,,,,,,,,,
1011,0.941,26.5,42100,NaN,NaN,NaN,,,,,,,,,,,,
1021,0.945,26.6,43000,NaN,NaN,NaN,,,,,,,,,,,,
1031,0.947,26.7,43900,NaN,NaN,NaN,,,,,,,,,,,,
1041,0.937,26.4,44900,NaN,NaN,NaN,,,,,,,,,,,,
