Proxy depth,d18O,Temperature,Published age,Age model error
(m),(VSMOW),(°„C),(yr BP),"(yr, 1¶“)"
586.34,-35.54,-33.0,3230,2
589.48,-35.25,-32.1,3250,2
592.26,-35.24,-32.1,3270,2
595.50,-34.89,-31.0,3290,2
598.44,-34.29,-29.2,3310,2
601.36,-34.98,-31.3,3330,2
604.69,-35.42,-32.6,3350,2
607.89,-34.66,-30.3,3370,2
610.92,-34.80,-30.7,3390,2
613.93,-34.67,-30.3,3410,2
616.92,-35.19,-31.9,3430,2
619.98,-35.28,-32.2,3450,2
622.86,-34.75,-30.6,3470,2
625.87,-35.10,-31.7,3490,2.5
628.99,-35.42,-32.6,3510,2.5
632.01,-34.77,-30.6,3530,2.5
634.92,-34.63,-30.2,3550,2.5
637.89,-35.09,-31.6,3570,2.5
640.99,-35.18,-31.9,3590,2.5
644.05,-34.93,-31.1,3610,2.5
647.02,-34.28,-29.2,3630,2.5
650.00,-34.71,-30.5,3650,2.5
653.05,-34.68,-30.4,3670,2.5
656.12,-34.41,-29.6,3690,2.5
659.08,-34.65,-30.3,3710,2.5
662.09,-35.36,-32.4,3730,2.5
664.95,-35.27,-32.2,3750,2.5
667.95,-34.78,-30.7,3770,2.5
670.98,-35.01,-31.4,3790,2.5
674.26,-35.17,-31.9,3810,2.5
677.07,-35.36,-32.4,3830,2.5
680.06,-34.90,-31.0,3850,3
682.84,-35.34,-32.4,3870,3
685.65,-35.16,-31.8,3890,3
688.47,-34.85,-30.9,3910,3
691.68,-35.12,-31.7,3930,3
694.49,-34.96,-31.2,3950,3
697.32,-35.14,-31.8,3970,3
700.63,-34.41,-29.6,3990,3
704.11,-35.20,-32.0,4010,3
706.92,-34.74,-30.6,4030,3
710.13,-35.53,-33.0,4050,3.5
713.11,-35.14,-31.8,4070,3.5
715.86,-34.87,-31.0,4090,3.5
718.63,-35.20,-32.0,4110,3.5
721.41,-34.72,-30.5,4130,3.5
724.12,-34.76,-30.6,4150,3.5
726.81,-34.50,-29.8,4170,3.5
729.63,-34.78,-30.7,4190,3.5
732.59,-35.01,-31.4,4210,3.5
735.13,-35.26,-32.1,4230,3.5
738.22,-34.92,-31.1,4250,4
740.98,-34.63,-30.2,4270,4
744.00,-34.79,-30.7,4290,4
746.65,-34.75,-30.6,4310,4
749.44,-35.00,-31.4,4330,4
752.45,-35.47,-32.8,4350,4
755.34,-35.20,-32.0,4370,4
758.01,-34.76,-30.6,4390,4
760.81,-34.06,-28.5,4410,4
763.36,-34.80,-30.7,4430,4
765.89,-35.15,-31.8,4450,4.5
768.33,-34.83,-30.8,4470,4.5
770.94,-35.27,-32.2,4490,4.5
773.61,-34.83,-30.8,4510,4.5
776.64,-34.21,-28.9,4530,4.5
779.48,-34.57,-30.0,4550,4.5
782.39,-34.51,-29.9,4570,4.5
784.91,-35.05,-31.5,4590,4.5
787.90,-34.69,-30.4,4610,4.5
790.63,-35.21,-32.0,4630,4.5
793.03,-35.02,-31.4,4650,5
795.69,-34.71,-30.5,4670,5
798.64,-34.79,-30.7,4690,5
800.95,-35.09,-31.6,4710,5
804.14,-34.54,-29.9,4730,5
807.06,-34.82,-30.8,4750,5
809.86,-34.66,-30.3,4770,5
812.37,-34.93,-31.1,4790,5
814.86,-34.42,-29.6,4810,5
817.78,-34.89,-31.0,4830,5
820.20,-34.79,-30.7,4850,5.5
822.79,-34.65,-30.3,4870,5.5
825.43,-34.55,-30.0,4890,5.5
827.85,-34.57,-30.0,4910,5.5
830.52,-34.08,-28.5,4930,5.5
833.42,-34.92,-31.1,4950,5.5
835.93,-34.79,-30.7,4970,5.5
838.83,-34.53,-29.9,4990,5.5
841.59,-34.80,-30.7,5010,5.5
844.20,-34.63,-30.2,5030,5.5
846.81,-34.84,-30.9,5050,6
850.05,-34.64,-30.3,5070,6
852.79,-35.11,-31.7,5090,6
855.68,-34.73,-30.5,5110,6
858.50,-35.05,-31.5,5130,6
861.14,-33.85,-27.8,5150,6
863.91,-34.63,-30.2,5170,6
866.83,-34.90,-31.0,5190,6
869.41,-34.74,-30.6,5210,6
872.14,-34.56,-30.0,5230,6
874.64,-35.27,-32.2,5250,6.5
877.24,-35.03,-31.4,5270,6.5
879.73,-34.77,-30.6,5290,6.5
882.13,-35.39,-32.5,5310,6.5
885.06,-34.96,-31.2,5330,6.5
887.67,-34.78,-30.7,5350,6.5
890.47,-35.10,-31.7,5370,6.5
893.00,-34.35,-29.4,5390,6.5
895.73,-34.81,-30.8,5410,6.5
