Proxy depth,Mg/Ca,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),(mmol/mol),(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
6.25,3.500,24.9,21,38,35,66,,7.5,N. dutertrei,185,75,29,-2,-5,-1,,,,
31.25,4.411,27.5,312,317,317,162,,7.5,G. bulloides,265,115,29,57,-5,227,,,,
41.25,4.186,27.0,429,429,429,148,,55,N. dutertrei,1040,50,29,590,509,665,590,509,665,
43.75,3.505,25.0,458,458,457,139,,101,N. dutertrei,2955,80,29,2691,2434,2880,2691,2434,2880,excluded
48.75,3.528,25.0,516,514,514,113,,153.5,N. dutertrei,2955,50,29,2705,2524,2825,2705,2524,2825,
51.25,3.446,24.8,545,542,542,93,,203.5,N. dutertrei,3635,50,29,3503,3368,3635,3503,3368,3635,
53.75,4.024,26.5,574,571,571,63,,253.5,N. dutertrei,4550,80,29,4707,4483,4915,4707,4483,4915,
61.25,4.343,27.4,721,716,715,159,,301.25,N. dutertrei,5325,55,29,5659,5559,5834,5659,5559,5834,
63.75,4.036,26.5,773,768,768,185,,493.25,N. dutertrei,6960,60,29,7441,7317,7555,7441,7317,7555,
66.25,3.998,26.4,826,821,821,206,,497,G. bulloides,7000,90,29,7473,7300,7631,7473,7300,7631,
68.75,3.581,25.2,879,874,873,224,,640.75,N. dutertrei,9040,75,29,9708,9502,9996,9708,9502,9996,
71.25,3.731,25.7,931,926,926,239,,782.25,N. dutertrei,10475,145,29,11594,11180,12096,11593,11181,12092,
89.75,4.140,26.8,1321,1317,1317,308,,930.5,N. dutertrei,11500,70,29,12991,12875,13112,12955,12714,13123,
99.75,3.706,25.6,1532,1529,1529,321,,930.5,G. bulloides,11700,80,29,13157,12976,13288,13167,12925,13324,
109.75,3.683,25.5,1743,1740,1741,321,,1069.75,N. dutertrei,13250,105,29,15135,14761,15524,15293,14727,16081,
114.75,3.657,25.4,1848,1846,1847,317,,1243.75,N. dutertrei,14740,80,29,17119,16640,17556,17395,17039,17767,
119.75,4.104,26.7,1953,1952,1953,309,,1403.5,G. bulloides,15975,105,29,18835,18676,18977,18734,18563,18912,
129.75,3.840,26.0,2164,2165,2166,281,,1406,N. dutertrei,15745,105,29,18694,18501,18887,18584,18077,18809,
139.75,3.684,25.5,2375,2377,2379,232,,,,,,,,,,,,,
147.25,4.126,26.8,2533,2537,2539,172,,,,,,,,,,,,,
149.75,3.365,24.5,2585,2590,2593,143,,,,,,,,,,,,,
152.25,3.732,25.7,2638,2644,2647,104,,,,,,,,,,,,,
154.75,3.948,26.3,2686,2691,2694,97,,,,,,,,,,,,,
159.75,3.901,26.2,2770,2773,2775,151,,,,,,,,,,,,,
169.75,3.356,24.5,2940,2939,2939,198,,,,,,,,,,,,,
179.75,3.934,26.3,3109,3105,3104,208,,,,,,,,,,,,,
184.75,3.998,26.4,3194,3188,3187,202,,,,,,,,,,,,,
189.75,3.565,25.2,3279,3272,3270,187,,,,,,,,,,,,,
194.75,4.022,26.5,3363,3356,3353,163,,,,,,,,,,,,,
199.75,4.010,26.5,3448,3440,3436,122,,,,,,,,,,,,,
204.75,4.278,27.2,3541,3533,3528,98,,,,,,,,,,,,,
209.75,3.974,26.4,3660,3651,3646,169,,,,,,,,,,,,,
214.75,3.986,26.4,3778,3770,3765,208,,,,,,,,,,,,,
219.75,3.926,26.2,3896,3889,3884,232,,,,,,,,,,,,,
227.25,3.812,25.9,4074,4068,4063,247,,,,,,,,,,,,,
229.75,4.174,26.9,4133,4128,4123,248,,,,,,,,,,,,,
244.75,4.121,26.8,4489,4488,4482,202,,,,,,,,,,,,,
249.75,3.498,24.9,4607,4608,4602,160,,,,,,,,,,,,,
254.75,3.845,26.0,4722,4725,4719,126,,,,,,,,,,,,,
259.75,4.039,26.6,4827,4829,4823,174,,,,,,,,,,,,,
264.75,4.603,28.0,4931,4933,4927,203,,,,,,,,,,,,,
267.25,3.902,26.2,4983,4985,4979,213,,,,,,,,,,,,,
269.75,4.157,26.9,5035,5037,5032,220,,,,,,,,,,,,,
272.25,3.751,25.7,5088,5089,5084,225,,,,,,,,,,,,,
274.75,4.325,27.3,5140,5141,5137,228,,,,,,,,,,,,,
279.75,3.766,25.8,5244,5246,5242,227,,,,,,,,,,,,,
284.75,3.736,25.7,5349,5350,5347,217,,,,,,,,,,,,,
288.75,3.991,26.4,5432,5434,5432,203,,,,,,,,,,,,,
293.75,3.780,25.8,5537,5539,5537,172,,,,,,,,,,,,,
298.75,3.796,25.9,5641,5644,5644,119,,,,,,,,,,,,,
303.75,4.010,26.5,5746,5719,5719,96,,,,,,,,,,,,,
306.25,3.646,25.4,5798,5741,5741,116,,,,,,,,,,,,,
308.75,4.255,27.1,5850,5763,5763,132,,,,,,,,,,,,,
311.25,3.707,25.6,5902,5785,5785,146,,,,,,,,,,,,,
313.75,4.061,26.6,5955,5807,5807,159,,,,,,,,,,,,,
318.75,3.931,26.3,6059,5852,5851,180,,,,,,,,,,,,,
323.75,3.732,25.7,6164,5896,5896,198,,,,,,,,,,,,,
328.75,4.429,27.6,6268,5941,5940,214,,,,,,,,,,,,,
333.75,3.917,26.2,6372,5985,5985,227,,,,,,,,,,,,,
338.75,4.156,26.9,6477,6030,6029,239,,,,,,,,,,,,,
343.75,3.867,26.1,6581,6074,6074,249,,,,,,,,,,,,,
348.75,3.930,26.3,6686,6119,6118,258,,,,,,,,,,,,,
353.75,3.948,26.3,6790,6163,6163,266,,,,,,,,,,,,,
358.75,3.799,25.9,6895,6208,6207,272,,,,,,,,,,,,,
363.75,3.755,25.7,6935,6253,6252,278,,,,,,,,,,,,,
368.75,3.930,26.2,6976,6297,6296,283,,,,,,,,,,,,,
373.75,3.160,23.8,7017,6342,6341,287,,,,,,,,,,,,,
376.25,3.346,24.4,7037,6364,6363,289,,,,,,,,,,,,,
381.25,3.069,23.5,7078,6409,6408,292,,,,,,,,,,,,,
393.25,4.148,26.9,7176,6516,6515,295,,,,,,,,,,,,,
490.75,3.799,25.9,7351,7391,7391,86,,,,,,,,,,,,,
503.25,3.930,26.2,7578,7601,7602,147,,,,,,,,,,,,,
510.75,3.730,25.7,7696,7717,7718,202,,,,,,,,,,,,,
515.75,3.984,26.4,7776,7795,7795,229,,,,,,,,,,,,,
520.75,3.877,26.1,7855,7872,7873,251,,,,,,,,,,,,,
525.75,4.025,26.5,7934,7950,7950,270,,,,,,,,,,,,,
535.75,3.843,26.0,8092,8105,8106,298,,,,,,,,,,,,,
540.75,3.570,25.2,8171,8183,8183,309,,,,,,,,,,,,,
545.75,4.080,26.7,8250,8261,8261,318,,,,,,,,,,,,,
550.75,3.709,25.6,8329,8339,8339,325,,,,,,,,,,,,,
555.75,4.040,26.6,8408,8416,8417,331,,,,,,,,,,,,,
560.75,3.754,25.7,8487,8494,8495,334,,,,,,,,,,,,,
565.75,3.817,25.9,8567,8572,8572,337,,,,,,,,,,,,,
570.75,3.611,25.3,8646,8650,8650,338,,,,,,,,,,,,,
580.75,3.451,24.8,8804,8806,8806,335,,,,,,,,,,,,,
585.75,3.917,26.2,8883,8884,8884,331,,,,,,,,,,,,,
590.75,3.265,24.2,8962,8962,8962,326,,,,,,,,,,,,,
595.75,3.846,26.0,9041,9040,9040,319,,,,,,,,,,,,,
600.75,3.884,26.1,9120,9118,9118,310,,,,,,,,,,,,,
605.75,3.825,25.9,9199,9196,9196,299,,,,,,,,,,,,,
610.75,3.759,25.8,9278,9274,9275,286,,,,,,,,,,,,,
615.75,4.176,26.9,9358,9352,9353,271,,,,,,,,,,,,,
620.75,4.020,26.5,9437,9430,9431,253,,,,,,,,,,,,,
630.75,4.260,27.2,9595,9587,9588,204,,,,,,,,,,,,,
635.75,4.103,26.7,9674,9666,9667,171,,,,,,,,,,,,,
640.75,4.423,27.6,9753,9744,9746,128,,,,,,,,,,,,,
650.75,3.708,25.6,9886,9878,9878,195,,,,,,,,,,,,,
655.75,4.251,27.1,9953,9944,9944,219,,,,,,,,,,,,,
660.75,4.088,26.7,10019,10011,10010,240,,,,,,,,,,,,,
670.75,4.058,26.6,10153,10145,10143,272,,,,,,,,,,,,,
675.75,3.817,25.9,10219,10212,10210,285,,,,,,,,,,,,,
680.75,4.000,26.4,10286,10279,10276,296,,,,,,,,,,,,,
685.75,3.662,25.5,10352,10346,10343,306,,,,,,,,,,,,,
690.75,3.719,25.6,10419,10413,10410,314,,,,,,,,,,,,,
699.75,3.347,24.4,10539,10534,10530,325,,,,,,,,,,,,,
709.75,3.751,25.7,10672,10668,10664,332,,,,,,,,,,,,,
714.75,4.277,27.2,10739,10735,10730,334,,,,,,,,,,,,,
719.75,3.316,24.3,10805,10802,10797,335,,,,,,,,,,,,,
724.75,3.720,25.6,10872,10870,10864,335,,,,,,,,,,,,,
729.75,4.037,26.6,10938,10937,10931,333,,,,,,,,,,,,,
739.75,3.167,23.8,11071,11071,11065,327,,,,,,,,,,,,,
749.75,3.527,25.0,11205,11206,11199,315,,,,,,,,,,,,,
754.75,4.058,26.6,11271,11273,11266,307,,,,,,,,,,,,,
759.75,3.711,25.6,11338,11341,11334,298,,,,,,,,,,,,,
764.75,3.686,25.5,11404,11408,11401,287,,,,,,,,,,,,,
769.75,3.991,26.4,11471,11476,11468,274,,,,,,,,,,,,,
779.75,3.381,24.6,11604,11611,11604,240,,,,,,,,,,,,,
789.75,3.235,24.1,11710,11716,11707,248,,,,,,,,,,,,,
