Published temperature,Published age,Age model error
(°„C),(yr BP),"(yr, 1¶“)"
-0.3,92,8
-0.5,191,10
-0.5,292,11
-0.7,397,10
-0.9,503,7
-0.3,603,4
-1.0,700,4
0.2,800,8
-0.4,901,13
-0.3,1002,17
-0.3,1103,21
0.2,1205,24
0.0,1306,27
0.0,1408,29
-0.3,1509,31
-0.4,1610,33
-0.4,1710,34
-0.5,1808,34
-0.1,1906,34
-0.9,2005,33
-0.3,2103,32
-0.4,2202,31
-1.2,2302,29
-1.2,2402,27
-0.7,2501,25
-0.6,2602,24
-0.7,2703,24
0.4,2804,25
-0.2,2907,28
-0.4,3009,31
0.1,3112,34
-1.0,3214,37
-0.6,3316,39
-0.6,3419,42
0.1,3522,44
0.0,3624,45
0.4,3726,47
-0.2,3828,48
-0.6,3929,48
-0.2,4029,48
-0.5,4130,48
-0.5,4229,47
-0.5,4329,46
-0.5,4427,44
0.0,4525,42
-0.6,4622,39
-0.4,4719,36
-0.9,4816,33
-0.1,4913,30
-0.5,5009,27
-0.6,5106,25
-0.2,5203,24
-0.4,5298,25
-0.9,5394,27
-1.1,5491,29
0.0,5586,32
-0.5,5682,35
0.2,5779,37
-0.5,5876,40
-0.4,5972,42
-0.4,6069,44
-0.5,6165,45
-0.5,6262,47
-0.6,6359,49
-0.7,6455,51
-0.8,6553,52
-0.8,6649,54
-1.2,6745,56
-0.2,6842,58
-0.7,6940,59
-1.1,7037,61
-1.8,7132,63
-0.7,7231,65
-1.5,7329,67
-1.1,7427,68
-0.4,7527,71
-1.0,7626,73
-0.7,7728,75
-0.7,7829,78
-1.4,7932,80
-1.4,8034,82
-1.6,8138,85
-1.1,8244,87
-1.2,8351,89
-0.9,8458,92
-0.8,8567,94
-0.9,8676,95
-0.9,8786,97
-0.7,8895,98
-0.7,9006,100
-1.1,9117,100
-0.6,9226,101
-0.6,9336,102
-0.1,9445,102
-0.5,9554,102
-0.3,9662,101
0.2,9769,100
-0.3,9875,99
0.0,9980,98
0.1,10085,96
-0.1,10188,94
-0.4,10292,92
-0.1,10395,90
-0.6,10497,87
0.4,10599,85
-0.7,10702,82
-0.8,10804,79
-1.2,10905,76
-1.0,11007,73
-0.7,11110,71
-1.6,11213,68
-0.6,11315,66
-0.5,11418,65
-1.3,11524,64
-0.8,11630,64
-1.5,11734,64
-1.0,11839,64
-2.0,11946,64
-2.7,12049,64
-2.8,12153,64
-3.2,12258,64
-3.1,12360,64
-3.8,12465,64
-3.8,12568,63
-4.7,12673,63
-5.1,12776,63
-4.6,12879,63
-4.7,12983,63
-4.6,13088,63
-4.4,13190,64
-4.9,13296,64
-4.0,13400,65
-3.9,13506,65
-4.6,13610,65
-3.7,13715,66
-4.5,13822,66
-4.7,13928,66
-4.1,14034,66
-4.1,14140,66
-3.5,14248,66
-3.9,14355,66
-2.9,14464,67
-3.0,14572,67
-4.2,14679,68
-4.5,14788,68
-5.5,14895,70
-4.8,15003,71
-4.4,15111,72
-4.2,15220,73
-5.1,15328,75
-4.8,15434,76
-5.6,15542,77
-6.0,15648,78
-5.2,15754,79
-5.8,15862,81
-5.6,15968,82
-5.7,16075,83
-6.0,16183,84
-6.4,16289,86
-6.7,16396,88
-6.4,16501,90
-7.2,16609,93
-7.2,16715,96
-7.3,16822,100
-7.4,16927,104
-7.9,17036,108
-7.9,17142,113
-8.3,17248,117
-7.9,17355,122
-8.4,17461,127
-8.5,17570,132
-8.7,17675,136
-8.7,17783,141
-9.3,17889,146
-9.2,17996,150
-9.3,18104,154
-9.2,18208,158
-9.6,18315,162
-9.4,18419,165
-9.1,18525,168
-9.4,18630,171
-9.1,18735,173
-9.5,18840,175
-9.3,18942,177
-9.9,19044,178
-9.7,19146,179
-9.1,19247,179
-9.4,19347,180
-9.2,19447,180
-9.9,19547,179
-9.4,19646,178
-8.9,19744,178
-9.7,19841,176
-9.5,19938,174
-9.7,20035,173
-9.9,20132,170
-9.1,20226,168
-9.1,20325,165
-9.9,20418,162
-10.1,20512,159
-8.9,20607,156
-9.3,20701,152
-9.5,20794,148
-9.3,20888,144
-8.8,20979,140
-9.5,21072,136
-8.9,21163,132
-8.9,21256,128
-9.2,21347,123
-9.5,21438,120
-9.1,21528,116
-9.4,21622,112
-9.1,21711,108
-9.1,21802,105
-9.5,21894,102
-10.0,21986,99
-9.4,22079,97
-8.7,22171,95
-9.2,22265,94
-9.2,22359,92
-9.2,22454,92
-9.5,22547,92
-9.5,22643,92
-9.2,22738,93
-9.2,22835,94
-9.3,22932,95
-9.5,23031,97
-9.5,23129,99
-9.5,23228,101
-8.7,23329,103
-8.8,23430,106
-9.1,23532,109
-9.5,23634,111
-9.0,23736,114
-8.9,23841,117
-8.8,23946,120
-8.9,24052,123
-9.4,24161,125
-9.4,24265,128
-9.6,24374,130
-9.5,24481,131
-9.1,24594,133
-9.4,24704,134
-9.5,24816,134
-8.8,24928,135
-10.0,25037,134
-9.9,25148,134
-9.4,25260,133
-9.4,25372,132
-9.9,25484,130
-9.3,25594,128
-9.4,25705,126
-9.9,25816,123
-9.6,25926,121
-10.0,26036,118
-9.3,26144,114
-9.5,26252,111
-9.6,26360,108
-8.9,26465,104
-9.4,26574,101
-9.3,26681,97
-9.3,26787,94
-9.6,26894,91
-9.3,27000,87
-9.1,27106,84
-9.5,27211,82
-9.2,27313,79
-9.3,27420,77
-9.5,27525,75
-9.3,27628,74
-9.3,27731,72
-8.1,27832,71
-7.6,27934,70
-9.1,28037,70
-9.6,28138,69
-8.9,28233,70
-8.7,28339,70
-8.9,28437,70
-8.8,28535,71
-9.6,28634,72
-9.6,28732,73
-9.2,28831,75
-8.7,28929,77
-8.1,29026,79
-8.9,29126,81
-8.7,29223,83
-8.8,29321,85
-9.0,29419,87
-8.6,29518,89
-8.5,29617,90
-7.5,29716,92
-7.5,29815,93
-7.6,29915,94
-8.2,30016,94
