Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP)
352,0.819,22.9,23491,20837,20959,263,,,,,,,,,,,,
355,0.825,23.1,23719,20960,21086,298,,,,,,,,,,,,
358,0.827,23.2,23961,21083,21211,331,,,,,,,,,,,,
362,0.834,23.4,24230,21247,21379,371,,,,,,,,,,,,
365,0.827,23.2,24444,21371,21504,398,,,,,,,,,,,,
372,0.803,22.5,25008,21659,21796,456,,,,,,,,,,,,
378,0.795,22.2,25491,21906,22046,500,,,,,,,,,,,,
385,0.810,22.7,26055,22194,22338,548,,,,,,,,,,,,
392,0.799,22.4,26618,22482,22629,592,,,,,,,,,,,,
398,0.803,22.5,27101,22730,22879,627,,,,,,,,,,,,
405,0.806,22.5,27665,23018,23171,666,,,,,,,,,,,,
412,0.835,23.4,28229,23306,23462,702,,,,,,,,,,,,
419,0.818,22.9,28792,23595,23753,737,,,,,,,,,,,,
425,0.819,22.9,29195,23842,24003,766,,,,,,,,,,,,
432,0.813,22.8,29731,24131,24294,798,,,,,,,,,,,,
445,0.827,23.2,31200,24666,24834,855,,,,,,,,,,,,
452,0.827,23.2,32125,24955,25125,884,,,,,,,,,,,,
458,0.843,23.6,33000,25202,25375,908,,,,,,,,,,,,
465,0.837,23.5,33467,25491,25666,935,,,,,,,,,,,,
472,0.829,23.2,33933,25779,25957,962,,,,,,,,,,,,
478,0.832,23.3,34333,26027,26206,984,,,,,,,,,,,,
485,0.830,23.3,34800,26315,26497,1009,,,,,,,,,,,,
492,0.839,23.5,35222,26604,26788,1034,,,,,,,,,,,,
498,0.840,23.6,35600,26851,27037,1055,,,,,,,,,,,,
