Proxy depth,UK'37,Published temperature,Published age,Marine04 age,Marine09 age,Age model error,,14C depth,Material,14C age,14C error,忖R,Marine04 age,,,Marine09 age,,,
(cm),,(～C),(yr BP),(yr BP),(yr BP),"(yr, 1考)",,(cm),,(yr BP),"(yr, 1考)",(yr),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),median (yr BP),2考 lower (yr BP),2考 upper (yr BP),
476,0.885,25.5,8961,8638,8625,226,,,,,,,,,,,,,
487,0.890,25.6,9144,8808,8795,201,,,,,,,,,,,,,
497,0.880,25.3,9299,8961,8950,149,,,,,,,,,,,,,
505,0.886,25.5,9416,9242,9239,103,,,,,,,,,,,,,
509,0.878,25.3,9472,9285,9279,131,,,,,,,,,,,,,
515,0.871,25.0,9553,9347,9339,162,,,,,,,,,,,,,
519,0.876,25.2,9606,9388,9379,178,,,,,,,,,,,,,
525,0.874,25.2,9683,9450,9439,198,,,,,,,,,,,,,
529,0.871,25.1,9733,9491,9479,208,,,,,,,,,,,,,
535,0.862,24.8,9807,9553,9540,221,,,,,,,,,,,,,
539,0.875,25.2,9855,9593,9580,228,,,,,,,,,,,,,
545,0.877,25.3,9927,9655,9640,236,,,,,,,,,,,,,
547,0.868,25.0,9950,9675,9661,239,,,,,,,,,,,,,
551,0.869,25.0,9997,9716,9701,242,,,,,,,,,,,,,
555,0.877,25.3,10045,9756,9741,245,,,,,,,,,,,,,
559,0.879,25.3,10092,9797,9781,247,,,,,,,,,,,,,
565,0.882,25.4,10164,9858,9842,248,,,,,,,,,,,,,
569,0.872,25.1,10211,9898,9882,247,,,,,,,,,,,,,
577,0.871,25.0,10309,9979,9963,243,,,,,,,,,,,,,
581,0.868,25.0,10359,10019,10003,240,,,,,,,,,,,,,
587,0.861,24.8,10436,10080,10064,232,,,,,,,,,,,,,
591,0.857,24.6,10488,10120,10104,226,,,,,,,,,,,,,
595,0.858,24.7,10542,10160,10144,219,,,,,,,,,,,,,
599,0.867,24.9,10597,10200,10185,211,,,,,,,,,,,,,
605,0.863,24.8,10682,10260,10245,195,,,,,,,,,,,,,
607,0.860,24.7,10712,10280,10265,189,,,,,,,,,,,,,
611,0.860,24.7,10772,10320,10306,175,,,,,,,,,,,,,
617,0.855,24.6,10865,10379,10366,150,,,,,,,,,,,,,
621,0.857,24.6,10930,10418,10407,128,,,,,,,,,,,,,
627,0.851,24.4,11032,10489,10481,146,,,,,,,,,,,,,
631,0.846,24.3,11102,10537,10530,155,,,,,,,,,,,,,
635,0.863,24.8,11174,10584,10578,161,,,,,,,,,,,,,
640,0.855,24.6,11267,10642,10639,162,,,,,,,,,,,,,
643,0.845,24.3,11324,10677,10675,160,,,,,,,,,,,,,
647,0.846,24.3,11401,10723,10722,154,,,,,,,,,,,,,
651,0.849,24.4,11480,10768,10770,145,,,,,,,,,,,,,
655,0.849,24.4,11560,10871,10867,184,,,,,,,,,,,,,
661,0.832,23.9,11748,11031,11024,234,,,,,,,,,,,,,
665,0.833,23.9,11827,11138,11129,257,,,,,,,,,,,,,
671,0.852,24.5,11946,11297,11287,283,,,,,,,,,,,,,
675,0.840,24.1,12025,11403,11392,295,,,,,,,,,,,,,
679,0.844,24.2,12104,11509,11498,303,,,,,,,,,,,,,
683,0.846,24.3,12183,11614,11603,308,,,,,,,,,,,,,
686,0.832,23.9,12242,11693,11682,310,,,,,,,,,,,,,
690,0.835,24.0,12321,11798,11787,309,,,,,,,,,,,,,
695,0.838,24.1,12420,11930,11919,304,,,,,,,,,,,,,
700,0.827,23.7,12519,12061,12050,294,,,,,,,,,,,,,
703,0.836,24.0,12578,12139,12129,285,,,,,,,,,,,,,
707,0.837,24.0,12657,12244,12235,269,,,,,,,,,,,,,
711,0.835,24.0,12736,12348,12340,248,,,,,,,,,,,,,
713,0.851,24.4,12776,12400,12393,235,,,,,,,,,,,,,
716,0.853,24.5,12835,12478,12472,212,,,,,,,,,,,,,
721,0.841,24.1,12934,12606,12604,158,,,,,,,,,,,,,
725,0.842,24.2,13013,12718,12715,173,,,,,,,,,,,,,
730,0.840,24.1,13112,12864,12858,226,,,,,,,,,,,,,
735,0.846,24.3,13211,13009,13000,262,,,,,,,,,,,,,
736,0.854,24.6,13231,13038,13029,269,,,,,,,,,,,,,
741,0.854,24.6,13329,13183,13171,294,,,,,,,,,,,,,
746,0.846,24.3,13428,13327,13314,312,,,,,,,,,,,,,
750,0.846,24.3,13507,13442,13428,323,,,,,,,,,,,,,
755,0.842,24.2,13606,13586,13570,332,,,,,,,,,,,,,
757,0.852,24.5,13645,13643,13627,334,,,,,,,,,,,,,
761,0.849,24.4,13724,13758,13741,337,,,,,,,,,,,,,
770,0.840,24.1,13902,14015,13997,331,,,,,,,,,,,,,
780,0.841,24.2,14100,14300,14281,308,,,,,,,,,,,,,
786,0.844,24.2,14219,14471,14452,283,,,,,,,,,,,,,
795,0.843,24.2,14396,14715,14710,253,,,,,,,,,,,,,
801,0.844,24.3,14515,14865,14887,270,,,,,,,,,,,,,
810,0.834,23.9,14740,15086,15154,285,,,,,,,,,,,,,
816,0.822,23.6,15140,15233,15333,289,,,,,,,,,,,,,
826,0.821,23.5,15806,15476,15630,285,,,,,,,,,,,,,
836,0.820,23.5,16473,15717,15928,267,,,,,,,,,,,,,
846,0.814,23.3,17139,16024,16298,245,,,,,,,,,,,,,
856,0.814,23.3,17805,16467,16755,281,,,,,,,,,,,,,
865,0.818,23.5,18405,16886,17104,336,,,,,,,,,,,,,
871,0.810,23.2,18805,17163,17337,355,,,,,,,,,,,,,
876,0.815,23.4,19138,17392,17531,362,,,,,,,,,,,,,
885,0.805,23.1,19737,17803,17881,351,,,,,,,,,,,,,
895,0.807,23.1,20404,18267,18285,310,,,,,,,,,,,,,
905,0.802,23.0,21070,18777,18731,265,,,,,,,,,,,,,
911,0.820,23.5,21470,19080,18998,198,,,,,,,,,,,,,
919,0.786,22.5,22003,19635,19596,229,,,,,,,,,,,,,
929,0.811,23.3,22669,20437,20521,255,,,,,,,,,,,,,
937,0.805,23.1,23145,21102,21224,336,,,,,,,,,,,,,
947,0.809,23.2,23617,21928,22028,487,,,,,,,,,,,,,
957,0.821,23.5,24055,22750,22831,581,,,,,,,,,,,,,
967,0.822,23.6,24492,23571,23634,644,,,,,,,,,,,,,
977,0.808,23.2,24930,24390,24437,686,,,,,,,,,,,,,
985,0.811,23.2,25280,25045,25080,707,,,,,,,,,,,,,
995,0.807,23.1,25718,25863,25883,719,,,,,,,,,,,,,
1003,0.816,23.4,26068,26517,26526,717,,,,,,,,,,,,,
1011,0.795,22.8,26418,27170,27168,705,,,,,,,,,,,,,
1019,0.804,23.0,26768,27821,27811,684,,,,,,,,,,,,,
1025,0.819,23.5,27031,28309,28293,660,,,,,,,,,,,,,
1035,0.823,23.6,27470,28970,28952,608,,,,,,,,,,,,,
1045,0.823,23.6,27956,29200,29177,561,,,,,,,,,,,,,
1055,0.812,23.3,28408,29429,29402,518,,,,,,,,,,,,,
1057,0.826,23.7,28468,29474,29447,510,,,,,,,,,,,,,
1059,0.808,23.1,28529,29520,29492,502,,,,,,,,,,,,,
1077,0.822,23.6,29220,29929,29897,440,,,,,,,,,,,,,
1081,0.821,23.5,29439,30020,29987,430,,,,,,,,,,,,,
1089,0.823,23.6,29877,30201,30167,414,,,,,,,,,,,,,
1099,0.813,23.3,30425,30426,30392,406,,,,,,,,,,,,,
1107,0.812,23.3,30864,30669,30630,421,,,,,,,,,,,,,
1111,0.819,23.5,31083,30812,30773,439,,,,,,,,,,,,,
1121,0.811,23.3,31595,31168,31130,498,,,,,,,,,,,,,
1129,0.830,23.8,31889,31451,31416,554,,,,,,,,,,,,,
1139,0.815,23.4,32250,31804,31775,629,,,,,,,,,,,,,
1145,0.823,23.6,32449,32016,31989,676,,,,,,,,,,,,,
1155,0.814,23.3,32782,32368,32348,757,,,,,,,,,,,,,
1161,0.824,23.6,32981,32579,32563,807,,,,,,,,,,,,,
1171,0.820,23.5,33150,32930,32921,891,,,,,,,,,,,,,
1179,0.833,23.9,33285,33210,33208,958,,,,,,,,,,,,,
1189,0.822,23.6,33654,33560,33567,1043,,,,,,,,,,,,,
1199,0.822,23.6,34447,33908,33927,1127,,,,,,,,,,,,,
1207,0.821,23.6,35102,34185,34214,1194,,,,,,,,,,,,,
1215,0.819,23.5,35588,34583,34627,1210,,,,,,,,,,,,,
1225,0.816,23.4,36426,35420,35480,1155,,,,,,,,,,,,,
1231,0.818,23.5,36723,35919,35992,1178,,,,,,,,,,,,,
1241,0.814,23.3,37421,36751,36845,1305,,,,,,,,,,,,,
1251,0.815,23.4,38170,37580,37698,1518,,,,,,,,,,,,,
1257,0.820,23.5,38634,38077,38210,1674,,,,,,,,,,,,,
1261,0.808,23.2,38947,38408,38551,1787,,,,,,,,,,,,,
1267,0.816,23.4,39516,38903,39063,1966,,,,,,,,,,,,,
1271,0.804,23.0,39928,39230,39404,2091,,,,,,,,,,,,,
1275,0.813,23.3,40201,NaN,NaN,NaN,,,,,,,,,,,,,
1279,0.813,23.3,40336,NaN,NaN,NaN,,,,,,,,,,,,,
1285,0.807,23.1,40539,NaN,NaN,NaN,,,,,,,,,,,,,
1289,0.813,23.3,40637,NaN,NaN,NaN,,,,,,,,,,,,,
1297,0.824,23.6,40761,NaN,NaN,NaN,,,,,,,,,,,,,
1301,0.824,23.7,40823,NaN,NaN,NaN,,,,,,,,,,,,,
1307,0.820,23.5,40978,NaN,NaN,NaN,,,,,,,,,,,,,
1311,0.853,24.5,41081,NaN,NaN,NaN,,,,,,,,,,,,,
