,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,,(cm),Mg/Ca (mmol/mol) (G.ruber),(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
72,,0.500,4.987,732.250,28.60,597.92,37.98,,,0.5,1515,30,-100,-,1088,1259,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,4.500,4.502,933.450,27.47,1356.27,147.91,,,14.5,2130,40,-100,-,1715,1935,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,8.500,4.665,1134.650,27.86,1541.63,163.08,,,34.5,2780,40,-100,-,2501,2739,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,10.500,4.992,1235.250,28.62,1634.78,151.27,,,52.5,3465,35,-100,-,3361,3553,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,12.500,4.600,1335.850,27.71,1728.38,122.46,,,72.5,4295,30,-100,-,4425,4675,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,14.500,4.556,1436.450,27.60,1820.61,79.69,,,104.5,5405,35,-100,-,5770,5976,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,20.500,5.075,1738.250,28.80,2058.03,168.68,,,120.5,6190,35,-100,-,6649,6850,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,22.500,4.318,1838.850,27.00,2137.36,178.78,,,149.5,7485,45,-100,-,7948,8152,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,24.500,4.273,1939.450,26.89,2216.92,181.83,,,167.5,8575,40,-100,-,9246,9452,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,28.500,4.537,2140.650,27.55,2376.66,167.68,,,201.5,9660,45,-100,-,10517,10740,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,30.500,4.762,2241.250,28.09,2456.92,148.70,,,227.5,10370,50,-100,-,11334,11870,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,32.500,4.445,2341.850,27.33,2537.62,117.33,,,251.5,11415,50,-100,-,12773,13138,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,34.500,4.527,2442.450,27.53,2620.49,80.82,,,275.5,12705,55,-100,-,14103,14953,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,38.500,4.772,2643.650,28.12,2802.81,157.51,,,291.5,13020,55,-100,-,14684,15523,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,40.500,4.861,2744.250,28.32,2895.31,176.33,,,316.5,14260,70,-100,-,16786,17385,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,42.500,4.370,2844.850,27.14,2988.07,185.15,,,338.5,15410,70,-100,-,18026,18593,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,44.500,4.466,2945.450,27.38,3081.04,185.31,,,364.5,16340,80,-100,-,18916,19417,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,48.500,4.764,3146.650,28.10,3267.66,157.90,,,390.5,17440,90,-100,-,19998,20945,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,50.500,4.773,3247.250,28.12,3361.49,123.66,,,424.5,18990,100,-100,-,21995,22573,Globigerinoides Ruber,Calibrated with Calib 6.0,,
,,52.500,4.395,3347.850,27.20,3457.54,80.12,,,440.5,19960,110,-100,-,23036,23885,Globigerinoides Ruber,Calibrated with Calib 6.0,,
