,,Proxy depth,Published Proxy,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,Core,(cm),Foram T.F. (warm season),Foram T.F. (cold season),(yr BP),Foram T.F. (mean; deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
56,,25.00,6.4900,3.3800,698.00,4.94,716.22,32.83,,,25,765,35,-400,0,647,782,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,26.00,4.6000,1.8500,736.00,3.23,776.12,98.83,,,51,2155,30,-400,0,2136,2314,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,27.00,5.2100,2.4200,775.00,3.82,834.93,132.92,,,67,3100,35,-400,0,3292,3477,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,28.00,5.7300,2.6800,814.00,4.21,893.54,157.70,,,93,4425,40,-400,0,4975,5263,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,29.00,5.9400,2.8000,852.00,4.37,952.04,177.16,,,118,5740,70,-400,0,6402,6734,N.pachyderma dextral,Calibrated with Calib6.0,,
,,30.00,5.1400,2.2700,890.00,3.71,1010.47,192.91,,,154,7260,45,-400,0,7997,8241,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,31.00,4.6900,1.9500,929.00,3.32,1068.84,205.82,,,177,7980,45,-400,0,8793,9110,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,32.00,6.1700,3.0800,968.00,4.63,1127.17,216.40,,,192,8360,40,-400,0,9342,9517,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,33.00,5.9500,2.9400,1006.00,4.45,1185.45,224.98,,,207,8555,55,-400,0,9491,9807,N.pachyderma dextral,Calibrated with Calib6.0,,
,,34.00,5.4700,2.5100,1044.00,3.99,1243.70,231.78,,,241,8930,70,-400,0,9932,10352,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,35.00,5.3500,2.4700,1083.00,3.91,1301.92,236.95,,,250,9035,55,-400,0,10171,10432,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,36.00,5.6800,2.7600,1122.00,4.22,1360.11,240.61,,,315,10080,70,-400,0,11312,11924,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,37.00,5.1600,2.3000,1160.00,3.73,1418.28,242.81,,,355,11610,55,-400,0,13300,13629,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,38.00,5.1000,2.2300,1237.00,3.67,1476.41,243.61,,,394,11990,60,-400,0,13701,14010,N.pachyderma sinistral,Calibrated with Calib6.0,,
,,39.00,5.0100,2.1900,1315.00,3.60,1534.52,243.00,,,,,,,,,,,,,
,,40.00,6.1800,3.0700,1392.00,4.63,1592.59,240.99,,,118,6120,40,-400,0,-,-,N.pachyderma sinistral,,Replaced by N.pachy d. in original publication,Not Used
,,41.00,6.6300,3.4500,1470.00,5.04,1650.64,237.53,,,206,7400,40,-400,0,-,-,N.pachyderma sinistral,,Not used in original publication,Not Used
,,42.00,6.2100,3.0100,1547.00,4.61,1708.66,232.56,,,207,8710,50,-400,0,-,-,N.pachyderma sinistral,,Replaced by N.pachy d. in original publication,Not Used
,,43.00,6.3200,3.1100,1625.00,4.72,1766.65,225.99,,,237,6740,50,-400,0,-,-,N.pachyderma sinistral,,Replaced by N.pachy d. in original publication,Not Used
,,44.00,6.3200,3.1400,1702.00,4.73,1824.61,217.65,,,320,-,-,-,-,-,-,-,,Age correlation to GISP2 at top of YD,Not Used
,,45.00,4.9300,2.1000,1779.00,3.52,1882.52,207.35,,,249,8835,50,-400,0,9891,10188,N.pachyderma sinistral,Calibrated with Calib6.0,Original Publication took average (249 & 250),Not Used
,,46.00,5.2000,2.4200,1857.00,3.81,1940.39,194.76,,,237,8600,70,-400,0,9506,9914,N.pachyderma dextral,Calibrated with Calib6.0,Not used in original publication,Not Used
,,47.00,5.5900,2.6300,1934.00,4.11,1998.20,179.41,,,17,780,35,-400,0,651,802,N.pachyderma sinistral,Calibrated with Calib6.0,Box core 23258-3,Not Used
,,48.00,6.3700,3.2500,2012.00,4.81,2055.94,160.48,,,36,1785,30,-400,0,1694,1866,N.pachyderma sinistral,Calibrated with Calib6.0,Box core 23258-4,Not Used
,,49.00,6.7100,3.5800,2089.00,5.15,2113.57,136.50,,,,,,,,,,,,,
,,50.00,6.9500,3.8400,2167.00,5.40,2171.00,103.96,,,,,,,,,,,,,
,,51.00,6.2800,3.1300,2244.00,4.71,2227.34,46.58,,,,,,,,,,,,,
,,52.00,4.3400,1.6600,2315.00,3.00,2301.50,112.14,,,,,,,,,,,,,
,,53.00,3.9900,1.5000,2386.00,2.75,2374.51,146.46,,,,,,,,,,,,,
,,54.00,3.2900,0.9100,2456.00,2.10,2447.31,170.05,,,,,,,,,,,,,
,,55.00,3.6000,1.1600,2527.00,2.38,2519.98,187.07,,,,,,,,,,,,,
,,56.00,3.1800,0.8300,2598.00,2.01,2592.56,199.24,,,,,,,,,,,,,
,,57.00,3.6200,1.1100,2668.00,2.37,2665.07,207.41,,,,,,,,,,,,,
,,58.00,4.0500,1.4500,2739.00,2.75,2737.51,212.08,,,,,,,,,,,,,
,,59.00,3.8600,1.3600,2810.00,2.61,2809.89,213.47,,,,,,,,,,,,,
,,60.00,4.1300,1.4200,2881.00,2.78,2882.21,211.66,,,,,,,,,,,,,
,,61.00,3.6700,1.1100,2952.00,2.39,2954.47,206.58,,,,,,,,,,,,,
,,62.00,3.9600,1.2800,3022.00,2.62,3026.67,197.99,,,,,,,,,,,,,
,,63.00,2.6500,0.4200,3093.00,1.54,3098.80,185.41,,,,,,,,,,,,,
,,64.00,2.3100,0.2000,3164.00,1.26,3170.83,167.98,,,,,,,,,,,,,
,,65.00,3.0300,0.7200,3234.00,1.88,3242.73,144.00,,,,,,,,,,,,,
,,66.00,3.1200,0.7600,3305.00,1.94,3314.42,109.36,,,,,,,,,,,,,
,,67.00,3.3900,0.9700,3376.00,2.18,3384.97,46.28,,,,,,,,,,,,,
,,68.00,2.6900,0.4700,3443.00,1.58,3453.64,106.55,,,,,,,,,,,,,
,,69.00,2.5400,0.3900,3509.00,1.47,3521.14,141.72,,,,,,,,,,,,,
,,70.00,2.5700,0.4100,3576.00,1.49,3588.43,167.63,,,,,,,,,,,,,
,,71.00,2.7300,0.5000,3643.00,1.62,3655.61,188.09,,,,,,,,,,,,,
,,72.00,3.0100,0.7100,3709.00,1.86,3722.71,204.73,,,,,,,,,,,,,
