,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,,(cm),Uk'37,(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
47,,22.50,0.3866,1951.00,10.22,2032.75,103.24,,,22,2585,30,240,40,1845,2107,G.bulloides,Calibrated with Calib 6.0,,
,,24.50,0.4036,2180.43,10.72,2261.07,199.01,,,36,3895,60,240,40,3378,3756,G.bulloides,Calibrated with Calib 6.0,,
,,26.50,0.4021,2409.86,10.68,2488.71,240.96,,,98,7560,40,240,40,7664,7913,G.bulloides,Calibrated with Calib 6.0,,
,,28.50,0.4216,2639.29,11.25,2716.12,257.96,,,168,10550,50,240,40,11172,11629,G.bulloides,Calibrated with Calib 6.0,,
,,30.50,0.4078,2868.71,10.85,2943.36,254.96,,,192,10650,55,240,40,11227,11833,G.bulloides,Calibrated with Calib 6.0,,
,,32.50,0.4134,3098.14,11.01,3170.42,231.04,,,202,11240,50,240,40,12353,12657,G.bulloides,Calibrated with Calib 6.0,2-Sigma Error,
,,36.50,0.4132,3557.00,11.00,3600.79,118.02,,,230,12665,60,240,40,13710,14056,G.bulloides,Calibrated with Calib 6.0,,
,,40.50,0.4081,3828.42,10.86,3874.21,232.68,,,252,13155,60,240,40,14194,15085,G.bulloides,Calibrated with Calib 6.0,,
,,42.50,0.4055,3964.13,10.78,4010.64,268.18,,,266,14730,70,240,40,16872,17497,G.bulloides,Calibrated with Calib 6.0,,
,,44.50,0.4017,4099.84,10.67,4147.01,297.12,,,301.5,14040,80,240,40,15691,16876,G.bulloides & N. pachyderma,Calibrated with Calib 6.0,,
,,46.50,0.4085,4235.55,10.87,4283.34,321.28,,,391,16380,190,240,40,18624,19384,G.bulloides & N. pachyderma,Calibrated with Calib 6.0,,
,,48.50,0.4095,4371.26,10.90,4419.64,341.70,,,446,16670,100,240,40,18897,19421,G.bulloides & N. pachyderma,Calibrated with Calib 6.0,2-Sigma Error,
,,50.50,0.3981,4506.97,10.56,4555.92,359.00,,,524.5,26610,220,240,40,30344,31085,G.bulloides & N. pachyderma,Calibrated with Calib 6.0,,
,,52.50,0.4063,4642.68,10.80,4692.18,373.64,,,572.5,29650,310,240,40,32799,34570,G.bulloides & N. pachyderma,Calibrated with Calib 6.0,,
,,54.50,0.4053,4778.39,10.77,4828.42,385.90,,,632.5,32300,410,240,40,35090,36829,G.bulloides & N. pachyderma,Calibrated with Calib 6.0,2-Sigma Error,
,,56.50,0.4059,4914.10,10.79,4964.65,396.02,,,,,,,,,,,,,
,,58.50,0.3970,5049.81,10.53,5100.86,404.15,,,683.25,-,-,-,-,-,-,-,40020,d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000,Not Used
,,60.50,0.4065,5185.52,10.81,5237.06,410.41,,,737.25,-,-,-,-,-,-,-,44830,d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000,Not Used
,,62.50,0.3930,5321.23,10.41,5373.25,414.89,,,775.25,-,-,-,-,-,-,-,47540,d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000,Not Used
,,64.50,0.4009,5456.94,10.64,5509.43,417.65,,,831.25,-,-,-,-,-,-,-,55980,d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000,Not Used
,,66.50,0.3842,5592.65,10.15,5645.59,418.71,,,1061.25,-,-,-,-,-,-,-,72130,d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000,Not Used
,,68.50,0.4015,5728.35,10.66,5781.74,418.09,,,1451.25,-,-,-,-,-,-,-,105140,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,70.50,0.4044,5864.06,10.75,5917.88,415.79,,,1651.25,-,-,-,-,-,-,-,135280,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,72.50,0.4027,5999.77,10.70,6054.00,411.78,,,1991.25,-,-,-,-,-,-,-,161060,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,74.50,0.3944,6135.48,10.45,6190.12,406.00,,,2071.25,-,-,-,-,-,-,-,168710,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,76.50,0.3914,6271.19,10.36,6326.22,398.37,,,2241.25,-,-,-,-,-,-,-,180910,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,78.50,0.3991,6406.90,10.59,6462.30,388.80,,,2491.25,-,-,-,-,-,-,-,220320,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,80.50,0.4012,6542.61,10.65,6598.37,377.12,,,2561.25,-,-,-,-,-,-,-,233340,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,82.50,0.3998,6678.32,10.61,6734.43,363.14,,,2741.25,-,-,-,-,-,-,-,245550,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,84.50,0.4063,6814.03,10.80,6870.47,346.57,,,2911.25,-,-,-,-,-,-,-,262590,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,86.50,0.4120,6949.74,10.97,7006.48,327.03,,,3211.25,-,-,-,-,-,-,-,281730,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,88.50,0.4116,7085.45,10.96,7142.47,303.93,,,3351.25,-,-,-,-,-,-,-,298830,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,90.50,0.4102,7221.16,10.92,7278.43,276.38,,,3491.25,-,-,-,-,-,-,-,315920,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,92.50,0.4149,7356.87,11.06,7414.34,242.84,,,3621.25,-,-,-,-,-,-,-,337800,SST tuned to Vostok dD. Vostok age model of Shackleton 2000,Not Used
,,94.50,0.4064,7492.58,10.81,7550.19,200.27,,,,,,,,,,,,,
,,96.50,0.4056,7628.29,10.78,7685.89,140.26,,,,,,,,,,,,,
,,98.50,0.4093,7764.00,10.89,7813.03,85.96,,,,,,,,,,,,,
,,100.50,0.4120,7844.00,10.97,7916.08,153.56,,,,,,,,,,,,,
,,102.50,0.4297,7924.00,11.49,8018.84,195.93,,,,,,,,,,,,,
,,106.50,0.4268,8084.00,11.40,8224.19,255.00,,,,,,,,,,,,,
