,,Proxy depth,Published Temperature,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
,,213.000,24.550,7270.00,24.55,7251.93,150.76,,,,,,,,,,,,,
,,218.000,24.230,7410.00,24.23,7395.95,189.74,,,,,,,,,,,,,
,,223.000,24.120,7550.00,24.12,7540.90,212.48,,,,,,,,,,,,,
,,228.000,24.460,7690.00,24.46,7686.44,223.95,,,,,,,,,,,,,
,,233.000,24.520,7840.00,24.52,7832.47,225.85,,,,,,,,,,,,,
,,238.000,24.220,7980.00,24.22,7978.98,218.40,,,,,,,,,,,,,
,,243.000,24.090,8120.00,24.09,8126.02,200.57,,,,,,,,,,,,,
,,248.000,24.010,8260.00,24.01,8273.77,169.11,,,,,,,,,,,,,
,,253.000,24.490,8410.00,24.49,8422.90,113.24,,,,,,,,,,,,,
,,258.000,24.240,8510.00,24.24,8537.41,92.56,,,,,,,,,,,,,
,,263.000,24.070,8560.00,24.07,8615.49,131.76,,,,,,,,,,,,,
,,268.000,24.470,8620.00,24.47,8694.57,155.29,,,,,,,,,,,,,
,,273.000,24.360,8680.00,24.36,8774.15,169.75,,,,,,,,,,,,,
,,278.000,24.240,8740.00,24.24,8854.10,177.35,,,,,,,,,,,,,
,,283.000,24.410,8790.00,24.41,8934.37,178.97,,,,,,,,,,,,,
,,288.000,24.130,8850.00,24.13,9014.96,174.76,,,,,,,,,,,,,
,,293.000,24.420,8910.00,24.42,9095.92,164.26,,,,,,,,,,,,,
,,298.000,24.370,8960.00,24.37,9177.38,146.12,,,,,,,,,,,,,
,,303.000,24.130,9020.00,24.13,9259.84,116.76,,,,,,,,,,,,,
,,308.000,23.640,9080.00,23.64,9329.79,110.59,,,,,,,,,,,,,
,,313.000,23.950,9150.00,23.95,9386.01,132.98,,,,,,,,,,,,,
,,318.000,23.830,9220.00,23.83,9442.95,148.45,,,,,,,,,,,,,
,,323.000,23.690,9280.00,23.69,9500.27,159.08,,,,,,,,,,,,,
,,328.000,23.570,9350.00,23.57,9557.86,165.77,,,,,,,,,,,,,
,,333.000,23.840,9410.00,23.84,9615.68,168.95,,,,,,,,,,,,,
,,338.000,23.670,9480.00,23.67,9673.74,168.77,,,,,,,,,,,,,
,,343.000,23.630,9550.00,23.63,9732.07,165.13,,,,,,,,,,,,,
,,348.000,23.400,9610.00,23.40,9790.77,157.62,,,,,,,,,,,,,
,,353.000,23.880,9680.00,23.88,9850.20,145.12,,,,,,,,,,,,,
,,358.000,23.250,9800.00,23.25,9964.83,173.82,,,,,,,,,,,,,
,,363.000,23.140,9970.00,23.14,10138.53,220.30,,,,,,,,,,,,,
,,368.000,23.540,10140.00,23.54,10313.80,248.92,,,,,,,,,,,,,
,,373.000,23.730,10320.00,23.73,10489.85,266.13,,,,,,,,,,,,,
,,378.000,23.510,10490.00,23.51,10666.48,274.26,,,,,,,,,,,,,
,,383.000,23.520,10660.00,23.52,10843.61,274.22,,,,,,,,,,,,,
,,388.000,23.260,10840.00,23.26,11021.25,266.07,,,,,,,,,,,,,
,,393.000,23.160,11010.00,23.16,11199.47,249.05,,,,,,,,,,,,,
,,398.000,23.020,11180.00,23.02,11378.48,221.14,,,,,,,,,,,,,
,,403.000,22.650,11360.00,22.65,11559.04,177.10,,,,,,,,,,,,,
,,408.000,22.710,11520.00,22.71,11720.37,170.19,,,,,,,,,,,,,
,,413.000,22.620,11690.00,22.62,11861.51,205.43,,,,,,,,,,,,,
,,418.000,22.740,11850.00,22.74,12004.02,227.54,,,,,,,,,,,,,
,,423.000,22.680,12020.00,22.68,12147.21,240.39,,,,,,,,,,,,,
,,428.000,22.570,12180.00,22.57,12290.91,245.51,,,,,,,,,,,,,
,,433.000,22.340,12340.00,22.34,12435.04,243.38,,,,,,,,,,,,,
,,438.000,22.560,12510.00,22.56,12579.62,233.81,,,,,,,,,,,,,
,,443.000,22.530,12670.00,22.53,12724.70,215.79,,,,,,,,,,,,,
,,448.000,22.720,12830.00,22.72,12870.47,186.81,,,,,,,,,,,,,
,,453.000,22.670,13000.00,22.67,13017.59,139.81,,,,,,,,,,,,,
,,458.000,22.610,13140.00,22.61,13160.01,140.17,,,,,,,,,,,,,
,,463.000,22.640,13250.00,22.64,13297.09,189.38,,,,,,,,,,,,,
,,468.000,22.640,13370.00,22.64,13435.39,221.76,,,,,,,,,,,,,
,,473.000,22.350,13490.00,22.35,13574.31,244.17,,,,,,,,,,,,,
,,478.000,22.150,13600.00,22.15,13713.68,259.15,,,,,,,,,,,,,
,,483.000,22.030,13720.00,22.03,13853.45,267.87,,,,,,,,,,,,,
,,488.000,22.400,13830.00,22.40,13993.61,270.81,,,,,,,,,,,,,
,,493.000,21.960,13950.00,21.96,14134.23,267.97,,,,,,,,,,,,,
,,498.000,21.980,14060.00,21.98,14275.46,258.83,,,,,,,,,,,,,
,,503.000,22.010,14180.00,22.01,14417.92,241.56,,,,,,,,,,,,,
,,508.000,22.130,14390.00,22.13,14638.36,266.66,,,,,,,,,,,,,
,,513.000,21.910,14690.00,21.91,14941.23,315.16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1070,14410.0000,15410.00,28.09,5,,,,,,,,,,,,,,
,,1070,14410.0000,15410.00,,,,,,,,,,,,,,,,
,,1072,14452.0000,15452.00,27.83,5,,,,,,,,,,,,,,
,,1072,14452.0000,15452.00,,,,,,,,,,,,,,,,
,,1074,14494.0000,15494.00,,,,,,,,,,,,,,,,
,,1074,14494.0000,15494.00,,,,,,,,,,,,,,,,
,,1076,14536.0000,15536.00,,,,,,,,,,,,,,,,
,,1076,14536.0000,15536.00,,,,,,,,,,,,,,,,
,,1078,14578.0000,15578.00,,,,,,,,,,,,,,,,
,,1078,14578.0000,15578.00,27.61,5,,,,,,,,,,,,,,
,,1080,14620.0000,15620.00,27.71,5,,,,,,,,,,,,,,
,,1080,14620.0000,15620.00,,,,,,,,,,,,,,,,
,,1082,14662.0000,15662.00,27.92,5,,,,,,,,,,,,,,
,,1082,14662.0000,15662.00,,,,,,,,,,,,,,,,
,,1082,14662.0000,15662.00,,,,,,,,,,,,,,,,
,,1082,14662.0000,15662.00,,,,,,,,,,,,,,,,
,,1084,14704.0000,15704.00,27.61,5,,,,,,,,,,,,,,
,,1084,14704.0000,15704.00,,,,,,,,,,,,,,,,
,,1086,14746.0000,15746.00,,,,,,,,,,,,,,,,
,,1086,14746.0000,15746.00,,,,,,,,,,,,,,,,
,,1086,14746.0000,15746.00,,,,,,,,,,,,,,,,
,,1086,14746.0000,15746.00,,,,,,,,,,,,,,,,
,,1088,14788.0000,15788.00,27.14,4,,,,,,,,,,,,,,
,,1088,14788.0000,15788.00,,,,,,,,,,,,,,,,
,,1090,14830.0000,15830.00,,,,,,,,,,,,,,,,
,,1090,14830.0000,15830.00,,,,,,,,,,,,,,,,
,,1092,14872.0000,15872.00,,,,,,,,,,,,,,,,
,,1092,14872.0000,15872.00,27.06,4,,,,,,,,,,,,,,
,,1094,14914.0000,15914.00,27.41,4,,,,,,,,,,,,,,
,,1094,14914.0000,15914.00,,,,,,,,,,,,,,,,
,,1096,14957.0000,15957.00,27.24,4,,,,,,,,,,,,,,
,,1096,14957.0000,15957.00,,,,,,,,,,,,,,,,
,,1098,14999.0000,15999.00,27.95,5,,,,,,,,,,,,,,
,,1098,14999.0000,15999.00,,,,,,,,,,,,,,,,
,,1100,15041.0000,16041.00,,,,,,,,,,,,,,,,
,,1100,15041.0000,16041.00,27.56,5,,,,,,,,,,,,,,
,,1101,15062.0000,16062.00,,,,,,,,,,,,,,,,
,,1101,15062.0000,16062.00,,,,,,,,,,,,,,,,
,,1102,15084.0000,16084.00,,,,,,,,,,,,,,,,
,,1102,15084.0000,16084.00,,,,,,,,,,,,,,,,
