,,Proxy depth,Published Temperature,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,,(cm),(deg C),(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
68,,3.000,24.620,30.00,24.62,-3.12,11.09,,KIA23160,10,160,90,0,0,0,0,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,Assumed to be modern,
,,8.000,24.390,90.00,24.39,-1.07,9.55,,KIA23161,58,1150,55,0,0,610,835,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,13.000,24.560,150.00,24.56,41.42,77.62,,KIA23162,108,4175,45,0,0,4121,4400,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,18.000,24.480,210.00,24.48,114.66,119.72,,KIA23163,158,5910,45,0,0,6235,6431,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,23.000,24.660,270.00,24.66,188.81,143.11,,KIA23164,208,6605,60,0,0,6968,7258,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,28.000,24.140,330.00,24.14,263.44,156.44,,KIA23165,255.5,8040,55,0,0,8377,8620,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,33.000,24.100,390.00,24.10,338.45,162.20,,KIA23166,305.5,8670,80,0,0,9120,9493,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,38.000,24.400,450.00,24.40,413.80,161.22,,KIA23167,355.5,9130,90,0,0,9608,10156,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,43.000,24.020,510.00,24.02,489.50,153.37,,KIA23252,405.5,10515,60,0,0,11364,11942,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,48.000,24.460,570.00,24.46,565.63,137.50,,KIA23168,455.5,11630,80,0,0,12887,13300,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,53.000,24.150,630.00,24.15,642.42,110.24,,KIA23251,505.5,12780,70,0,0,14052,14942,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,58.000,24.970,690.00,24.97,722.37,57.56,,KIA23249,555.5,14900,80,0,0,17228,17926,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,63.000,24.820,1050.00,24.82,1065.93,219.22,,KIA23248,605.5,22690,170,0,0,26207,27640,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,68.000,24.930,1400.00,24.93,1416.21,288.19,,KIA23247,655.5,29000,360,0,0,31855,34428,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,73.000,24.940,1760.00,24.94,1767.91,328.90,,KIA23245,705.5,35840,830,0,0,38735,41915,"G. ruber, G. sacculifer, O. universa",Calibrated with Calib 6.0,,
,,78.000,24.810,2110.00,24.81,2120.49,351.28,,,,,,,,,,,,,
,,83.000,25.030,2470.00,25.03,2473.80,358.73,,,,,,,,,,,,,
,,88.000,24.810,2830.00,24.81,2827.79,352.19,,,,,,,,,,,,,
,,93.000,24.740,3180.00,24.74,3182.51,330.79,,,,,,,,,,,,,
,,98.000,24.860,3540.00,24.86,3538.12,291.21,,,,,,,,,,,,,
,,103.000,25.000,3890.00,25.00,3895.13,223.87,,,,,,,,,,,,,
,,108.000,24.920,4250.00,24.92,4258.87,69.76,,,,,,,,,,,,,
,,113.000,24.660,4450.00,24.66,4458.42,176.52,,,,,,,,,,,,,
,,118.000,24.610,4660.00,24.61,4663.20,226.30,,,,,,,,,,,,,
,,123.000,24.870,4870.00,24.87,4869.08,255.73,,,,,,,,,,,,,
,,128.000,24.880,5080.00,24.88,5075.64,271.59,,,,,,,,,,,,,
,,133.000,24.820,5280.00,24.82,5282.77,276.27,,,,,,,,,,,,,
,,138.000,25.030,5490.00,25.03,5490.43,270.36,,,,,,,,,,,,,
,,143.000,24.560,5700.00,24.56,5698.65,253.16,,,,,,,,,,,,,
,,148.000,24.640,5900.00,24.64,5907.57,222.05,,,,,,,,,,,,,
,,153.000,24.800,6110.00,24.80,6117.58,169.55,,,,,,,,,,,,,
,,158.000,24.750,6320.00,24.75,6332.82,48.48,,,,,,,,,,,,,
,,163.000,24.500,6400.00,24.50,6405.87,109.84,,,,,,,,,,,,,
,,168.000,24.720,6480.00,24.72,6482.19,140.02,,,,,,,,,,,,,
,,173.000,24.650,6560.00,24.65,6559.18,158.27,,,,,,,,,,,,,
,,178.000,24.460,6640.00,24.46,6636.61,168.56,,,,,,,,,,,,,
,,183.000,24.230,6720.00,24.23,6714.39,172.34,,,,,,,,,,,,,
,,188.000,24.600,6800.00,24.60,6792.50,170.07,,,,,,,,,,,,,
,,193.000,24.350,6880.00,24.35,6870.96,161.53,,,,,,,,,,,,,
,,198.000,24.490,6960.00,24.49,6949.86,145.65,,,,,,,,,,,,,
,,203.000,24.360,7040.00,24.36,7029.43,119.64,,,,,,,,,,,,,
,,208.000,24.330,7130.00,24.33,7112.26,74.43,,,,,,,,,,,,,
