PLEASE CITE THE ORIGINAL AUTHORS WHEN USING THEIR DATA.,,,,,,,,,,
Number,Location / Core,Proxy,Temperature Calibration  / Reference,Latitude (¡ã),Longitude (¡ã),Elevation ,Resolution (yr),Published Seasonal Interpretation,Reference,
,,,,,,(m a.s.l.),,,,
1,GeoB5844-2,UK¡¯37,"M¨¹ller et al., 1998 (3)",27.7,34.7,-963,300,Annual  / Summer,"Arz et al., 2003 (4)",
2,ODP-1019D,UK¡¯37,"M¨¹ller et al., 1998 (3)",41.7,-124.9,-980,140,Annual,"Barron et al., 2003 (5)",
3,SO136-GC11,UK¡¯37,"M¨¹ller et al., 1998 (3)",-43.5,167.9,-1556,290,Annual*,"Barrows et al., 2007(6)",
4,JR51GC-35,UK¡¯37,"M¨¹ller et al., 1998 (3)",67,-18,-420,110,Annual,Bendle and Rosell-Mel¨¦ 2007 (7),
5,ME005A-43JC,Mg/Ca (G.ruber),"Anand et al., 2003 (8)",7.9,-83.6,-1368,200,Annual*,"Benway et al.,2006 (9)",
6,MD95-2043,UK¡¯37,"M¨¹ller et al., 1998 (3)",36.1,-2.6,-1000,110,Annual,"Cacho et al., 2001 (10)",
7,M39-008,UK¡¯37,"M¨¹ller et al., 1998 (3)",39.4,-7.1,-576,140,Annual,"Cacho et al., 2001 (10)",
8,MD95-2011,UK¡¯37,"M¨¹ller et al., 1998 (3)",67,7.6,-1048,60,Summer,"Calvo et al., 2002 (11)",
9,ODP 984,Mg/Ca (N. pachyderma d.),"Anand et al., 2003 (8)",61.4,-24.1,-1648,110,Winter*,"Came et al., 2007 (12)",
10,GeoB 7702-3,TEX86,"Kim et al., 2008 (13)",31.7,34.1,-562,210,Summer,"Casta_eda et al., 2010 (14)",
11,Moose Lake,Chironomid transfer function,Global Avg. RMSEP,61.4,-143.6,437,50,Summer,"Clegg et al., 2010 (15)",
12,ODP 658C,Foram transfer function,¡À1.5 C uncertainty,20.8,-18.6,-2263,110,Winter and Summer**,"deMenocal et al., 2000 (16)",
13,Composite: MD95-2011; HM79-4,Radiolaria transfer function,¡À1.2 C uncertainty,67,7.6,-,90,Summer,"Dolven et al., 2002 (17)",
14,IOW225517,UK¡¯37,"M¨¹ller et al., 1998 (3)",57.7,7.1,-293,120,Spring to Winter,"Emeis et al., 2003 (18)",
15,IOW225514,UK¡¯37,"M¨¹ller et al., 1998 (3)",57.8,8.7,-420,70,Spring to Winter,"Emeis et al., 2003 (18)",
16,M25/4-KL11,UK¡¯37,"M¨¹ller et al., 1998 (3)",36.7,17.7,-3376,260,Spring to Winter,"Emeis et al., 2003 (18)",
17,ODP 1084B,Mg/Ca (G. bulloides),Mashiotta et al. 1999 (19),-25.5,13,-1992,90,Winter,"Farmer et al., 2005 (20)",
18,AD91-17,UK¡¯37,"M¨¹ller et al., 1998 (3)",40.9,18.6,-844,190,Annual (seasonal bias likely),"Giunta et al., 2001 (21)",
19,74KL,UK¡¯37,"M¨¹ller et al., 1998 (3)",14.3,57.3,-3212,300,Annual (seasonal bias likely),"Huguet et al., 2006 (22)",
20,74KL,TEX86,"Schouten et al., 2002 (23)",14.3,57.3,-3212,300,Annual (seasonal bias likely),"Huguet et al., 2006 (22)",
21,NIOP-905,UK¡¯37,"M¨¹ller et al., 1998 (3)",10.6,51.9,-1567,180,Annual (seasonal bias likely),"Huguet et al., 2006 (22)",
22,NIOP-905,TEX86,"Schouten et al., 2002 (23)",10.6,51.9,-1567,180,Annual (seasonal bias likely),"Huguet et al., 2006 (22)",
23,Composite: MD01-2421; KR02-06 St.A GC; KR02-06 St.A MC,UK¡¯37,"M¨¹ller et al., 1998 (3)",36,141.8,-2224,60,Annual*,"Isono et al., 2009 (24)",
,,,,,,,,,,
24,GeoB 3910,UK¡¯37,"M¨¹ller et al., 1998 (3)",-4.2,-36.3,-2362,400,Annual*,"Jaeschke et al., 2007 (25)",
25,"Dome C, Antarctica",Ice Core dD,¡À30% uncertainty,-75.1,123.4,3240,20,Annual,"Jouzel et al., 2007 (26)",
26,GeoB 7139-2,UK¡¯37,"M¨¹ller et al., 1998 (3)",-30.2,-72,-3270,500,Annual,"Kaiser et al., 2008 (27)",
27,"Dome F, Antarctica","Ice Core d18O, dD",¡À30% uncertainty,-77.3,39.7,3810,500,Annual,"Kawamura et al., 2007 (28)",
28,18287-3,UK¡¯37,"M¨¹ller et al., 1998 (3)",5.7,110.7,-598,260,Annual,"Kienast et al., 2001 (29)",
29,GeoB 1023-5,UK¡¯37,"M¨¹ller et al., 1998 (3)",-17.2,11,-1978,180,Annual,"Kim et al., 2002 (30)",
30,GeoB 5901-2,UK¡¯37,"M¨¹ller et al., 1998 (3)",36.4,-7.1,-574,120,Annual,"Kim et al., 2004 (31)",
31,KY07_04_01,Mg/Ca (G.ruber),"Anand et al., 2003 (8)",31.6,129,-2114,100,Summer,"Kubota et al., 2010 (32)",
32,Hanging Lake,Chironomid transfer function,Global Avg. RMSEP,68.4,-138.4,500,150,Summer,"Kurek et al., 2009 (33)",
33,GeoB 3313-1,UK¡¯37,"M¨¹ller et al., 1998 (3)",-41,-74.3,825,90,Annual,"Lamy et al., 2002 (34)",
34,Lake 850,Chironomid transfer function,Global Avg. RMSEP,68.4,19.2,850,80,Summer,"Larocque et al., 2004 (35)",
35,Lake Nujulla,Chironomid transfer function,Global Avg. RMSEP,68.4,18.7,999,190,Summer,"Larocque et al., 2004 (35)",
36,PL07-39PC,Mg/Ca (G.ruber w.),"Anand et al., 2003 (8)",10.7,-65,-790,180,Annual,"Lea et al., 2003 (36)",
37,MD02-2529,UK¡¯37,"M¨¹ller et al., 1998 (3)",8.2,-84.1,-1619,290,Summer*,"Leduc et al., 2007 (37)",
38,MD98-2165,Mg/Ca (G.ruber w.),"Dekens et al., 2002 (38)",-9.7,118.3,-2100,220,Annual,"Levi et al., 2007 (39)",
39,MD79-257,Foram MAT,¡À1.1 C uncertainty,-20.4,36.3,-1262,300,Winter and Summer**,"Levi et al., 2008 (39)",
40,BJ8 13GGC,Mg/Ca (G.ruber s.s.),"Anand et al., 2003 (8)",-7.4,115.2,-594,40,Annual*,"Linsley et al., 2010 (40)",
41,BJ8 70GGC,Mg/Ca (G.ruber s.s.),"Anand et al., 2003 (8)",-3.6,119.4,-482,130,Annual*,"Linsley et al., 2011 (40)",
42,MD95-2015,UK¡¯37,"M¨¹ller et al., 1998 (3)",58.8,-26,-2630,80,Annual,"Marchal et al., 2002 (41)",
43,Homestead Scarp,Pollen MAT,¡À0.98 C uncertainty,-52.5,169.1,30,70,Summer,"McGlone et al., 2010 (42)",
44,Mount Honey,Pollen MAT,¡À0.98 C uncertainty,-52.5,169.1,120,110,Summer,"McGlone et al., 2011 (42)",
45,GeoB 10038-4,Mg/Ca (G.ruber),"Anand et al., 2003 (8)",-5.9,103.3,-1819,530,Annual,"Mohtadi et al., 2010 (43)",
46,TN05-17,Diatom MAT,¡À0.75 C uncertainty,-50,6,-3700,40,Annual*,"Nielsen et al., 2004 (44)",
47,MD97-2120,UK¡¯37,"M¨¹ller et al., 1998 (3)",-45.5,174.9,-3290,160,Annual,"Pahnke and Sachs, 2005 (45)",
48,MD97-2121,UK¡¯37,"M¨¹ller et al., 1998 (3)",-40.4,178,-3014,80,Annual,"Pahnke and Sachs, 2006 (45)",
49,17940,UK¡¯37,"M¨¹ller et al., 1998 (3)",20.1,117.4,-1968,120,Annual,"Pelejero et al., 1999 (46)",
50,"Vostok, Antarctica",Ice Core dD,¡À30% uncertainty,-78.5,108,3500,40,Annual*,"Petit et al., 1999 (47)",
