PLEASE CITE THE ORIGINAL AUTHORS WHEN USING THEIR DATA.,,,,,,,,,,
Number,Location / Core,Proxy,Temperature Calibration  / Reference,Latitude (¡ã),Longitude (¡ã),Elevation ,Resolution (yr),Published Seasonal Interpretation,Reference,
51,D13822,UK¡¯37,"M¨¹ller et al., 1998 (3)",38.6,-9.5,-88,70,Summer*,"Rodriguez et al., 2009 (48)",
52,M35003-4,UK¡¯37,"M¨¹ller et al., 1998 (3)",12.1,-61.2,-1299,290,Annual,"R¨¹hlemann et al., 1999 (49)",
53,OCE326-GGC26,UK¡¯37,"M¨¹ller et al., 1998 (3)",43,-55,-3975,110,Annual,Sachs 2007 (50),
54,OCE326-GGC30,UK¡¯37,"M¨¹ller et al., 1998 (3)",44,-63,-250,80,Annual,Sachs 2007 (50),
55,CH07-98-GGC19,UK¡¯37,"M¨¹ller et al., 1998 (3)",36.9,-74.6,-1049,60,Annual,Sachs 2007 (50),
56,GIK23258-2,Foram transfer function,¡À1.5 C uncertainty,75,14,-1768,40,Winter and Summer*,"Sarnthein et al., 2003 (51)",
57,GeoB 6518-1,UK¡¯37,"M¨¹ller et al., 1998 (3)",-5.6,11.2,-962,180,Annual*,"Schefu_ et al., 2005 (52)",
58,Flarken Lake,Pollen MAT,"Seppa et al., 2005 (53)",58.6,13.7,108,100,Annual,"Sepp_ and Birk, 2001; Sepp_ et al. 2005 (53, 54)",
,,,,,,,,,,
59,Tsuolbmajavri Lake,Pollen MAT,"Seppa et al., 2005 (53)",68.7,22.1,526,70,Summer,"Sepp_ and Birk, 2001; Sepp_ et al 1999 (54, 55)",
,,,,,,,,,,
60,MD01-2390,Mg/Ca (G.ruber s.s.),"Dekens et al., 2002 (38)",6.6,113.4,-1545,200,Annual (wt. toward summer),"Steinke et al., 2008 (56)",
61,EDML,Ice Core d18O,¡À30% uncertainty,-75,0.1,2892,100,Annual*,"Stenni et al., 2010 (57)",
62,MD98-2176,Mg/Ca (G.ruber),"Anand et al., 2003 (8)",-5,133.4,-2382,60,Annual*,"Stott et al., 2007 (58)",
63,MD98-2181,Mg/Ca (G.ruber),"Anand et al., 2003 (8)",6.3,125.8,-2114,50,Annual*,"Stott et al., 2007 (58)",
64,A7,Mg/Ca (G.ruber),"Anand et al., 2003 (8)",27.8,127,-1262,110, Late Spring to Summer,"Sun et al., 2005 (59)",
65,RAPID-12-1K,Mg/Ca (G. bulloides),"Thornalley et al., 2009 (60)",62.1,-17.8,-1938,80, Late Spring to early Summer,"Thornalley et al., 2009 (60)",
66,"NP04-KH3, -KH4",TEX86,"Powers et al., 2005 (61)",-6.7,29.8,773,190,Annual*,"Tierney et al., 2008 (62)",
67,Agassiz & Renland,"Ice Core d18O, borehole temp.",¡À30% uncertainty,71.3/ 81.0,26.7 / -71,1730 & 2350,20,Annual*,"Vinther et al., 2009 (63)",
68,GeoB6518-1,MBT,¡À0.2 C uncertainty,-5.6,11.2,-962,140,Annual,"Weijers et al., 2007 (64)",
69,MD03-2707,Mg/Ca (G.ruber p.),"Dekens et al., 2002 (38)",2.5,9.4,-1295,40,Annual*,"Weldeab et al., 2007 (65)",
70,GeoB 3129,Mg/Ca (G.ruber w.),"Anand et al., 2003 (8)",-4.6,-36.6,-830,160,Annual*,"Weldeab et al., 2006 (66)",
71,GeoB 4905,Mg/Ca (G.ruber p.),"Anand et al., 2003 (8)",2.5,9.4,-1328,250,Annual*,"Weldeab et al., 2005 (67)",
72,MD01-2378,Mg/Ca (G.ruber w. s.s),"Anand et al., 2003 (8)",13.1,121.8,-1783,130,Annual*,"Xu et al., 2008 (68)",
73,MD02-2575,Mg/Ca (G.ruber w.),"Anand et al., 2003 (8)",29,-87.1,-847,250,Summer,"Ziegler et al., 2008 (69)",
,"* Seasonal interpretation not explicitly stated, but inferred based validation of core-top proxy measurement to an annual/seasonal temperature record or inferred based on general discussion in the text.",,,,,,,,,
,**Both winter and summer reconstructions were provided and were averaged together; assumed to represent annual average temperature ,,,,,,,,,
,"See supplementary online material of Marcott et al. 2012 for full references and corresponding numbers (eg ""(69)"").",,,,,,,,,
