,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,,(cm),Foram T.F. (deg C),(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
,,389.50,11.5000,5554.00,11.50,5584.97,342.13,,,,,,,,,,,,,
,,394.50,11.5000,5636.00,11.50,5666.49,347.12,,,,,,,,,,,,,
,,399.50,12.1000,5717.00,12.10,5748.02,351.17,,,,,,,,,,,,,
,,404.50,12.5000,5799.00,12.50,5829.55,354.32,,,,,,,,,,,,,
,,409.50,11.7000,5881.00,11.70,5911.09,356.58,,,,,,,,,,,,,
,,414.50,12.1000,5962.00,12.10,5992.64,357.98,,,,,,,,,,,,,
,,419.50,12.4000,6044.00,12.40,6074.19,358.53,,,,,,,,,,,,,
,,424.50,11.6000,6125.00,11.60,6155.75,358.22,,,,,,,,,,,,,
,,428.50,11.7000,6190.00,11.70,6221.00,357.36,,,,,,,,,,,,,
,,434.50,12.0000,6288.00,12.00,6318.88,355.04,,,,,,,,,,,,,
,,438.50,12.3000,6354.00,12.30,6384.14,352.79,,,,,,,,,,,,,
,,444.50,11.5000,6451.00,11.50,6482.04,348.34,,,,,,,,,,,,,
,,448.50,12.0000,6517.00,12.00,6547.31,344.63,,,,,,,,,,,,,
,,455.50,11.8000,6631.00,11.80,6661.55,336.65,,,,,,,,,,,,,
,,460.50,11.3000,6712.00,11.30,6743.15,329.73,,,,,,,,,,,,,
,,465.50,12.3000,6794.00,12.30,6824.77,321.70,,,,,,,,,,,,,
,,470.50,12.0000,6876.00,12.00,6906.39,312.49,,,,,,,,,,,,,
,,475.50,11.9000,6957.00,11.90,6988.02,301.98,,,,,,,,,,,,,
,,480.50,11.5000,7039.00,11.50,7069.66,290.04,,,,,,,,,,,,,
,,485.50,11.1000,7120.00,11.10,7151.32,276.47,,,,,,,,,,,,,
,,490.50,10.4000,7202.00,10.40,7232.99,261.01,,,,,,,,,,,,,
,,495.50,12.0000,7283.00,12.00,7314.67,243.30,,,,,,,,,,,,,
,,500.50,10.7000,7365.00,10.70,7396.38,222.80,,,,,,,,,,,,,
,,505.50,11.9000,7446.00,11.90,7478.12,198.60,,,,,,,,,,,,,
,,510.50,12.2000,7528.00,12.20,7559.90,169.09,,,,,,,,,,,,,
,,515.50,10.7000,7609.00,10.70,7641.76,130.52,,,,,,,,,,,,,
,,520.50,10.7000,7691.00,10.70,7726.14,79.11,,,,,,,,,,,,,
,,525.50,10.5000,7819.00,10.50,7851.53,155.83,,,,,,,,,,,,,
,,530.50,10.4000,7948.00,10.40,7979.58,206.70,,,,,,,,,,,,,
,,535.50,12.5000,8076.00,12.50,8107.73,245.37,,,,,,,,,,,,,
,,540.50,11.9000,8204.00,11.90,8235.94,277.10,,,,,,,,,,,,,
,,545.50,11.6000,8332.00,11.60,8364.18,304.11,,,,,,,,,,,,,
,,550.50,13.0000,8461.00,13.00,8492.45,327.60,,,,,,,,,,,,,
,,555.50,12.4000,8589.00,12.40,8620.75,348.28,,,,,,,,,,,,,
,,560.50,12.0000,8717.00,12.00,8749.06,366.64,,,,,,,,,,,,,
,,565.50,12.1000,8846.00,12.10,8877.38,383.02,,,,,,,,,,,,,
,,570.50,12.6000,8974.00,12.60,9005.72,397.66,,,,,,,,,,,,,
,,575.50,12.0000,9102.00,12.00,9134.07,410.76,,,,,,,,,,,,,
,,580.50,12.2000,9231.00,12.20,9262.43,422.45,,,,,,,,,,,,,
,,585.50,12.1000,9359.00,12.10,9390.80,432.86,,,,,,,,,,,,,
,,590.50,11.7000,9487.00,11.70,9519.17,442.08,,,,,,,,,,,,,
,,595.50,12.4000,9615.00,12.40,9647.56,450.17,,,,,,,,,,,,,
,,602.50,12.0000,9795.00,12.00,9827.31,459.74,,,,,,,,,,,,,
,,605.50,11.4000,9872.00,11.40,9904.36,463.23,,,,,,,,,,,,,
,,610.50,12.2000,10000.00,12.20,10032.76,468.29,,,,,,,,,,,,,
,,615.50,11.9000,10128.00,11.90,10161.18,472.40,,,,,,,,,,,,,
,,620.50,12.3000,10256.00,12.30,10289.60,475.60,,,,,,,,,,,,,
,,625.50,12.5000,10385.00,12.50,10418.03,477.91,,,,,,,,,,,,,
,,630.50,11.9000,10513.00,11.90,10546.47,479.33,,,,,,,,,,,,,
,,635.50,10.0000,10641.00,10.00,10674.91,479.88,,,,,,,,,,,,,
,,640.50,11.0000,10770.00,11.00,10803.36,479.56,,,,,,,,,,,,,
,,645.50,10.7000,10898.00,10.70,10931.81,478.36,,,,,,,,,,,,,
,,650.50,12.0000,11026.00,12.00,11060.27,476.29,,,,,,,,,,,,,
,,655.50,11.4000,11155.00,11.40,11188.74,473.32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,HM79-4,55.50,10.5000,11155.00,10.50,,,,,,,,,,,,,,,
,|,60.50,9.9000,11275.00,9.90,,,,,,,,,,,,,,,
,|,65.50,8.9000,11394.00,8.90,,,,,,,,,,,,,,,
,|,70.50,7.4000,11514.00,7.40,,,,,,,,,,,,,,,
,|,75.50,7.2000,11633.00,7.20,,,,,,,,,,,,,,,
,\/,80.50,7.1000,11753.00,7.10,,,,,,,,,,,,,,,
,,84.50,7.3000,11849.00,7.30,,,,,,,,,,,,,,,
,,86.50,7.6000,11896.00,7.60,,,,,,,,,,,,,,,
,,91.50,7.5000,12066.00,7.50,,,,,,,,,,,,,,,
,,95.50,7.6000,12297.00,7.60,,,,,,,,,,,,,,,
,,100.50,8.0000,12584.00,8.00,,,,,,,,,,,,,,,
,,103.00,7.3000,12728.00,7.30,,,,,,,,,,,,,,,
,,105.50,7.5000,12872.00,7.50,,,,,,,,,,,,,,,
,,108.00,7.4000,13016.00,7.40,,,,,,,,,,,,,,,
,,110.50,8.2000,13146.00,8.20,,,,,,,,,,,,,,,
,,113.00,8.6000,13218.00,8.60,,,,,,,,,,,,,,,
,,115.50,8.4000,13290.00,8.40,,,,,,,,,,,,,,,
,,118.00,8.3000,13363.00,8.30,,,,,,,,,,,,,,,
,,120.50,7.6000,13435.00,7.60,,,,,,,,,,,,,,,
,,123.50,7.6000,13522.00,7.60,,,,,,,,,,,,,,,
,,127.50,7.8000,13638.00,7.80,,,,,,,,,,,,,,,
,,130.50,7.6000,13724.00,7.60,,,,,,,,,,,,,,,
,,134.00,7.4000,13826.00,7.40,,,,,,,,,,,,,,,
,,137.00,8.3000,13913.00,8.30,,,,,,,,,,,,,,,
,,140.50,8.5000,14014.00,8.50,,,,,,,,,,,,,,,
,,143.00,7.9000,14086.00,7.90,,,,,,,,,,,,,,,
,,146.50,8.5000,14151.00,8.50,,,,,,,,,,,,,,,
,,150.00,9.6000,14167.00,9.60,,,,,,,,,,,,,,,
,,153.00,8.3000,14180.00,8.30,,,,,,,,,,,,,,,
,,155.50,9.4000,14192.00,9.40,,,,,,,,,,,,,,,
,,158.00,9.5000,14203.00,9.50,,,,,,,,,,,,,,,
,,160.50,8.6000,14214.00,8.60,,,,,,,,,,,,,,,
,,163.00,8.5000,14226.00,8.50,,,,,,,,,,,,,,,
,,165.50,9.4000,14237.00,9.40,,,,,,,,,,,,,,,
,,168.00,9.3000,14248.00,9.30,,,,,,,,,,,,,,,
,,170.50,8.5000,14260.00,8.50,,,,,,,,,,,,,,,
,,173.00,8.0000,14271.00,8.00,,,,,,,,,,,,,,,
,,176.50,8.2000,14319.00,8.20,,,,,,,,,,,,,,,
,,178.50,8.9000,14371.00,8.90,,,,,,,,,,,,,,,
,,180.50,9.2000,14422.00,9.20,,,,,,,,,,,,,,,
,,183.00,8.2000,14487.00,8.20,,,,,,,,,,,,,,,
,,186.50,8.9000,14577.00,8.90,,,,,,,,,,,,,,,
,,188.50,8.8000,14629.00,8.80,,,,,,,,,,,,,,,
,,191.50,8.9000,14707.00,8.90,,,,,,,,,,,,,,,
,,193.00,9.3000,14745.00,9.30,,,,,,,,,,,,,,,
,,195.50,9.0000,14810.00,9.00,,,,,,,,,,,,,,,
,,198.00,9.1000,14875.00,9.10,,,,,,,,,,,,,,,
,,200.50,8.7000,14939.00,8.70,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
