,,Proxy depth,Published Proxy,Published age,Published Temperature,Marine09 age,Age model error,,,14C depth,14C age,14C error,忖R,忖R error,Marine09 age,,,,,
Unique ID,,(cm),UK'37,(yr BP),(deg C),(yr BP),"(yr, 1考)",,,(cm),(yr BP),"(yr, 1考)",(yr),"(yr, 1考)",2考 lower (yr BP),2考 upper (yr BP),Material,Notes,,
8,,0.00,0.3340,510.00,11.10,0.00,-,,,10.5,980,60,-,-,489,657,N.pachyderma (s),Calibrated with Calib 6.0,,
,,2.00,0.3300,520.00,11.00,106.38,116.52,,,30.5,1040,40,-,-,534,671,N.pachyderma (s),Calibrated with Calib 6.0,,
,,5.00,0.3420,530.00,11.30,265.47,148.82,,,47.5,1160,30,-,-,650,769,N.pachyderma (s),Calibrated with Calib 6.0,,
,,7.00,0.3420,540.00,11.30,371.45,141.50,,,70.5,1460,50,-,-,907,1135,N.pachyderma (s),Calibrated with Calib 6.0,,
,,10.00,0.3380,550.00,11.20,530.22,71.56,,,89.5,1590,30,-,-,1060,1237,N.pachyderma (s),Calibrated with Calib 6.0,,
,,12.00,0.3380,560.00,11.20,560.99,41.51,,,154,2335,25,-,-,1868,2038,N.pachyderma (s),Calibrated with Calib 6.0,,
,,15.00,0.3260,570.00,10.90,569.45,48.66,,,170.5,2620,60,-,-,2128,2468,N.pachyderma (s),Calibrated with Calib 6.0,,
,,17.00,0.3340,580.00,11.10,575.03,51.35,,,269.5,3820,35,-,-,3659,3878,N.pachyderma (s),Calibrated with Calib 6.0,,
,,22.00,0.3380,600.00,11.20,588.85,52.23,,,320.5,4330,50,-,-,4305,4615,N.pachyderma (s),Calibrated with Calib 6.0,,
,,25.00,0.3340,610.00,11.10,597.07,48.78,,,520.5,7260,60,-,-,7595,7856,N.pachyderma (s),Calibrated with Calib 6.0,,
,,27.00,0.3340,611.00,11.10,602.51,44.46,,,709.5,-,-,-,-,11960,12000,Vedde Ash Age (assumed +/- 20 yr uncertainty),From GRIP age from Gro.nvold et al. (1995),,
,,32.00,0.3380,630.00,11.20,620.23,45.62,,,750.5,12220,90,-,-,13427,13849,N.pachyderma (s),Calibrated with Calib 6.0,,
,,35.00,0.3340,640.00,11.10,637.59,60.38,,,,,,,,,,,,,
,,37.00,0.3460,650.00,11.40,649.22,64.82,,,,,,,,,,,,,
,,40.00,0.3420,660.00,11.30,666.70,65.66,,,,,,,,,,,,,
,,42.00,0.3540,670.00,11.60,678.39,62.47,,,,,,,,,,,,,
,,45.00,0.3260,680.00,10.90,695.97,50.75,,,,,,,,,,,,,
,,46.00,0.3500,690.00,11.50,701.86,44.09,,,,,,,,,,,,,
,,50.00,0.3180,730.00,10.70,744.64,72.21,,,,,,,,,,,,,
,,52.00,0.3540,750.00,11.60,771.39,89.86,,,,,,,,,,,,,
,,55.00,0.3380,790.00,11.20,811.40,105.64,,,,,,,,,,,,,
,,58.00,0.3300,830.00,11.00,851.34,113.00,,,,,,,,,,,,,
,,61.00,0.3260,870.00,10.90,891.22,113.49,,,,,,,,,,,,,
,,65.00,0.3260,920.00,10.90,944.28,103.26,,,,,,,,,,,,,
,,67.00,0.3340,950.00,11.10,970.75,92.31,,,,,,,,,,,,,
,,75.00,0.3340,1030.00,11.10,1047.71,76.62,,,,,,,,,,,,,
,,77.00,0.3500,1050.00,11.50,1061.81,80.66,,,,,,,,,,,,,
,,80.00,0.3420,1080.00,11.30,1083.05,82.04,,,,,,,,,,,,,
,,85.00,0.3180,1120.00,10.70,1118.71,72.11,,,,,,,,,,,,,
,,87.00,0.3180,1140.00,10.70,1133.09,62.77,,,,,,,,,,,,,
,,90.00,0.3220,1170.00,10.80,1157.83,52.35,,,,,,,,,,,,,
,,92.00,0.3300,1200.00,11.00,1182.74,78.68,,,,,,,,,,,,,
,,95.00,0.3260,1230.00,10.90,1220.04,104.96,,,,,,,,,,,,,
,,97.00,0.3260,1260.00,10.90,1244.88,118.16,,,,,,,,,,,,,
